SEBI REPORT AS ON Reporting date 09-DEC-2021,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2302955.44,
2,Fresh Exposure taken during the day,170724.74,
3,Exposure liquidated during the day,131540.78,
4,Net scripwise outstanding at the end of the day,2342139.40,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,11049,7.30
3IINFOLTD,3I INFOTECH LIMITED,250,0.35
3MINDIA,3M INDIA LIMITED,689,159.87
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,21786,93.38
63MOONS,63 MOONS TECHNOLOGIES LTD,14062,17.16
AAKASH,AAKASH EXPLORATION SER L,17500,37.75
AAREYDRUGS,AAREY DRUGS & PHARM LTD,3025,1.16
AARTIDRUGS,AARTI DRUGS LTD.,318385,1708.65
AARTIIND,AARTI INDUSTRIES LTD,308425,2878.16
AARTISURF,AARTI SURFACTANTS LIMITED,13358,132.11
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,2130,1.42
AAVAS,AAVAS FINANCIERS LIMITED,51803,1273.45
ABB,ABB INDIA LIMITED,29415,540.23
ABBOTINDIA,ABBOTT INDIA LIMITED,8588,1552.30
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4469938,4586.63
ABFRL,ADITYA BIRLA FASHION & RT,1073634,2559.89
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,25285,120.28
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,50,0.02
ACC,ACC LIMITED,53541,1119.77
ACCELYA,ACCELYA SOLN INDIA LTD,69027,606.91
ACCURACY,ACCURACY SHIPPING LIMITED,43310,82.65
ACE,ACTION CONST EQUIP LTD,683669,1086.61
ACRYSIL,ACRYSIL LIMITED,23445,158.25
ADANIENT,ADANI ENTERPRISES LIMITED,278539,3800.92
ADANIGREEN,ADANI GREEN ENERGY LTD,157627,1986.05
ADANIPORTS,ADANI PORT & SEZ LTD,2124336,13510.02
ADANIPOWER,ADANI POWER LTD,385963,425.25
ADANITRANS,ADANI TRANSMISSION LTD,3605,14.23
ADFFOODS,ADF FOODS LIMITED,55156,430.95
ADORWELD,ADOR WELDING LTD,3660,13.82
ADSL,ALLIED DIGITAL SERV. LTD,46207,50.65
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,2007,1.59
ADVENZYMES,ADVANCED ENZYME TECH LTD,408390,1360.30
AEGISCHEM,AEGIS LOGISTICS LIMITED,897634,1983.06
AFFLE,AFFLE (INDIA) LIMITED,24736,253.65
AGARIND,AGARWAL INDS CORP LTD.,13288,51.34
AHLEAST,ASIAN HOTELS (EAST) LTD,919,1.68
AHLUCONT,AHLUWALIA CONT IND LTD,8228,28.03
AIAENG,AIA ENGINEERING LIMITED,13661,234.54
AJANTPHARM,AJANTA PHARMA LIMITED,30543,580.36
AJMERA,AJMERA REALTY & INF I LTD,394,1.02
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5036,26.06
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,4000,0.31
AKZOINDIA,AKZO NOBEL INDIA LIMITED,9044,184.06
ALANKIT,ALANKIT LIMITED,232107,32.68
ALBERTDAVD,ALBERT DAVID LIMITED,51393,304.73
ALCHEM,ALCHEMIST LTD,3963,0.12
ALEMBICLTD,ALEMBIC LIMITED,262920,229.89
ALICON,ALICON CASTALLOY LIMITED,12483,70.34
ALKALI,ALKALI METALS LTD,2700,2.59
ALKEM,ALKEM LABORATORIES LTD.,28398,924.34
ALKYLAMINE,ALKYL AMINES CHEM. LTD,74277,1605.25
ALLCARGO,ALLCARGO LOGISTICS LTD,1592086,3264.66
ALLSEC,ALLSEC TECHNOLOGIES LTD,4371,20.45
ALOKINDS,ALOK INDUSTRIES LIMITED,12762826,3294.33
ALOKTEXT,ALOK INDUSTRIES LTD,50000,0.01
ALPA,ALPA LABORATORIES LTD,1602,0.97
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,6947,27.32
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1195907,7380.98
AMBER,AMBER ENTERPRISES (I) LTD,40502,1190.61
AMBIKCO,AMBIKA COTTON MILL LTD.,29437,396.09
AMBUJACEM,AMBUJA CEMENTS LTD,667555,2161.76
AMIORG,AMI ORGANICS LIMITED,48775,426.34
AMJLAND,AMJ LAND HOLDINGS LIMITED,2000,0.65
AMRUTANJAN,AMRUTAJAN HEALTH LTD,20504,150.84
ANANTRAJ,ANANT RAJ LIMITED,37604,26.04
ANDHRAPAP,ANDHRA PAPER LIMITED,18257,44.75
ANDHRSUGAR,ANDHRA SUGARS LTD,108743,623.17
ANDREWYU,ANDREW YULE & CO LTD,65145,15.69
ANGELONE,ANGEL ONE LIMITED,203520,2226.58
ANMOL,ANMOL INDIA LIMITED,6677,6.24
ANSALAPI,ANSAL PROP & INFRA LTD,10100,0.74
ANUP,THE ANUP ENGINEERING LTD,15804,105.37
ANURAS,ANUPAM RASAYAN INDIA LTD,38286,255.89
APARINDS,APAR INDUSTRIES LTD.,51973,316.59
APCL,ANJANI PORTLAND CEM LTD,34125,67.21
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,30892,93.35
APEX,APEX FROZEN FOODS LIMITED,115152,272.92
APLAPOLLO,APL APOLLO TUBES LTD,218030,2215.89
APLLTD,ALEMBIC PHARMA LTD,304377,2273.02
APOLLO,APOLLO MICRO SYSTEMS LTD,23274,26.78
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,93380,4298.67
APOLLOPIPE,APOLLO PIPES LIMITED,16878,117.14
APOLLOTYRE,APOLLO TYRES LTD,1686413,3189.13
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,165,1.50
APTECHT,APTECH LIMITED,194026,503.68
APTUS,APTUS VALUE HSG FIN I LTD,304230,1030.20
ARCHIES,ARCHIES LTD,600,0.08
ARCOTECH,ARCOTECH LIMITED,200,0.00
ARIES,ARIES AGRO LTD.,11448,18.21
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,2800,4.20
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,3872,5.51
ARMANFIN,ARMAN FIN SERV LTD,3500,22.83
AROGRANITE,ARO GRANITE IND. LTD.,5021,3.78
ARSHIYA,ARSHIYA LIMITED,4000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,1400,0.23
ARVIND,ARVIND LIMITED,1060550,1153.83
ARVINDFASN,ARVIND FASHIONS LIMITED,155755,281.40
ARVSMART,ARVIND SMARTSPACES LTD,4915,8.79
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,97826,419.31
ASAHISONG,ASAHI SONGWON COLOR LTD,5431,19.39
ASALCBR,ASSO ALCOHOLS & BREW LTD,79820,377.10
ASHAPURMIN,ASHAPURA MINECHEM LTD,62012,60.10
ASHIANA,ASHIANA HOUSING LTD,74839,88.43
ASHIMASYN,ASHIMA LTD,1200,0.23
ASHOKA,ASHOKA BUILDCON LTD,1976214,1902.59
ASHOKLEY,ASHOK LEYLAND LTD,5549549,6431.05
ASIANENE,ASIAN ENERGY SERVICES LTD,2000,1.03
ASIANPAINT,ASIAN PAINTS LIMITED,292851,8024.45
