SEBI REPORT AS ON Reporting date 24-NOV-2021,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2319500.38,
2,Fresh Exposure taken during the day,161926.40,
3,Exposure liquidated during the day,130397.57,
4,Net scripwise outstanding at the end of the day,2351029.21,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,11822,7.83
3IINFOLTD,3I INFOTECH LIMITED,300,0.39
3MINDIA,3M INDIA LIMITED,1225,305.26
5PAISA,5PAISA CAPITAL LIMITED,21250,92.95
63MOONS,63 MOONS TECHNOLOGIES LTD,18134,20.97
AAKASH,AAKASH EXPLORATION SER L,38500,82.74
AAREYDRUGS,AAREY DRUGS & PHARM LTD,5439,2.07
AARTIDRUGS,AARTI DRUGS LTD.,328146,1811.39
AARTIIND,AARTI INDUSTRIES LTD,378011,3498.44
AARTISURF,AARTI SURFACTANTS LIMITED,15545,178.34
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AAVAS,AAVAS FINANCIERS LIMITED,44201,1096.70
ABAN,ABAN OFFSHORE LTD.,100,0.05
ABB,ABB INDIA LIMITED,32757,571.48
ABBOTINDIA,ABBOTT INDIA LIMITED,8524,1523.93
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4710834,4607.60
ABFRL,ADITYA BIRLA FASHION & RT,1101936,2647.40
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,11687,63.50
ACC,ACC LIMITED,35901,743.44
ACCELYA,ACCELYA SOLN INDIA LTD,59155,540.91
ACCURACY,ACCURACY SHIPPING LIMITED,23950,45.61
ACE,ACTION CONST EQUIP LTD,727358,1185.94
ACRYSIL,ACRYSIL LIMITED,16062,103.52
ADANIENT,ADANI ENTERPRISES LIMITED,320947,3950.42
ADANIGREEN,ADANI GREEN ENERGY LTD,136135,1628.86
ADANIPORTS,ADANI PORT & SEZ LTD,2428558,15527.48
ADANIPOWER,ADANI POWER LTD,399981,444.08
ADANITRANS,ADANI TRANSMISSION LTD,3605,14.23
ADFFOODS,ADF FOODS LIMITED,36275,282.45
ADORWELD,ADOR WELDING LTD,4412,17.08
ADSL,ALLIED DIGITAL SERV. LTD,37739,41.15
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1220,0.96
ADVENZYMES,ADVANCED ENZYME TECH LTD,426731,1445.47
AEGISCHEM,AEGIS LOGISTICS LIMITED,1071850,2332.78
AFFLE,AFFLE (INDIA) LIMITED,13784,124.23
AGARIND,AGARWAL INDS CORP LTD.,8666,31.60
AGCNET,AGC NETWORKS LIMITED,25,0.43
AHLEAST,ASIAN HOTELS (EAST) LTD,132,0.24
AHLUCONT,AHLUWALIA CONT IND LTD,11247,37.44
AIAENG,AIA ENGINEERING LIMITED,12702,224.01
AJANTPHARM,AJANTA PHARMA LIMITED,28338,511.92
AJMERA,AJMERA REALTY & INF I LTD,294,0.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5843,31.80
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,4000,0.27
AKZOINDIA,AKZO NOBEL INDIA LIMITED,11169,236.78
ALANKIT,ALANKIT LIMITED,539642,101.96
ALBERTDAVD,ALBERT DAVID LIMITED,50530,299.19
ALCHEM,ALCHEMIST LTD,3963,0.23
ALEMBICLTD,ALEMBIC LIMITED,252676,225.93
ALICON,ALICON CASTALLOY LIMITED,6911,35.36
ALKALI,ALKALI METALS LTD,4356,4.08
ALKEM,ALKEM LABORATORIES LTD.,21531,699.82
ALKYLAMINE,ALKYL AMINES CHEM. LTD,77833,1697.61
ALLCARGO,ALLCARGO LOGISTICS LTD,1854315,3981.42
ALLSEC,ALLSEC TECHNOLOGIES LTD,4118,20.50
ALOKINDS,ALOK INDUSTRIES LIMITED,12592987,3264.25
ALOKTEXT,ALOK INDUSTRIES LTD,50000,0.01
ALPA,ALPA LABORATORIES LTD,2100,1.14
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,7708,31.81
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1303173,8162.24
AMBER,AMBER ENTERPRISES (I) LTD,35962,1060.09
AMBIKCO,AMBIKA COTTON MILL LTD.,28922,374.50
AMBUJACEM,AMBUJA CEMENTS LTD,557120,1830.88
AMIORG,AMI ORGANICS LIMITED,34074,300.11
AMRUTANJAN,AMRUTAJAN HEALTH LTD,23189,174.80
