SEBI REPORT AS ON Reporting date 26-NOV-2021,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2461828.29,
2,Fresh Exposure taken during the day,187663.29,
3,Exposure liquidated during the day,182026.40,
4,Net scripwise outstanding at the end of the day,2467465.18,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,11581,7.64
3IINFOLTD,3I INFOTECH LIMITED,300,0.43
3MINDIA,3M INDIA LIMITED,1227,305.77
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,24421,105.38
63MOONS,63 MOONS TECHNOLOGIES LTD,18107,20.92
AAKASH,AAKASH EXPLORATION SER L,32500,70.23
AAREYDRUGS,AAREY DRUGS & PHARM LTD,5464,2.08
AARTIDRUGS,AARTI DRUGS LTD.,322422,1779.87
AARTIIND,AARTI INDUSTRIES LTD,370968,3428.15
AARTISURF,AARTI SURFACTANTS LIMITED,15463,176.94
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AAVAS,AAVAS FINANCIERS LIMITED,72694,1829.99
ABAN,ABAN OFFSHORE LTD.,1000,0.16
ABB,ABB INDIA LIMITED,31363,553.73
ABBOTINDIA,ABBOTT INDIA LIMITED,10652,1971.17
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4807971,4703.74
ABFRL,ADITYA BIRLA FASHION & RT,1129774,2692.94
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,11576,63.36
ABSLBANETF,BIRLASLAMC - ABSLBANETF,2,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,52,0.02
ACC,ACC LIMITED,46646,990.71
ACCELYA,ACCELYA SOLN INDIA LTD,76221,739.78
ACCURACY,ACCURACY SHIPPING LIMITED,24150,45.97
ACE,ACTION CONST EQUIP LTD,697527,1142.16
ACRYSIL,ACRYSIL LIMITED,19306,133.52
ADANIENT,ADANI ENTERPRISES LIMITED,345451,4393.03
ADANIGREEN,ADANI GREEN ENERGY LTD,128362,1620.09
ADANIPORTS,ADANI PORT & SEZ LTD,2568026,16490.71
ADANIPOWER,ADANI POWER LTD,402560,446.06
ADANITRANS,ADANI TRANSMISSION LTD,3605,14.23
ADFFOODS,ADF FOODS LIMITED,35690,276.54
ADORWELD,ADOR WELDING LTD,4332,20.59
ADSL,ALLIED DIGITAL SERV. LTD,41331,45.70
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1000,0.79
