SEBI REPORT AS ON Reporting date 20-DEC-2021,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2455381.35,
2,Fresh Exposure taken during the day,131972.70,
3,Exposure liquidated during the day,168391.11,
4,Net scripwise outstanding at the end of the day,2418962.95,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,16283,10.84
3IINFOLTD,3I INFOTECH LIMITED,250,0.34
3MINDIA,3M INDIA LIMITED,706,164.43
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,23494,101.37
63MOONS,63 MOONS TECHNOLOGIES LTD,32688,56.15
AAKASH,AAKASH EXPLORATION SER L,7500,16.18
AAREYDRUGS,AAREY DRUGS & PHARM LTD,660,0.27
AARTIDRUGS,AARTI DRUGS LTD.,343437,1766.69
AARTIIND,AARTI INDUSTRIES LTD,351811,3286.73
AARTISURF,AARTI SURFACTANTS LIMITED,14064,132.61
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,6864,5.26
AAVAS,AAVAS FINANCIERS LIMITED,48377,1178.64
ABB,ABB INDIA LIMITED,37627,720.75
ABBOTINDIA,ABBOTT INDIA LIMITED,9503,1690.93
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4536022,4703.01
ABFRL,ADITYA BIRLA FASHION & RT,1465141,3611.27
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,40610,182.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,50,0.02
ACC,ACC LIMITED,55419,1152.37
ACCELYA,ACCELYA SOLN INDIA LTD,60785,520.35
ACCURACY,ACCURACY SHIPPING LIMITED,46250,88.89
ACE,ACTION CONST EQUIP LTD,592904,972.48
ACRYSIL,ACRYSIL LIMITED,13848,85.46
ADANIENT,ADANI ENTERPRISES LIMITED,398222,5142.39
ADANIGREEN,ADANI GREEN ENERGY LTD,166656,2174.43
ADANIPORTS,ADANI PORT & SEZ LTD,2241532,14554.76
ADANIPOWER,ADANI POWER LTD,335653,352.78
ADANITRANS,ADANI TRANSMISSION LTD,3505,14.03
ADFFOODS,ADF FOODS LIMITED,54466,434.65
ADORWELD,ADOR WELDING LTD,3564,11.06
ADSL,ALLIED DIGITAL SERV. LTD,41475,46.39
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1550,1.22
ADVENZYMES,ADVANCED ENZYME TECH LTD,407362,1348.74
AEGISCHEM,AEGIS LOGISTICS LIMITED,801370,1843.47
AFFLE,AFFLE (INDIA) LIMITED,28016,279.52
AGARIND,AGARWAL INDS CORP LTD.,18155,66.90
AHLEAST,ASIAN HOTELS (EAST) LTD,1251,2.32
AHLUCONT,AHLUWALIA CONT IND LTD,8941,30.84
AIAENG,AIA ENGINEERING LIMITED,14009,239.18
AJANTPHARM,AJANTA PHARMA LIMITED,27187,505.49
AJMERA,AJMERA REALTY & INF I LTD,363,0.93
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,4176,20.90
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,3000,0.28
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10541,205.44
ALANKIT,ALANKIT LIMITED,529385,82.24
ALBERTDAVD,ALBERT DAVID LIMITED,49907,296.07
ALCHEM,ALCHEMIST LTD,0,0.00
ALEMBICLTD,ALEMBIC LIMITED,246365,211.83
ALICON,ALICON CASTALLOY LIMITED,9576,33.59
ALKALI,ALKALI METALS LTD,1500,1.50
ALKEM,ALKEM LABORATORIES LTD.,17443,585.87
ALKYLAMINE,ALKYL AMINES CHEM. LTD,64951,1341.43
ALLCARGO,ALLCARGO LOGISTICS LTD,1593872,3275.11
ALLSEC,ALLSEC TECHNOLOGIES LTD,6163,33.15
ALOKINDS,ALOK INDUSTRIES LIMITED,21386376,5493.50
ALPA,ALPA LABORATORIES LTD,16464,10.57
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,7682,28.79
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1215308,7422.95
AMBER,AMBER ENTERPRISES (I) LTD,41210,1214.32
AMBIKCO,AMBIKA COTTON MILL LTD.,28410,375.26
AMBUJACEM,AMBUJA CEMENTS LTD,701613,2261.59
AMIORG,AMI ORGANICS LIMITED,51914,438.74
AMJLAND,AMJ LAND HOLDINGS LIMITED,500,0.17
AMRUTANJAN,AMRUTAJAN HEALTH LTD,20653,149.64
ANANDRATHI,ANAND RATHI WEALTH LTD,27,0.02
ANANTRAJ,ANANT RAJ LIMITED,44199,29.61
ANDHRAPAP,ANDHRA PAPER LIMITED,18549,45.33
ANDHRSUGAR,ANDHRA SUGARS LTD,114843,658.27
ANDREWYU,ANDREW YULE & CO LTD,71814,18.47
ANGELONE,ANGEL ONE LIMITED,202659,2214.86
ANMOL,ANMOL INDIA LIMITED,6852,5.75
ANSALAPI,ANSAL PROP & INFRA LTD,10100,0.77
ANUP,THE ANUP ENGINEERING LTD,11304,80.92
ANURAS,ANUPAM RASAYAN INDIA LTD,36917,253.22
APARINDS,APAR INDUSTRIES LTD.,64530,408.99
APCL,ANJANI PORTLAND CEM LTD,31751,57.31
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,34701,106.22
APEX,APEX FROZEN FOODS LIMITED,110784,257.43
APLAPOLLO,APL APOLLO TUBES LTD,205025,2120.00
APLLTD,ALEMBIC PHARMA LTD,309316,2299.52
APOLLO,APOLLO MICRO SYSTEMS LTD,25370,29.56
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,115343,5133.00
APOLLOPIPE,APOLLO PIPES LIMITED,18703,115.52
APOLLOTYRE,APOLLO TYRES LTD,1607970,3031.99
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,155,1.41
APTECHT,APTECH LIMITED,197677,521.40
