SEBI REPORT AS ON Reporting date 30-DEC-2021,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2394677.32,
2,Fresh Exposure taken during the day,126909.48,
3,Exposure liquidated during the day,123347.30,
4,Net scripwise outstanding at the end of the day,2398239.50,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,19141,12.55
3IINFOLTD,3I INFOTECH LIMITED,250,0.30
3MINDIA,3M INDIA LIMITED,730,163.90
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,18641,80.45
63MOONS,63 MOONS TECHNOLOGIES LTD,32877,60.70
AAKASH,AAKASH EXPLORATION SER L,5050,12.61
AAREYDRUGS,AAREY DRUGS & PHARM LTD,150,0.06
AARTIDRUGS,AARTI DRUGS LTD.,341359,1744.72
AARTIIND,AARTI INDUSTRIES LTD,305817,2858.46
AARTISURF,AARTI SURFACTANTS LIMITED,16108,149.63
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,5100,3.95
AAVAS,AAVAS FINANCIERS LIMITED,47989,1168.98
ABB,ABB INDIA LIMITED,44649,854.72
ABBOTINDIA,ABBOTT INDIA LIMITED,9097,1622.90
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4561465,4793.55
ABFRL,ADITYA BIRLA FASHION & RT,1259554,2962.70
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,65742,294.28
ABSLBANETF,BIRLASLAMC - ABSLBANETF,0,0.00
ACC,ACC LIMITED,74802,1523.72
ACCELYA,ACCELYA SOLN INDIA LTD,54288,447.54
ACCURACY,ACCURACY SHIPPING LIMITED,46150,88.67
ACE,ACTION CONST EQUIP LTD,538621,889.31
ACRYSIL,ACRYSIL LIMITED,21090,139.37
ADANIENT,ADANI ENTERPRISES LIMITED,402489,5212.07
ADANIGREEN,ADANI GREEN ENERGY LTD,176099,2330.00
ADANIPORTS,ADANI PORT & SEZ LTD,2380127,15454.34
ADANIPOWER,ADANI POWER LTD,330049,349.26
ADANITRANS,ADANI TRANSMISSION LTD,3505,14.03
ADFFOODS,ADF FOODS LIMITED,55706,445.12
ADORWELD,ADOR WELDING LTD,4991,16.93
ADSL,ALLIED DIGITAL SERV. LTD,50803,49.76
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1000,0.79
ADVENZYMES,ADVANCED ENZYME TECH LTD,413303,1344.63
AEGISCHEM,AEGIS LOGISTICS LIMITED,853446,1943.57
AFFLE,AFFLE (INDIA) LIMITED,36627,372.97
AGARIND,AGARWAL INDS CORP LTD.,20095,73.41
AHLEAST,ASIAN HOTELS (EAST) LTD,1251,2.32
AHLUCONT,AHLUWALIA CONT IND LTD,8503,29.84
AIAENG,AIA ENGINEERING LIMITED,15524,254.96
AJANTPHARM,AJANTA PHARMA LIMITED,30805,583.20
AJMERA,AJMERA REALTY & INF I LTD,2114,5.73
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,6428,30.96
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,3000,0.27
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10429,199.22
ALANKIT,ALANKIT LIMITED,676354,97.69
ALBERTDAVD,ALBERT DAVID LIMITED,49563,294.14
ALCHEM,ALCHEMIST LTD,3963,0.07
ALEMBICLTD,ALEMBIC LIMITED,244807,211.10
ALICON,ALICON CASTALLOY LIMITED,9714,35.46
ALKALI,ALKALI METALS LTD,4900,4.32
ALKEM,ALKEM LABORATORIES LTD.,16227,542.05
ALKYLAMINE,ALKYL AMINES CHEM. LTD,68653,1517.11
ALLCARGO,ALLCARGO LOGISTICS LTD,1601825,3328.83
ALLSEC,ALLSEC TECHNOLOGIES LTD,4371,23.29
ALOKINDS,ALOK INDUSTRIES LIMITED,25621914,6589.09
ALOKTEXT,ALOK INDUSTRIES LTD,16827,4.52
ALPA,ALPA LABORATORIES LTD,36264,22.42
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,9088,33.96
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1238078,7520.09
AMBER,AMBER ENTERPRISES (I) LTD,41522,1256.23
AMBIKCO,AMBIKA COTTON MILL LTD.,31002,436.93
AMBUJACEM,AMBUJA CEMENTS LTD,665705,2118.42
