,,,,,,Data Revised for reporting date 04-JAN-2022 to include late member submissions,,,
SEBI REPORT AS ON 04-JAN-2022,,,,,,,,,
,,As on Reporting Date 04-JAN-2022,,,,,,As on Current Date 07-JAN-2022 for reporting date 04-JAN-2022,
,Sr.No.,Particulars,Rs. In Lakhs ,,,,Sr.No.,Particulars,Rs. In Lakhs
,1,Scripwise Total Outstanding on the beginning of the day,2340046.35,,,,1,Scripwise Total Outstanding on the beginning of the day,2342054.44
,2,Fresh Exposure taken during the day,171255.57,,,,2,Fresh Exposure taken during the day,171806.62
,3,Exposure liquidated during the day,166416.43,,,,3,Exposure liquidated during the day,166714.55
,4,Net scripwise outstanding at the end of the day,2344885.49,,,,4,Net scripwise outstanding at the end of the day,2347146.51
,,,,,,,,,
,,,,,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,21475,14.15,,,20MICRONS,20 MICRONS LTD,21475,14.15
3IINFOLTD,3I INFOTECH LIMITED,250,0.35,,,3IINFOLTD,3I INFOTECH LIMITED,250,0.35
3MINDIA,3M INDIA LIMITED,727,165.49,,,3MINDIA,3M INDIA LIMITED,727,165.49
532323,SHIVA CEMENT LTD.,1000,0.40,,,532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,19145,82.97,,,5PAISA,5PAISA CAPITAL LIMITED,19145,82.97
63MOONS,63 MOONS TECHNOLOGIES LTD,29839,52.04,,,63MOONS,63 MOONS TECHNOLOGIES LTD,29839,52.04
AAKASH,AAKASH EXPLORATION SER L,0,0.00,,,AAKASH,AAKASH EXPLORATION SER L,0,0.00
AAREYDRUGS,AAREY DRUGS & PHARM LTD,778,0.39,,,AAREYDRUGS,AAREY DRUGS & PHARM LTD,778,0.39
AARTIDRUGS,AARTI DRUGS LTD.,335175,1698.88,,,AARTIDRUGS,AARTI DRUGS LTD.,335175,1698.88
AARTIIND,AARTI INDUSTRIES LTD,324139,3052.22,,,AARTIIND,AARTI INDUSTRIES LTD,325159,3062.45
AARTISURF,AARTI SURFACTANTS LIMITED,16634,153.67,,,AARTISURF,AARTI SURFACTANTS LIMITED,16634,153.67
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00,,,AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,5500,4.33,,,AARVI,AARVI ENCON LIMITED,5500,4.33
AAVAS,AAVAS FINANCIERS LIMITED,41553,1010.57,,,AAVAS,AAVAS FINANCIERS LIMITED,41553,1010.57
ABAN,ABAN OFFSHORE LTD.,7100,3.58,,,ABAN,ABAN OFFSHORE LTD.,7100,3.58
ABB,ABB INDIA LIMITED,43970,839.47,,,ABB,ABB INDIA LIMITED,43970,839.47
ABBOTINDIA,ABBOTT INDIA LIMITED,9585,1621.81,,,ABBOTINDIA,ABBOTT INDIA LIMITED,9585,1621.81
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4060193,4261.31,,,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4062691,4264.56
ABFRL,ADITYA BIRLA FASHION & RT,1159628,2773.83,,,ABFRL,ADITYA BIRLA FASHION & RT,1160398,2775.98
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,86380,404.28,,,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,86380,404.28
ACC,ACC LIMITED,94209,1971.16,,,ACC,ACC LIMITED,94323,1973.70
ACCELYA,ACCELYA SOLN INDIA LTD,55153,460.39,,,ACCELYA,ACCELYA SOLN INDIA LTD,55153,460.39
ACCURACY,ACCURACY SHIPPING LIMITED,45900,88.10,,,ACCURACY,ACCURACY SHIPPING LIMITED,45900,88.10
ACE,ACTION CONST EQUIP LTD,534777,883.98,,,ACE,ACTION CONST EQUIP LTD,534777,883.98
ACRYSIL,ACRYSIL LIMITED,23261,149.34,,,ACRYSIL,ACRYSIL LIMITED,23261,149.34
ADANIENT,ADANI ENTERPRISES LIMITED,399933,5174.64,,,ADANIENT,ADANI ENTERPRISES LIMITED,400094,5177.31
ADANIGREEN,ADANI GREEN ENERGY LTD,176065,2276.93,,,ADANIGREEN,ADANI GREEN ENERGY LTD,176065,2276.93
ADANIPORTS,ADANI PORT & SEZ LTD,2296167,14810.38,,,ADANIPORTS,ADANI PORT & SEZ LTD,2297327,14818.97
ADANIPOWER,ADANI POWER LTD,378387,393.98,,,ADANIPOWER,ADANI POWER LTD,378387,393.98
ADANITRANS,ADANI TRANSMISSION LTD,3505,14.03,,,ADANITRANS,ADANI TRANSMISSION LTD,3505,14.03
ADFFOODS,ADF FOODS LIMITED,54720,436.68,,,ADFFOODS,ADF FOODS LIMITED,54720,436.68
ADORWELD,ADOR WELDING LTD,3653,9.40,,,ADORWELD,ADOR WELDING LTD,3653,9.40
ADSL,ALLIED DIGITAL SERV. LTD,51579,52.71,,,ADSL,ALLIED DIGITAL SERV. LTD,51579,52.71
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1745,1.42,,,ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1745,1.42
ADVENZYMES,ADVANCED ENZYME TECH LTD,414699,1352.88,,,ADVENZYMES,ADVANCED ENZYME TECH LTD,414699,1352.88
AEGISCHEM,AEGIS LOGISTICS LIMITED,845329,1892.49,,,AEGISCHEM,AEGIS LOGISTICS LIMITED,845329,1892.49
AFFLE,AFFLE (INDIA) LIMITED,30621,331.45,,,AFFLE,AFFLE (INDIA) LIMITED,30621,331.45
AGARIND,AGARWAL INDS CORP LTD.,26264,88.71,,,AGARIND,AGARWAL INDS CORP LTD.,26264,88.71
AHLEAST,ASIAN HOTELS (EAST) LTD,1581,2.96,,,AHLEAST,ASIAN HOTELS (EAST) LTD,1581,2.96
AHLUCONT,AHLUWALIA CONT IND LTD,8703,30.73,,,AHLUCONT,AHLUWALIA CONT IND LTD,8703,30.73
AIAENG,AIA ENGINEERING LIMITED,15956,260.78,,,AIAENG,AIA ENGINEERING LIMITED,15956,260.78
AJANTPHARM,AJANTA PHARMA LIMITED,34009,635.83,,,AJANTPHARM,AJANTA PHARMA LIMITED,34009,635.83
AJMERA,AJMERA REALTY & INF I LTD,2783,7.47,,,AJMERA,AJMERA REALTY & INF I LTD,2783,7.47
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5910,27.99,,,AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5910,27.99
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,2000,0.04,,,AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,2000,0.04
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10348,199.67,,,AKZOINDIA,AKZO NOBEL INDIA LIMITED,10348,199.67
