SEBI REPORT AS ON Reporting date 04-JAN-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2340046.35,
2,Fresh Exposure taken during the day,171255.57,
3,Exposure liquidated during the day,166416.43,
4,Net scripwise outstanding at the end of the day,2344885.49,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,21475,14.15
3IINFOLTD,3I INFOTECH LIMITED,250,0.35
3MINDIA,3M INDIA LIMITED,727,165.49
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,19145,82.97
63MOONS,63 MOONS TECHNOLOGIES LTD,29839,52.04
AAKASH,AAKASH EXPLORATION SER L,0,0.00
AAREYDRUGS,AAREY DRUGS & PHARM LTD,778,0.39
AARTIDRUGS,AARTI DRUGS LTD.,335175,1698.88
AARTIIND,AARTI INDUSTRIES LTD,324139,3052.22
AARTISURF,AARTI SURFACTANTS LIMITED,16634,153.67
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,5500,4.33
AAVAS,AAVAS FINANCIERS LIMITED,41553,1010.57
ABAN,ABAN OFFSHORE LTD.,7100,3.58
ABB,ABB INDIA LIMITED,43970,839.47
ABBOTINDIA,ABBOTT INDIA LIMITED,9585,1621.81
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4060193,4261.31
ABFRL,ADITYA BIRLA FASHION & RT,1159628,2773.83
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,86380,404.28
ACC,ACC LIMITED,94209,1971.16
ACCELYA,ACCELYA SOLN INDIA LTD,55153,460.39
ACCURACY,ACCURACY SHIPPING LIMITED,45900,88.10
ACE,ACTION CONST EQUIP LTD,534777,883.98
ACRYSIL,ACRYSIL LIMITED,23261,149.34
ADANIENT,ADANI ENTERPRISES LIMITED,399933,5174.64
ADANIGREEN,ADANI GREEN ENERGY LTD,176065,2276.93
ADANIPORTS,ADANI PORT & SEZ LTD,2296167,14810.38
ADANIPOWER,ADANI POWER LTD,378387,393.98
ADANITRANS,ADANI TRANSMISSION LTD,3505,14.03
ADFFOODS,ADF FOODS LIMITED,54720,436.68
ADORWELD,ADOR WELDING LTD,3653,9.40
ADSL,ALLIED DIGITAL SERV. LTD,51579,52.71
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1745,1.42
ADVENZYMES,ADVANCED ENZYME TECH LTD,414699,1352.88
AEGISCHEM,AEGIS LOGISTICS LIMITED,845329,1892.49
AFFLE,AFFLE (INDIA) LIMITED,30621,331.45
AGARIND,AGARWAL INDS CORP LTD.,26264,88.71
AHLEAST,ASIAN HOTELS (EAST) LTD,1581,2.96
AHLUCONT,AHLUWALIA CONT IND LTD,8703,30.73
AIAENG,AIA ENGINEERING LIMITED,15956,260.78
AJANTPHARM,AJANTA PHARMA LIMITED,34009,635.83
AJMERA,AJMERA REALTY & INF I LTD,2783,7.47
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5910,27.99
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,2000,0.04
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10348,199.67
ALANKIT,ALANKIT LIMITED,768230,117.90
ALBERTDAVD,ALBERT DAVID LIMITED,50042,298.66
ALCHEM,ALCHEMIST LTD,3963,0.06
ALEMBICLTD,ALEMBIC LIMITED,353676,329.73
ALICON,ALICON CASTALLOY LIMITED,9486,33.69
ALKALI,ALKALI METALS LTD,900,0.94
ALKEM,ALKEM LABORATORIES LTD.,18432,631.32
ALKYLAMINE,ALKYL AMINES CHEM. LTD,71992,1693.66
ALLCARGO,ALLCARGO LOGISTICS LTD,1618964,3338.49
ALLSEC,ALLSEC TECHNOLOGIES LTD,6866,42.11
ALOKINDS,ALOK INDUSTRIES LIMITED,26138359,6721.93
ALOKTEXT,ALOK INDUSTRIES LTD,34274,9.07
ALPA,ALPA LABORATORIES LTD,25068,21.65
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,7650,28.75
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1228953,7495.68
AMBER,AMBER ENTERPRISES (I) LTD,41558,1252.07
AMBIKCO,AMBIKA COTTON MILL LTD.,31033,424.63
AMBUJACEM,AMBUJA CEMENTS LTD,587293,1868.01
AMIORG,AMI ORGANICS LIMITED,60752,543.00
AMJLAND,AMJ LAND HOLDINGS LIMITED,500,0.17
AMRUTANJAN,AMRUTAJAN HEALTH LTD,22681,168.95
ANANDRATHI,ANAND RATHI WEALTH LTD,3899,24.79
ANANTRAJ,ANANT RAJ LIMITED,23863,13.13
ANDHRAPAP,ANDHRA PAPER LIMITED,18047,43.55
ANDHRSUGAR,ANDHRA SUGARS LTD,81950,118.92
ANDREWYU,ANDREW YULE & CO LTD,114353,28.56
ANGELONE,ANGEL ONE LIMITED,217557,2418.96
ANMOL,ANMOL INDIA LIMITED,7102,7.20
ANSALAPI,ANSAL PROP & INFRA LTD,10100,0.76
ANUP,THE ANUP ENGINEERING LTD,12932,97.64
ANURAS,ANUPAM RASAYAN INDIA LTD,53778,431.62
APARINDS,APAR INDUSTRIES LTD.,90522,643.07
APCL,ANJANI PORTLAND CEM LTD,30133,52.57
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,36339,108.02
APEX,APEX FROZEN FOODS LIMITED,119219,287.27
APLAPOLLO,APL APOLLO TUBES LTD,314893,3061.57
APLLTD,ALEMBIC PHARMA LTD,415388,3241.10
APOLLO,APOLLO MICRO SYSTEMS LTD,65700,102.32
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,156513,6822.56
APOLLOPIPE,APOLLO PIPES LIMITED,19533,110.81
APOLLOTYRE,APOLLO TYRES LTD,1247910,2348.80
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,155,1.41
APTECHT,APTECH LIMITED,174306,503.20
APTUS,APTUS VALUE HSG FIN I LTD,268592,905.53
ARCHIES,ARCHIES LTD,600,0.08
ARCOTECH,ARCOTECH LIMITED,200,0.00
ARIES,ARIES AGRO LTD.,5855,9.43
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,3293,6.98
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,6479,9.65
ARMANFIN,ARMAN FIN SERV LTD,3403,21.21
AROGRANITE,ARO GRANITE IND. LTD.,13686,10.70
