SEBI REPORT AS ON Reporting date 14-JAN-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2418461.27,
2,Fresh Exposure taken during the day,201168.48,
3,Exposure liquidated during the day,177940.64,
4,Net scripwise outstanding at the end of the day,2441689.11,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,34830,28.82
3IINFOLTD,3I INFOTECH LIMITED,250,0.30
3MINDIA,3M INDIA LIMITED,744,170.56
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,26774,117.48
63MOONS,63 MOONS TECHNOLOGIES LTD,14619,31.75
AAKASH,AAKASH EXPLORATION SER L,4500,11.73
AAREYDRUGS,AAREY DRUGS & PHARM LTD,29649,16.46
AARTIDRUGS,AARTI DRUGS LTD.,295483,1581.44
AARTIIND,AARTI INDUSTRIES LTD,199730,1907.03
AARTISURF,AARTI SURFACTANTS LIMITED,16867,156.42
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,9083,7.84
AAVAS,AAVAS FINANCIERS LIMITED,38394,937.98
ABAN,ABAN OFFSHORE LTD.,7105,3.59
ABB,ABB INDIA LIMITED,39435,771.08
ABBOTINDIA,ABBOTT INDIA LIMITED,12206,2115.91
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3690452,3935.87
ABFRL,ADITYA BIRLA FASHION & RT,1230032,3194.41
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,62648,284.84
ACC,ACC LIMITED,67397,1414.15
ACCELYA,ACCELYA SOLN INDIA LTD,56614,479.20
ACCURACY,ACCURACY SHIPPING LIMITED,5020,10.87
ACE,ACTION CONST EQUIP LTD,508960,839.98
ACRYSIL,ACRYSIL LIMITED,21947,144.03
ADANIENT,ADANI ENTERPRISES LIMITED,453583,6218.73
ADANIGREEN,ADANI GREEN ENERGY LTD,201852,2806.79
ADANIPORTS,ADANI PORT & SEZ LTD,2375515,15918.19
ADANIPOWER,ADANI POWER LTD,582330,633.79
ADANITRANS,ADANI TRANSMISSION LTD,2532,11.10
ADFFOODS,ADF FOODS LIMITED,55474,445.19
ADORWELD,ADOR WELDING LTD,2882,8.94
ADSL,ALLIED DIGITAL SERV. LTD,53583,54.36
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1900,1.54
ADVENZYMES,ADVANCED ENZYME TECH LTD,524643,1707.54
AEGISCHEM,AEGIS LOGISTICS LIMITED,913292,2012.87
AFFLE,AFFLE (INDIA) LIMITED,28738,353.22
AGARIND,AGARWAL INDS CORP LTD.,20692,76.00
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
