SEBI REPORT AS ON Reporting date 18-JAN-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2466622.29,
2,Fresh Exposure taken during the day,236073.76,
3,Exposure liquidated during the day,170960.73,
4,Net scripwise outstanding at the end of the day,2531735.32,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,39109,34.05
3IINFOLTD,3I INFOTECH LIMITED,150,0.13
3MINDIA,3M INDIA LIMITED,769,176.01
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,27531,120.92
63MOONS,63 MOONS TECHNOLOGIES LTD,17820,40.30
AAKASH,AAKASH EXPLORATION SER L,4500,11.73
AAREYDRUGS,AAREY DRUGS & PHARM LTD,20686,11.60
AARTIDRUGS,AARTI DRUGS LTD.,299272,1584.17
AARTIIND,AARTI INDUSTRIES LTD,187100,1800.11
AARTISURF,AARTI SURFACTANTS LIMITED,17150,157.44
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,8583,7.36
AAVAS,AAVAS FINANCIERS LIMITED,34057,809.75
ABAN,ABAN OFFSHORE LTD.,8941,4.52
ABB,ABB INDIA LIMITED,34783,667.93
ABBOTINDIA,ABBOTT INDIA LIMITED,13316,2269.21
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3633214,3857.73
ABFRL,ADITYA BIRLA FASHION & RT,1354599,3721.06
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,61929,288.67
ACC,ACC LIMITED,104745,2185.54
ACCELYA,ACCELYA SOLN INDIA LTD,56076,473.49
ACCURACY,ACCURACY SHIPPING LIMITED,4307,9.33
ACE,ACTION CONST EQUIP LTD,525168,912.15
ACRYSIL,ACRYSIL LIMITED,22213,134.63
ADANIENT,ADANI ENTERPRISES LIMITED,488136,6830.04
ADANIGREEN,ADANI GREEN ENERGY LTD,218808,3114.76
ADANIPORTS,ADANI PORT & SEZ LTD,2439899,16478.93
ADANIPOWER,ADANI POWER LTD,566970,617.23
ADANITRANS,ADANI TRANSMISSION LTD,2531,11.11
ADFFOODS,ADF FOODS LIMITED,56212,453.81
ADORWELD,ADOR WELDING LTD,3018,10.08
ADSL,ALLIED DIGITAL SERV. LTD,53856,55.66
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1250,0.99
ADVENZYMES,ADVANCED ENZYME TECH LTD,502239,1648.84
AEGISCHEM,AEGIS LOGISTICS LIMITED,978969,2129.11
AFFLE,AFFLE (INDIA) LIMITED,31218,388.68
AGARIND,AGARWAL INDS CORP LTD.,19539,72.07
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,1206,2.31
AHLUCONT,AHLUWALIA CONT IND LTD,10326,37.85
AIAENG,AIA ENGINEERING LIMITED,11174,197.96
AJANTPHARM,AJANTA PHARMA LIMITED,23555,466.56
AJMERA,AJMERA REALTY & INF I LTD,1758,6.39
AJOONI,AJOONI BIOTECH LIMITED,0,0.00
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5587,25.53
AKZOINDIA,AKZO NOBEL INDIA LIMITED,11650,222.86
ALANKIT,ALANKIT LIMITED,971709,152.53
ALBERTDAVD,ALBERT DAVID LIMITED,50261,301.51
ALEMBICLTD,ALEMBIC LIMITED,232145,201.85
ALICON,ALICON CASTALLOY LIMITED,7945,23.26
ALKALI,ALKALI METALS LTD,9335,10.35
ALKEM,ALKEM LABORATORIES LTD.,28462,1001.15
ALKYLAMINE,ALKYL AMINES CHEM. LTD,73451,1857.99
ALLCARGO,ALLCARGO LOGISTICS LTD,1579154,3319.00
ALLSEC,ALLSEC TECHNOLOGIES LTD,11940,73.27
ALOKINDS,ALOK INDUSTRIES LIMITED,26662415,7037.26
ALOKTEXT,ALOK INDUSTRIES LTD,39974,10.61
ALPA,ALPA LABORATORIES LTD,75666,68.42
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,6673,26.65
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1248545,7666.02
AMBER,AMBER ENTERPRISES (I) LTD,45477,1437.17
AMBIKCO,AMBIKA COTTON MILL LTD.,26791,370.51
AMBUJACEM,AMBUJA CEMENTS LTD,1002366,3445.54
AMIORG,AMI ORGANICS LIMITED,96287,831.23
AMJLAND,AMJ LAND HOLDINGS LIMITED,7640,2.79
AMRUTANJAN,AMRUTAJAN HEALTH LTD,27468,212.52
ANANDRATHI,ANAND RATHI WEALTH LTD,13769,77.96
ANANTRAJ,ANANT RAJ LIMITED,95465,67.14
ANDHRAPAP,ANDHRA PAPER LIMITED,18297,44.10
ANDHRSUGAR,ANDHRA SUGARS LTD,177346,239.30
ANDREWYU,ANDREW YULE & CO LTD,634649,167.95
ANGELONE,ANGEL ONE LIMITED,507186,6258.46
ANMOL,ANMOL INDIA LIMITED,7499,9.10
ANSALAPI,ANSAL PROP & INFRA LTD,100,0.01
ANUP,THE ANUP ENGINEERING LTD,16307,144.45
ANURAS,ANUPAM RASAYAN INDIA LTD,50857,417.92
APARINDS,APAR INDUSTRIES LTD.,70281,482.61
APCL,ANJANI PORTLAND CEM LTD,25618,35.79
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,53959,168.48
APEX,APEX FROZEN FOODS LIMITED,156295,397.42
APLAPOLLO,APL APOLLO TUBES LTD,297871,2778.84
APLLTD,ALEMBIC PHARMA LTD,443243,3446.07
APOLLO,APOLLO MICRO SYSTEMS LTD,34688,54.90
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,280702,12279.87
APOLLOPIPE,APOLLO PIPES LIMITED,21974,109.69
APOLLOTYRE,APOLLO TYRES LTD,874970,1709.43
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,153,1.40
APTECHT,APTECH LIMITED,193369,591.38
APTUS,APTUS VALUE HSG FIN I LTD,359711,1235.00
ARCHIES,ARCHIES LTD,600,0.01
ARCOTECH,ARCOTECH LIMITED,200,0.00
ARIES,ARIES AGRO LTD.,15207,25.34
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,5191,12.52
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,7342,11.15
ARMANFIN,ARMAN FIN SERV LTD,4430,26.47
AROGRANITE,ARO GRANITE IND. LTD.,20510,16.73
ARSHIYA,ARSHIYA LIMITED,1000,0.25
ARTEMISMED,ARTEMIS MED SERVICE LTD,280,0.06
ARVIND,ARVIND LIMITED,976049,1173.98
ARVINDFASN,ARVIND FASHIONS LIMITED,267315,600.14
ARVSMART,ARVIND SMARTSPACES LTD,3180,5.58
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,102903,459.70
ASAHISONG,ASAHI SONGWON COLOR LTD,3752,13.94
ASAL,AUTOMOTIVE STAMPINGS & AS,500,3.13
ASALCBR,ASSO ALCOHOLS & BREW LTD,77321,372.25
ASHAPURMIN,ASHAPURA MINECHEM LTD,29718,25.99
ASHIANA,ASHIANA HOUSING LTD,67710,78.72
ASHOKA,ASHOKA BUILDCON LTD,2030829,1875.49
ASHOKLEY,ASHOK LEYLAND LTD,4815578,5696.91
ASIANENE,ASIAN ENERGY SERVICES LTD,12762,20.00
ASIANPAINT,ASIAN PAINTS LIMITED,180590,5263.04
ASIANTILES,ASIAN GRANITO IND. LTD.,276545,356.11
ASPINWALL,ASPINWALL & CO LTD,150,0.22
ASTEC,ASTEC LIFESCIENCES LTD,9201,106.29
ASTERDM,ASTER DM HEALTHCARE LTD.,994760,1714.71
ASTRAL,ASTRAL LIMITED,63367,1273.78
ASTRAMICRO,ASTRA MICROWAVE LTD,792842,1623.53
ASTRAZEN,ASTRAZENECA PHARMA IND LT,42930,1354.29
ASTRON,ASTRON PAPER BORD MIL LTD,23839,13.69
ATFL,AGRO TECH FOODS LIMITED,4082,33.23
ATGL,ADANI TOTAL GAS LIMITED,3672,28.35
ATUL,ATUL LTD,11921,1007.06
ATULAUTO,ATUL AUTO LIMITED,31253,60.31
AUBANK,AU SMALL FINANCE BANK LTD,793661,9918.87
AURIONPRO,AURIONPRO SOLN LTD,158412,463.02
AUROPHARMA,AUROBINDO PHARMA LTD,3058261,22318.07
AURUM,AURUM PROPTECH LIMITED,17873,20.62
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,12864,157.90
AVADHSUGAR,AVADH SUG & ENERGY LTD,58524,217.11
AVANTIFEED,AVANTI FEEDS LIMITED,229332,1188.26
AVTNPL,AVT NATURAL PRODUCTS LTD,53151,35.46
AWHCL,ANTONY WASTE HDG CELL LTD,231597,647.88
AXISBANK,AXIS BANK LIMITED,3972324,26082.06
AXISBPSETF,AXISAMC - AXISBPSETF,2155,0.22
AXISCADES,AXISCADES TECH LTD,138,0.11
AXISGOLD,AXIS MF - AXIS GOLD ETF,1323,0.40
