SEBI REPORT AS ON Reporting date 19-JAN-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2406113.16,
2,Fresh Exposure taken during the day,136139.86,
3,Exposure liquidated during the day,111235.40,
4,Net scripwise outstanding at the end of the day,2431017.62,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,36904,32.30
3IINFOLTD,3I INFOTECH LIMITED,150,0.13
3MINDIA,3M INDIA LIMITED,746,172.59
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,26488,115.70
63MOONS,63 MOONS TECHNOLOGIES LTD,1043,2.67
AAKASH,AAKASH EXPLORATION SER L,4500,11.73
AAREYDRUGS,AAREY DRUGS & PHARM LTD,25487,14.57
AARTIDRUGS,AARTI DRUGS LTD.,272854,1448.28
AARTIIND,AARTI INDUSTRIES LTD,185134,1792.53
AARTISURF,AARTI SURFACTANTS LIMITED,16125,144.89
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,8583,7.36
AAVAS,AAVAS FINANCIERS LIMITED,29560,699.56
ABAN,ABAN OFFSHORE LTD.,8914,4.51
ABB,ABB INDIA LIMITED,38750,725.82
ABBOTINDIA,ABBOTT INDIA LIMITED,12877,2132.98
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3329608,3560.99
ABFRL,ADITYA BIRLA FASHION & RT,1277111,3516.66
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,54137,249.55
ACC,ACC LIMITED,100967,2097.57
ACCELYA,ACCELYA SOLN INDIA LTD,54389,453.49
ACCURACY,ACCURACY SHIPPING LIMITED,3566,7.72
ACE,ACTION CONST EQUIP LTD,493988,851.83
ACRYSIL,ACRYSIL LIMITED,20214,124.22
ADANIENT,ADANI ENTERPRISES LIMITED,488326,6883.77
ADANIGREEN,ADANI GREEN ENERGY LTD,218235,3137.42
ADANIPORTS,ADANI PORT & SEZ LTD,2470960,16743.69
ADANIPOWER,ADANI POWER LTD,582333,635.45
ADANITRANS,ADANI TRANSMISSION LTD,2531,11.11
ADFFOODS,ADF FOODS LIMITED,53459,432.97
ADORWELD,ADOR WELDING LTD,3143,10.83
ADSL,ALLIED DIGITAL SERV. LTD,48957,48.90
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1280,1.01
ADVENZYMES,ADVANCED ENZYME TECH LTD,479238,1577.43
AEGISCHEM,AEGIS LOGISTICS LIMITED,987688,2154.12
AFFLE,AFFLE (INDIA) LIMITED,20487,264.07
AGARIND,AGARWAL INDS CORP LTD.,20492,77.11
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,1206,2.31
AHLUCONT,AHLUWALIA CONT IND LTD,11776,40.65
AIAENG,AIA ENGINEERING LIMITED,10665,188.02
AJANTPHARM,AJANTA PHARMA LIMITED,23976,460.80
AJMERA,AJMERA REALTY & INF I LTD,908,2.87
AJOONI,AJOONI BIOTECH LIMITED,100,0.07
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5587,25.53
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10651,205.30
ALANKIT,ALANKIT LIMITED,992720,157.22
