SEBI REPORT AS ON Reporting date 03-FEB-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2456527.44,
2,Fresh Exposure taken during the day,203083.49,
3,Exposure liquidated during the day,142394.54,
4,Net scripwise outstanding at the end of the day,2517216.38,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,32551,28.40
3IINFOLTD,3I INFOTECH LIMITED,250,0.27
3MINDIA,3M INDIA LIMITED,705,165.78
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,24799,99.63
63MOONS,63 MOONS TECHNOLOGIES LTD,2250,1.33
A2ZINFRA,A2Z INFRA ENGINEERING LTD,26994,3.30
AAKASH,AAKASH EXPLORATION SER L,3500,9.12
AAREYDRUGS,AAREY DRUGS & PHARM LTD,25336,14.29
AARTIDRUGS,AARTI DRUGS LTD.,281606,1446.23
AARTIIND,AARTI INDUSTRIES LTD,232977,2209.85
AARTISURF,AARTI SURFACTANTS LIMITED,17657,156.22
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,8583,7.36
AAVAS,AAVAS FINANCIERS LIMITED,17263,414.26
ABAN,ABAN OFFSHORE LTD.,7355,3.72
ABB,ABB INDIA LIMITED,35957,700.25
ABBOTINDIA,ABBOTT INDIA LIMITED,14489,2361.48
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4086555,4282.33
ABFRL,ADITYA BIRLA FASHION & RT,1282358,3529.53
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,84110,369.28
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9,0.00
ACC,ACC LIMITED,84901,1744.96
ACCELYA,ACCELYA SOLN INDIA LTD,46525,383.48
ACCURACY,ACCURACY SHIPPING LIMITED,382,0.83
ACE,ACTION CONST EQUIP LTD,426370,710.83
ACRYSIL,ACRYSIL LIMITED,24373,138.05
ADANIENT,ADANI ENTERPRISES LIMITED,541156,7623.33
ADANIGREEN,ADANI GREEN ENERGY LTD,223707,3293.27
ADANIPORTS,ADANI PORT & SEZ LTD,2621958,17475.24
ADANIPOWER,ADANI POWER LTD,388049,400.68
ADANITRANS,ADANI TRANSMISSION LTD,68,0.29
ADFFOODS,ADF FOODS LIMITED,51142,406.70
ADORWELD,ADOR WELDING LTD,2925,9.85
ADSL,ALLIED DIGITAL SERV. LTD,73947,81.94
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,600,0.48
ADVENZYMES,ADVANCED ENZYME TECH LTD,436089,1423.57
AEGISCHEM,AEGIS LOGISTICS LIMITED,1012828,2145.11
AFFLE,AFFLE (INDIA) LIMITED,30255,323.20
AGARIND,AGARWAL INDS CORP LTD.,20506,91.91
AGSTRA,AGS TRANSACT TECH LTD,2000,3.34
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,1081,2.07
AHLUCONT,AHLUWALIA CONT IND LTD,7879,24.56
AIAENG,AIA ENGINEERING LIMITED,10700,192.88
AJANTPHARM,AJANTA PHARMA LIMITED,28034,533.30
AJMERA,AJMERA REALTY & INF I LTD,7484,31.62
AJOONI,AJOONI BIOTECH LIMITED,100,0.07
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,10089,44.88
AKZOINDIA,AKZO NOBEL INDIA LIMITED,9644,183.64
ALANKIT,ALANKIT LIMITED,977951,158.77
ALBERTDAVD,ALBERT DAVID LIMITED,49696,297.69
ALCHEM,ALCHEMIST LTD,0,0.00
ALEMBICLTD,ALEMBIC LIMITED,202147,176.61
ALICON,ALICON CASTALLOY LIMITED,7127,24.47
ALKALI,ALKALI METALS LTD,5600,7.91
