SEBI REPORT AS ON Reporting date 04-MAR-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2507572.42,
2,Fresh Exposure taken during the day,154415.34,
3,Exposure liquidated during the day,156722.03,
4,Net scripwise outstanding at the end of the day,2505265.73,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,21298,18.42
3IINFOLTD,3I INFOTECH LIMITED,100,0.05
3MINDIA,3M INDIA LIMITED,972,206.88
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,21440,79.16
63MOONS,63 MOONS TECHNOLOGIES LTD,0,0.00
A2ZINFRA,A2Z INFRA ENGINEERING LTD,36994,4.43
AAKASH,AAKASH EXPLORATION SER L,1,0.00
AAREYDRUGS,AAREY DRUGS & PHARM LTD,22013,11.19
AARTIDRUGS,AARTI DRUGS LTD.,273863,1311.79
AARTIIND,AARTI INDUSTRIES LTD,372694,3294.26
AARTISURF,AARTI SURFACTANTS LIMITED,15871,132.72
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,6583,5.48
AAVAS,AAVAS FINANCIERS LIMITED,17351,421.10
ABAN,ABAN OFFSHORE LTD.,3845,2.05
ABB,ABB INDIA LIMITED,43189,829.37
ABBOTINDIA,ABBOTT INDIA LIMITED,9657,1548.14
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4268752,4385.51
ABFRL,ADITYA BIRLA FASHION & RT,1565093,4165.21
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,79162,335.85
ABSLBANETF,BIRLASLAMC - ABSLBANETF,2400,0.84
ACC,ACC LIMITED,114248,2236.09
ACCELYA,ACCELYA SOLN INDIA LTD,33052,283.97
ACCURACY,ACCURACY SHIPPING LIMITED,75,0.18
ACE,ACTION CONST EQUIP LTD,393455,645.98
ACRYSIL,ACRYSIL LIMITED,29164,154.04
ADANIENT,ADANI ENTERPRISES LIMITED,521744,7273.35
ADANIGREEN,ADANI GREEN ENERGY LTD,119117,1845.36
ADANIPORTS,ADANI PORT & SEZ LTD,2303007,15172.63
ADANIPOWER,ADANI POWER LTD,3339262,3603.14
ADANITRANS,ADANI TRANSMISSION LTD,342,3.31
ADFFOODS,ADF FOODS LIMITED,47952,380.60
ADORWELD,ADOR WELDING LTD,3452,11.95
ADSL,ALLIED DIGITAL SERV. LTD,68993,75.04
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,10505,9.73
ADVENZYMES,ADVANCED ENZYME TECH LTD,418292,1354.49
AEGISCHEM,AEGIS LOGISTICS LIMITED,839513,1760.64
AFFLE,AFFLE (INDIA) LIMITED,47560,512.34
AGARIND,AGARWAL INDS CORP LTD.,20779,105.99
AGSTRA,AGS TRANSACT TECH LTD,5873,6.85
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,2033,4.09
AHLUCONT,AHLUWALIA CONT IND LTD,8216,25.87
AIAENG,AIA ENGINEERING LIMITED,16518,272.78
AJANTPHARM,AJANTA PHARMA LIMITED,26173,448.69
AJMERA,AJMERA REALTY & INF I LTD,4856,19.27
AJOONI,AJOONI BIOTECH LIMITED,1611,1.12
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,5843,26.15
AKZOINDIA,AKZO NOBEL INDIA LIMITED,15434,294.74
ALANKIT,ALANKIT LIMITED,972252,147.73
ALBERTDAVD,ALBERT DAVID LIMITED,53051,313.69
ALCHEM,ALCHEMIST LTD,3963,0.14
ALEMBICLTD,ALEMBIC LIMITED,233170,199.89
ALICON,ALICON CASTALLOY LIMITED,7750,23.06
ALKALI,ALKALI METALS LTD,200,0.24
ALKEM,ALKEM LABORATORIES LTD.,21922,745.80
ALKYLAMINE,ALKYL AMINES CHEM. LTD,65550,1467.39
ALLCARGO,ALLCARGO LOGISTICS LTD,1727156,3810.11
ALLSEC,ALLSEC TECHNOLOGIES LTD,7697,33.50
ALOKINDS,ALOK INDUSTRIES LIMITED,21417517,5807.05
ALOKTEXT,ALOK INDUSTRIES LTD,44032,13.31
ALPA,ALPA LABORATORIES LTD,53690,49.92
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,6743,24.63
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1117713,6435.16
AMBER,AMBER ENTERPRISES (I) LTD,28920,927.93
AMBIKCO,AMBIKA COTTON MILL LTD.,13105,168.44
AMBUJACEM,AMBUJA CEMENTS LTD,1433456,4167.12
AMIORG,AMI ORGANICS LIMITED,76819,597.08
AMJLAND,AMJ LAND HOLDINGS LIMITED,5052,1.89
AMRUTANJAN,AMRUTAJAN HEALTH LTD,19341,136.60
ANANDRATHI,ANAND RATHI WEALTH LTD,16734,95.24
ANANTRAJ,ANANT RAJ LIMITED,212795,125.99
ANDHRAPAP,ANDHRA PAPER LIMITED,41120,95.39
ANDHRSUGAR,ANDHRA SUGARS LTD,413126,547.57
ANDREWYU,ANDREW YULE & CO LTD,658054,160.04
ANGELONE,ANGEL ONE LIMITED,470135,5924.07
ANMOL,ANMOL INDIA LIMITED,5700,8.66
ANSALAPI,ANSAL PROP & INFRA LTD,100,0.01
ANUP,THE ANUP ENGINEERING LTD,18898,134.66
ANURAS,ANUPAM RASAYAN INDIA LTD,74523,595.42
APARINDS,APAR INDUSTRIES LTD.,82025,490.96
APCL,ANJANI PORTLAND CEM LTD,19740,27.14
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,23548,64.75
APEX,APEX FROZEN FOODS LIMITED,150217,367.32
APLAPOLLO,APL APOLLO TUBES LTD,311716,2743.91
APLLTD,ALEMBIC PHARMA LTD,398825,2957.01
APOLLO,APOLLO MICRO SYSTEMS LTD,20869,32.02
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,150566,6464.07
APOLLOPIPE,APOLLO PIPES LIMITED,23577,110.15
APOLLOTYRE,APOLLO TYRES LTD,1770386,2913.45
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,153,1.40
APTECHT,APTECH LIMITED,257474,715.22
APTUS,APTUS VALUE HSG FIN I LTD,134367,419.48
ARCOTECH,ARCOTECH LIMITED,200,0.00
ARIES,ARIES AGRO LTD.,7028,11.39
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,19052,63.95
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,7981,11.64
ARMANFIN,ARMAN FIN SERV LTD,6672,38.41
AROGRANITE,ARO GRANITE IND. LTD.,13623,9.45
ARVIND,ARVIND LIMITED,1266656,1370.59
