SEBI REPORT AS ON Reporting date 18-APR-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2627393.12,
2,Fresh Exposure taken during the day,202903.11,
3,Exposure liquidated during the day,185423.40,
4,Net scripwise outstanding at the end of the day,2644872.83,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,17520,15.38
3IINFOLTD,3I INFOTECH LIMITED,100,0.06
3MINDIA,3M INDIA LIMITED,1280,236.19
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,21540,75.59
63MOONS,63 MOONS TECHNOLOGIES LTD,2025,2.54
A2ZINFRA,A2Z INFRA ENGINEERING LTD,36994,4.43
AAKASH,AAKASH EXPLORATION SER L,12000,3.10
AAREYDRUGS,AAREY DRUGS & PHARM LTD,10940,5.10
AARTIDRUGS,AARTI DRUGS LTD.,326582,1584.99
AARTIIND,AARTI INDUSTRIES LTD,289030,2515.53
AARTISURF,AARTI SURFACTANTS LIMITED,26684,200.31
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,3993,4.42
AAVAS,AAVAS FINANCIERS LIMITED,61468,1380.07
ABAN,ABAN OFFSHORE LTD.,32032,17.83
ABB,ABB INDIA LIMITED,53860,988.06
ABBOTINDIA,ABBOTT INDIA LIMITED,7071,1135.77
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3798348,3898.60
ABFRL,ADITYA BIRLA FASHION & RT,1049141,2714.31
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,90719,380.81
ABSLBANETF,BIRLASLAMC - ABSLBANETF,0,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,99,0.04
ACC,ACC LIMITED,109889,2156.93
ACCELYA,ACCELYA SOLN INDIA LTD,38994,342.76
ACCURACY,ACCURACY SHIPPING LIMITED,2,0.00
ACE,ACTION CONST EQUIP LTD,388656,647.71
ACRYSIL,ACRYSIL LIMITED,51012,357.33
ADANIENT,ADANI ENTERPRISES LIMITED,256101,4535.88
ADANIGREEN,ADANI GREEN ENERGY LTD,127464,2574.49
ADANIPORTS,ADANI PORT & SEZ LTD,2030389,14345.41
ADANIPOWER,ADANI POWER LTD,3130874,4936.69
ADANITRANS,ADANI TRANSMISSION LTD,41337,1016.18
ADFFOODS,ADF FOODS LIMITED,62268,458.96
ADORWELD,ADOR WELDING LTD,5743,23.00
ADSL,ALLIED DIGITAL SERV. LTD,125053,156.01
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,2510,2.56
ADVENZYMES,ADVANCED ENZYME TECH LTD,454915,1409.07
AEGISCHEM,AEGIS LOGISTICS LIMITED,819577,1734.05
AFFLE,AFFLE (INDIA) LIMITED,92023,1027.83
AGARIND,AGARWAL INDS CORP LTD.,23778,130.29
AGSTRA,AGS TRANSACT TECH LTD,200828,210.57
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,1957,4.49
AHLUCONT,AHLUWALIA CONT IND LTD,15722,51.77
AIAENG,AIA ENGINEERING LIMITED,12634,186.45
AIRAN,AIRAN LIMITED,7000,1.58
AJANTPHARM,AJANTA PHARMA LIMITED,47562,731.67
AJMERA,AJMERA REALTY & INF I LTD,8995,34.31
AJOONI,AJOONI BIOTECH LIMITED,2586,1.73
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2503,11.11
AKZOINDIA,AKZO NOBEL INDIA LIMITED,12782,234.64
ALANKIT,ALANKIT LIMITED,800258,126.96
ALBERTDAVD,ALBERT DAVID LIMITED,58650,344.59
ALCHEM,ALCHEMIST LTD,3963,0.09
ALEMBICLTD,ALEMBIC LIMITED,412117,300.19
ALICON,ALICON CASTALLOY LIMITED,5843,15.26
ALKALI,ALKALI METALS LTD,100,0.10
ALKEM,ALKEM LABORATORIES LTD.,23396,784.43
ALKYLAMINE,ALKYL AMINES CHEM. LTD,60397,1335.02
ALLCARGO,ALLCARGO LOGISTICS LTD,1522988,3223.49
ALLSEC,ALLSEC TECHNOLOGIES LTD,51866,272.64
ALOKINDS,ALOK INDUSTRIES LIMITED,17678588,4830.55
ALOKTEXT,ALOK INDUSTRIES LTD,12400,3.46
ALPA,ALPA LABORATORIES LTD,34850,32.48
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,5372,18.56
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1009291,5721.81
AMBER,AMBER ENTERPRISES (I) LTD,36869,1095.08
AMBIKCO,AMBIKA COTTON MILL LTD.,14237,263.67
AMBUJACEM,AMBUJA CEMENTS LTD,969787,2933.83
AMIORG,AMI ORGANICS LIMITED,74444,599.57
