SEBI REPORT AS ON Reporting date 06-APR-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2423931.89,
2,Fresh Exposure taken during the day,288280.87,
3,Exposure liquidated during the day,199869.42,
4,Net scripwise outstanding at the end of the day,2512343.34,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,20410,17.84
3IINFOLTD,3I INFOTECH LIMITED,100,0.06
3MINDIA,3M INDIA LIMITED,1363,254.94
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,23975,86.46
63MOONS,63 MOONS TECHNOLOGIES LTD,2165,2.94
A2ZINFRA,A2Z INFRA ENGINEERING LTD,36994,4.43
AAKASH,AAKASH EXPLORATION SER L,15000,3.87
AAREYDRUGS,AAREY DRUGS & PHARM LTD,11039,5.15
AARTIDRUGS,AARTI DRUGS LTD.,315717,1515.94
AARTIIND,AARTI INDUSTRIES LTD,273148,2383.81
AARTISURF,AARTI SURFACTANTS LIMITED,25485,186.61
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AARVI,AARVI ENCON LIMITED,2000,2.11
AAVAS,AAVAS FINANCIERS LIMITED,69457,1516.24
ABAN,ABAN OFFSHORE LTD.,17439,9.04
ABB,ABB INDIA LIMITED,60711,1141.56
ABBOTINDIA,ABBOTT INDIA LIMITED,8067,1297.64
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3722524,3770.99
ABFRL,ADITYA BIRLA FASHION & RT,1478151,4038.40
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,91744,388.13
ACC,ACC LIMITED,167243,3307.55
ACCELYA,ACCELYA SOLN INDIA LTD,38699,338.29
ACCURACY,ACCURACY SHIPPING LIMITED,2,0.00
ACE,ACTION CONST EQUIP LTD,403527,686.97
ACRYSIL,ACRYSIL LIMITED,51541,362.01
ADANIENT,ADANI ENTERPRISES LIMITED,250539,4183.98
ADANIGREEN,ADANI GREEN ENERGY LTD,145480,2578.37
ADANIPORTS,ADANI PORT & SEZ LTD,2047733,14359.67
ADANIPOWER,ADANI POWER LTD,3868690,6050.31
ADANITRANS,ADANI TRANSMISSION LTD,2504,27.05
ADFFOODS,ADF FOODS LIMITED,61708,453.27
ADORWELD,ADOR WELDING LTD,2429,8.46
ADSL,ALLIED DIGITAL SERV. LTD,73217,77.32
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,2210,2.08
ADVENZYMES,ADVANCED ENZYME TECH LTD,437785,1334.05
AEGISCHEM,AEGIS LOGISTICS LIMITED,1024969,2130.10
AFFLE,AFFLE (INDIA) LIMITED,77262,846.24
AGARIND,AGARWAL INDS CORP LTD.,25041,130.42
AGSTRA,AGS TRANSACT TECH LTD,167075,178.46
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,1957,4.49
AHLUCONT,AHLUWALIA CONT IND LTD,11172,34.94
AIAENG,AIA ENGINEERING LIMITED,14545,216.50
AIRAN,AIRAN LIMITED,8000,1.80
AJANTPHARM,AJANTA PHARMA LIMITED,47615,757.45
AJMERA,AJMERA REALTY & INF I LTD,6020,22.89
AJOONI,AJOONI BIOTECH LIMITED,2586,1.73
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2808,12.21
AKZOINDIA,AKZO NOBEL INDIA LIMITED,13483,248.30
ALANKIT,ALANKIT LIMITED,826311,130.68
ALBERTDAVD,ALBERT DAVID LIMITED,55393,325.04
ALCHEM,ALCHEMIST LTD,3963,0.05
ALEMBICLTD,ALEMBIC LIMITED,472375,337.26
ALICON,ALICON CASTALLOY LIMITED,6027,16.98
ALKALI,ALKALI METALS LTD,583,0.49
ALKEM,ALKEM LABORATORIES LTD.,25202,845.75
ALKYLAMINE,ALKYL AMINES CHEM. LTD,63595,1430.21
ALLCARGO,ALLCARGO LOGISTICS LTD,1726511,3935.77
ALLSEC,ALLSEC TECHNOLOGIES LTD,50133,262.92
ALOKINDS,ALOK INDUSTRIES LIMITED,17480620,4796.40
ALOKTEXT,ALOK INDUSTRIES LTD,24400,6.70
ALPA,ALPA LABORATORIES LTD,41720,37.74
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,5122,17.67
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1025815,5831.06
AMBER,AMBER ENTERPRISES (I) LTD,38725,1181.88
AMBIKCO,AMBIKA COTTON MILL LTD.,15762,274.78
AMBUJACEM,AMBUJA CEMENTS LTD,1565154,4519.37
AMIORG,AMI ORGANICS LIMITED,84557,697.21
AMJLAND,AMJ LAND HOLDINGS LIMITED,1000,0.36
AMRUTANJAN,AMRUTAJAN HEALTH LTD,19900,147.76
ANANDRATHI,ANAND RATHI WEALTH LTD,11949,67.07
ANANTRAJ,ANANT RAJ LIMITED,255626,139.80
ANDHRAPAP,ANDHRA PAPER LIMITED,53686,152.59
ANDHRSUGAR,ANDHRA SUGARS LTD,500749,609.39
ANDREWYU,ANDREW YULE & CO LTD,599014,144.29
ANGELONE,ANGEL ONE LIMITED,524870,7109.70
ANMOL,ANMOL INDIA LIMITED,7900,12.07
ANSALAPI,ANSAL PROP & INFRA LTD,100,0.01
ANUP,THE ANUP ENGINEERING LTD,22649,152.77
