SEBI REPORT AS ON Reporting date 16-MAY-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2545752.42,
2,Fresh Exposure taken during the day,121593.66,
3,Exposure liquidated during the day,135611.84,
4,Net scripwise outstanding at the end of the day,2531734.23,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,13750,12.05
3IINFOLTD,3I INFOTECH LIMITED,700,0.35
3MINDIA,3M INDIA LIMITED,1861,329.23
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,23746,76.60
63MOONS,63 MOONS TECHNOLOGIES LTD,1427,1.96
A2ZINFRA,A2Z INFRA ENGINEERING LTD,36994,4.43
AAKASH,AAKASH EXPLORATION SER L,50,0.01
AAREYDRUGS,AAREY DRUGS & PHARM LTD,9367,4.37
AARTIDRUGS,AARTI DRUGS LTD.,282364,1353.25
AARTIIND,AARTI INDUSTRIES LTD,335517,2702.95
AARTISURF,AARTI SURFACTANTS LIMITED,21288,149.02
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AAVAS,AAVAS FINANCIERS LIMITED,58980,1247.38
ABAN,ABAN OFFSHORE LTD.,21334,13.81
ABB,ABB INDIA LIMITED,26741,517.71
ABBOTINDIA,ABBOTT INDIA LIMITED,7746,1222.78
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3490303,3364.92
ABFRL,ADITYA BIRLA FASHION & RT,906902,2289.41
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,54367,219.21
ACC,ACC LIMITED,78500,1571.36
ACCELYA,ACCELYA SOLN INDIA LTD,40371,350.57
ACCURACY,ACCURACY SHIPPING LIMITED,172,0.40
ACE,ACTION CONST EQUIP LTD,414751,688.61
ACRYSIL,ACRYSIL LIMITED,53044,363.30
ADANIENT,ADANI ENTERPRISES LIMITED,291087,5353.33
ADANIGREEN,ADANI GREEN ENERGY LTD,163168,3333.84
ADANIPORTS,ADANI PORT & SEZ LTD,2306049,16524.34
ADANIPOWER,ADANI POWER LTD,2494545,4741.36
ADANITRANS,ADANI TRANSMISSION LTD,26417,562.74
ADFFOODS,ADF FOODS LIMITED,48102,338.55
