SEBI REPORT AS ON Reporting date 05-MAY-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2749906.95,
2,Fresh Exposure taken during the day,142793.19,
3,Exposure liquidated during the day,156121.39,
4,Net scripwise outstanding at the end of the day,2736578.75,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,19760,17.53
3IINFOLTD,3I INFOTECH LIMITED,100,0.05
3MINDIA,3M INDIA LIMITED,1825,328.11
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,26338,88.34
63MOONS,63 MOONS TECHNOLOGIES LTD,52,0.10
A2ZINFRA,A2Z INFRA ENGINEERING LTD,36994,4.43
AAKASH,AAKASH EXPLORATION SER L,50,0.01
AAREYDRUGS,AAREY DRUGS & PHARM LTD,10250,4.78
AARTIDRUGS,AARTI DRUGS LTD.,301293,1449.23
AARTIIND,AARTI INDUSTRIES LTD,347949,2934.10
AARTISURF,AARTI SURFACTANTS LIMITED,25631,181.28
AARVEEDEN,AARVEE DEN. & EXP. LTD,1,0.00
AAVAS,AAVAS FINANCIERS LIMITED,61278,1327.10
ABAN,ABAN OFFSHORE LTD.,31716,20.72
ABB,ABB INDIA LIMITED,39795,706.89
ABBOTINDIA,ABBOTT INDIA LIMITED,8310,1317.59
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3147802,3211.05
ABFRL,ADITYA BIRLA FASHION & RT,1069480,2783.53
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,73672,304.21
ABSLBANETF,BIRLASLAMC - ABSLBANETF,28,0.01
ACC,ACC LIMITED,58128,1192.52
ACCELYA,ACCELYA SOLN INDIA LTD,36297,308.41
ACCURACY,ACCURACY SHIPPING LIMITED,2,0.00
ACE,ACTION CONST EQUIP LTD,464782,846.47
ACRYSIL,ACRYSIL LIMITED,53685,370.53
ADANIENT,ADANI ENTERPRISES LIMITED,312097,5846.17
ADANIGREEN,ADANI GREEN ENERGY LTD,156062,3645.55
ADANIPORTS,ADANI PORT & SEZ LTD,2327471,17400.34
ADANIPOWER,ADANI POWER LTD,3797346,8043.47
ADANITRANS,ADANI TRANSMISSION LTD,33711,783.16
ADFFOODS,ADF FOODS LIMITED,59525,436.54
ADORWELD,ADOR WELDING LTD,3895,12.74
ADSL,ALLIED DIGITAL SERV. LTD,150230,199.46
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,3310,2.88
ADVENZYMES,ADVANCED ENZYME TECH LTD,396561,1213.35
AEGISCHEM,AEGIS LOGISTICS LIMITED,868357,1825.33
AFFLE,AFFLE (INDIA) LIMITED,109648,1219.83
AGARIND,AGARWAL INDS CORP LTD.,11899,76.88
AGSTRA,AGS TRANSACT TECH LTD,267613,290.80
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,290,0.60
AHLUCONT,AHLUWALIA CONT IND LTD,17398,55.44
AIAENG,AIA ENGINEERING LIMITED,4256,70.24
AIRAN,AIRAN LIMITED,9080,2.05
AJANTPHARM,AJANTA PHARMA LIMITED,38888,606.97
AJMERA,AJMERA REALTY & INF I LTD,5536,21.26
AJOONI,AJOONI BIOTECH LIMITED,3386,2.37
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2678,11.47
AKZOINDIA,AKZO NOBEL INDIA LIMITED,14019,256.45
ALANKIT,ALANKIT LIMITED,769512,115.31
ALBERTDAVD,ALBERT DAVID LIMITED,58227,342.92
ALCHEM,ALCHEMIST LTD,3963,0.17
ALEMBICLTD,ALEMBIC LIMITED,440579,306.34
ALICON,ALICON CASTALLOY LIMITED,4587,6.06
ALKALI,ALKALI METALS LTD,100,0.10
ALKEM,ALKEM LABORATORIES LTD.,23920,802.07
ALKYLAMINE,ALKYL AMINES CHEM. LTD,56633,1273.54
ALLCARGO,ALLCARGO LOGISTICS LTD,1523056,3229.22
ALLSEC,ALLSEC TECHNOLOGIES LTD,51211,269.45
ALOKINDS,ALOK INDUSTRIES LIMITED,15796629,4294.06
ALOKTEXT,ALOK INDUSTRIES LTD,19399,5.22
ALPA,ALPA LABORATORIES LTD,27875,26.43
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,4689,16.07
AMARAJABAT,AMARA RAJA BATTERIES LTD.,990219,5559.15
AMBER,AMBER ENTERPRISES (I) LTD,20411,645.00
AMBIKCO,AMBIKA COTTON MILL LTD.,16742,291.69
AMBUJACEM,AMBUJA CEMENTS LTD,1413178,4744.49
AMIORG,AMI ORGANICS LIMITED,66876,627.88
AMRUTANJAN,AMRUTAJAN HEALTH LTD,19509,147.21
ANANDRATHI,ANAND RATHI WEALTH LTD,38087,221.76
ANANTRAJ,ANANT RAJ LIMITED,275061,151.83
ANDHRAPAP,ANDHRA PAPER LIMITED,53105,158.01
ANDHRSUGAR,ANDHRA SUGARS LTD,322335,429.76
ANDREWYU,ANDREW YULE & CO LTD,498033,120.55
ANGELONE,ANGEL ONE LIMITED,498570,7241.03
ANMOL,ANMOL INDIA LIMITED,7900,11.76
ANUP,THE ANUP ENGINEERING LTD,20871,145.14
ANURAS,ANUPAM RASAYAN INDIA LTD,66611,527.24
APARINDS,APAR INDUSTRIES LTD.,77926,456.98
APCL,ANJANI PORTLAND CEM LTD,28541,48.64
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,31772,132.39
APEX,APEX FROZEN FOODS LIMITED,158963,399.91
APLAPOLLO,APL APOLLO TUBES LTD,281740,2584.13
APLLTD,ALEMBIC PHARMA LTD,287439,1953.85
APOLLO,APOLLO MICRO SYSTEMS LTD,11117,15.49
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,260764,10101.32
APOLLOPIPE,APOLLO PIPES LIMITED,52777,290.39
APOLLOTYRE,APOLLO TYRES LTD,1245826,2222.57
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,353,2.86
APTECHT,APTECH LIMITED,329664,937.83
APTUS,APTUS VALUE HSG FIN I LTD,138469,422.73
ARCOTECH,ARCOTECH LIMITED,200,0.01
ARIES,ARIES AGRO LTD.,9335,14.92
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,18650,76.43
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,5337,7.43
ARMANFIN,ARMAN FIN SERV LTD,9047,83.81
AROGRANITE,ARO GRANITE IND. LTD.,8691,5.40
ARTEMISMED,ARTEMIS MED SERVICE LTD,1000,0.42
ARVIND,ARVIND LIMITED,1249211,1309.30
ARVINDFASN,ARVIND FASHIONS LIMITED,188081,373.79
ARVSMART,ARVIND SMARTSPACES LTD,16644,24.41
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,158015,675.65
ASAHISONG,ASAHI SONGWON COLOR LTD,5411,16.95
ASAL,AUTOMOTIVE STAMPINGS & AS,800,4.53
ASALCBR,ASSO ALCOHOLS & BREW LTD,75004,363.66
ASHAPURMIN,ASHAPURA MINECHEM LTD,122719,144.53
ASHIANA,ASHIANA HOUSING LTD,74248,82.73
ASHOKA,ASHOKA BUILDCON LTD,2386470,2045.18
ASHOKLEY,ASHOK LEYLAND LTD,4175021,4456.25
ASIANENE,ASIAN ENERGY SERVICES LTD,150278,192.09
ASIANPAINT,ASIAN PAINTS LIMITED,232483,6022.16
ASIANTILES,ASIAN GRANITO IND. LTD.,779411,702.98
ASPINWALL,ASPINWALL & CO LTD,100,0.22
ASTEC,ASTEC LIFESCIENCES LTD,35471,550.29
ASTERDM,ASTER DM HEALTHCARE LTD.,642759,1060.03
ASTRAL,ASTRAL LIMITED,92219,1622.86
ASTRAMICRO,ASTRA MICROWAVE LTD,639859,1251.52
ASTRAZEN,ASTRAZENECA PHARMA IND LT,25701,734.62
ASTRON,ASTRON PAPER BORD MIL LTD,12723,6.42
ATFL,AGRO TECH FOODS LIMITED,3772,31.82
ATGL,ADANI TOTAL GAS LIMITED,16006,251.23
ATUL,ATUL LTD,12830,1074.93
ATULAUTO,ATUL AUTO LIMITED,125351,244.97
AUBANK,AU SMALL FINANCE BANK LTD,931964,11816.45
AURIONPRO,AURIONPRO SOLN LTD,115322,342.25
AUROPHARMA,AUROBINDO PHARMA LTD,1351498,8478.26
AURUM,AURUM PROPTECH LIMITED,3145,4.46
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,17729,263.80
AVADHSUGAR,AVADH SUG & ENERGY LTD,127908,547.79
AVANTIFEED,AVANTI FEEDS LIMITED,207043,888.64
AVTNPL,AVT NATURAL PRODUCTS LTD,51250,39.64
AWHCL,ANTONY WASTE HDG CELL LTD,153818,357.97
AWL,ADANI WILMAR LIMITED,1446224,9043.25
AXISBANK,AXIS BANK LIMITED,3884922,25222.40
AXISBPSETF,AXISAMC - AXISBPSETF,5733,0.60
AXISGOLD,AXIS MF - AXIS GOLD ETF,4242,1.33
AXISHCETF,AXISAMC - AXISHCETF,3,0.00
AXISNIFTY,AXISAMC - AXISNIFTY,8,0.01
AXISTECETF,AXISAMC - AXISTECETF,1,0.00
AYMSYNTEX,AYM SYNTEX LIMITED,10782,7.30
BAJAJ-AUTO,BAJAJ AUTO LIMITED,138079,4640.30
BAJAJCON,BAJAJ CONSUMER CARE LTD,1508639,2631.01
BAJAJELEC,BAJAJ ELECT.LTD,136382,1451.02
BAJAJFINSV,BAJAJ FINSERV LTD.,163753,22310.97
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,29326,72.82
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,2446897,400.14
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,41527,2147.17
BAJFINANCE,BAJAJ FINANCE LIMITED,1015292,60145.17
BALAJITELE,BALAJI TELEFILMS LIMITED.,495643,290.36
BALAMINES,BALAJI AMINES LIMITED,106390,2518.51
BALAXI,BALAXI PHARMA LTD,140,0.64
BALKRISIND,BALKRISHNA IND. LTD,84822,1565.10
BALMLAWRIE,BALMER LAWRIE & CO LTD,649268,770.66
BALPHARMA,BAL PHARMA LTD.,3386,4.33
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1361067,5463.57
BANARBEADS,BANARAS BEADS LTD,1212,1.17
BANARISUG,BANNARI AMMAN SUGARS LTD,1245,29.52
BANCOINDIA,BANCO PRODUCTS (I) LTD,149971,200.79
BANDHANBNK,BANDHAN BANK LIMITED,1236651,3428.59
BANKBARODA,BANK OF BARODA,7876937,7349.35
BANKBEES,NIP IND ETF BANK BEES,250428,765.97
BANKINDIA,BANK OF INDIA,10647459,4959.93
BANSWRAS,BANSWARA SYNTEX LIMITED,5039,14.06
BARBEQUE,BARBEQUE NATION HOSP. LTD,60105,641.41
BASF,BASF INDIA LTD,55553,1595.18
BASML,BANNARI AM SPIN MILL LTD.,45535,25.95
BATAINDIA,BATA INDIA LTD,122406,2155.85
BAYERCROP,BAYER CROPSCIENCE LTD,9347,408.87
BBETF0432,EDELAMC - BBETF0432,132,1.33
BBL,BHARAT BIJLEE LTD,53959,872.91
