SEBI REPORT AS ON Reporting date 08-JUN-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2450136.14,
2,Fresh Exposure taken during the day,131854.91,
3,Exposure liquidated during the day,128011.47,
4,Net scripwise outstanding at the end of the day,2453979.59,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,14077,12.35
3IINFOLTD,3I INFOTECH LIMITED,2100,0.98
3MINDIA,3M INDIA LIMITED,1563,281.10
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,25381,79.20
63MOONS,63 MOONS TECHNOLOGIES LTD,1145,1.89
A2ZINFRA,A2Z INFRA ENGINEERING LTD,37994,4.55
AAKASH,AAKASH EXPLORATION SER L,5050,1.08
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8775,3.94
AARTIDRUGS,AARTI DRUGS LTD.,282284,1313.39
AARTIIND,AARTI INDUSTRIES LTD,606739,4379.08
AARTISURF,AARTI SURFACTANTS LIMITED,20014,131.17
AAVAS,AAVAS FINANCIERS LIMITED,73821,1494.61
ABAN,ABAN OFFSHORE LTD.,30044,18.44
ABB,ABB INDIA LIMITED,33909,703.80
ABBOTINDIA,ABBOTT INDIA LIMITED,5642,897.78
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3348403,3210.55
ABFRL,ADITYA BIRLA FASHION & RT,1122142,2735.20
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,70914,267.63
ACC,ACC LIMITED,123230,2486.11
ACCELYA,ACCELYA SOLN INDIA LTD,43115,378.95
ACCURACY,ACCURACY SHIPPING LIMITED,415,0.92
ACE,ACTION CONST EQUIP LTD,358479,574.83
ACRYSIL,ACRYSIL LIMITED,78211,469.28
ADANIENT,ADANI ENTERPRISES LIMITED,344416,6390.18
ADANIGREEN,ADANI GREEN ENERGY LTD,378446,6470.87
ADANIPORTS,ADANI PORT & SEZ LTD,2326496,16278.39
ADANIPOWER,ADANI POWER LTD,2718063,5565.39
ADANITRANS,ADANI TRANSMISSION LTD,27193,509.83
ADFFOODS,ADF FOODS LIMITED,37632,271.44
ADORWELD,ADOR WELDING LTD,5086,21.45
ADSL,ALLIED DIGITAL SERV. LTD,150190,209.87
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,3650,3.16
ADVENZYMES,ADVANCED ENZYME TECH LTD,366711,1124.46
AEGISCHEM,AEGIS LOGISTICS LIMITED,739041,1519.92
AFFLE,AFFLE (INDIA) LIMITED,150825,1435.74
AGARIND,AGARWAL INDS CORP LTD.,63784,358.49
AGI,AGI GREENPAC LIMITED,98908,266.26
AGSTRA,AGS TRANSACT TECH LTD,332324,322.22
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,290,0.60
AHLUCONT,AHLUWALIA CONT IND LTD,10309,29.04
AIAENG,AIA ENGINEERING LIMITED,15170,331.34
AIRAN,AIRAN LIMITED,13730,3.13
AIROLAM,AIRO LAM LIMITED,803,0.55
AJANTPHARM,AJANTA PHARMA LIMITED,28337,451.12
AJMERA,AJMERA REALTY & INF I LTD,4483,14.67
AJOONI,AJOONI BIOTECH LIMITED,2960,2.07
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2495,10.36
AKZOINDIA,AKZO NOBEL INDIA LIMITED,11846,214.34
ALANKIT,ALANKIT LIMITED,605683,85.43
ALBERTDAVD,ALBERT DAVID LIMITED,51170,301.53
ALEMBICLTD,ALEMBIC LIMITED,393248,261.77
ALICON,ALICON CASTALLOY LIMITED,14755,65.48
ALKALI,ALKALI METALS LTD,100,0.10
ALKEM,ALKEM LABORATORIES LTD.,20748,686.81
ALKYLAMINE,ALKYL AMINES CHEM. LTD,60498,1310.10
ALLCARGO,ALLCARGO LOGISTICS LTD,1580470,3393.06
ALLSEC,ALLSEC TECHNOLOGIES LTD,51585,270.29
ALMONDZ,ALMONDZ GLOBAL SEC LTD,825,0.19
ALOKINDS,ALOK INDUSTRIES LIMITED,5999317,1549.19
ALOKTEXT,ALOK INDUSTRIES LTD,6406,1.69
ALPA,ALPA LABORATORIES LTD,29006,26.13
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,4040,13.46
AMARAJABAT,AMARA RAJA BATTERIES LTD.,914681,4963.83
AMBER,AMBER ENTERPRISES (I) LTD,55408,1317.03
AMBIKCO,AMBIKA COTTON MILL LTD.,16752,262.80
AMBUJACEM,AMBUJA CEMENTS LTD,2291738,7895.33
AMIORG,AMI ORGANICS LIMITED,48010,416.78
AMRUTANJAN,AMRUTAJAN HEALTH LTD,17301,126.65
ANANDRATHI,ANAND RATHI WEALTH LTD,14908,87.26
ANANTRAJ,ANANT RAJ LIMITED,362046,196.22
ANDHRAPAP,ANDHRA PAPER LIMITED,42125,119.22
