SEBI REPORT AS ON Reporting date 01-JUL-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2254389.68,
2,Fresh Exposure taken during the day,134149.54,
3,Exposure liquidated during the day,135399.47,
4,Net scripwise outstanding at the end of the day,2253139.75,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,9791,7.93
3IINFOLTD,3I INFOTECH LIMITED,5100,2.20
3MINDIA,3M INDIA LIMITED,1089,214.85
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,25168,75.39
63MOONS,63 MOONS TECHNOLOGIES LTD,2808,4.51
A2ZINFRA,A2Z INFRA ENGINEERING LTD,37994,4.55
AAKASH,AAKASH EXPLORATION SER L,294550,60.37
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8457,3.81
AARTIDRUGS,AARTI DRUGS LTD.,221110,1072.00
AARTIIND,AARTI INDUSTRIES LTD,524861,3764.23
AARTISURF,AARTI SURFACTANTS LIMITED,19058,110.88
AAVAS,AAVAS FINANCIERS LIMITED,63730,1277.37
ABAN,ABAN OFFSHORE LTD.,26069,15.56
ABB,ABB INDIA LIMITED,38026,771.13
ABBOTINDIA,ABBOTT INDIA LIMITED,4498,733.73
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3336795,3098.87
ABFRL,ADITYA BIRLA FASHION & RT,926676,2150.04
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,57013,212.94
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,43,0.02
ACC,ACC LIMITED,118639,2408.61
ACCELYA,ACCELYA SOLN INDIA LTD,39531,346.75
ACCURACY,ACCURACY SHIPPING LIMITED,2,0.00
ACE,ACTION CONST EQUIP LTD,309232,494.63
ACRYSIL,ACRYSIL LIMITED,62875,342.45
ADANIENT,ADANI ENTERPRISES LIMITED,321892,5960.48
