SEBI REPORT AS ON Reporting date 04-AUG-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2165576.50,
2,Fresh Exposure taken during the day,197352.80,
3,Exposure liquidated during the day,181241.72,
4,Net scripwise outstanding at the end of the day,2181687.59,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,6800,5.99
3IINFOLTD,3I INFOTECH LIMITED,7490,3.05
3IINFOTECH,3I INFOTECH LTD.,4400,1.79
3MINDIA,3M INDIA LIMITED,948,187.10
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,32405,92.53
63MOONS,63 MOONS TECHNOLOGIES LTD,4392,7.89
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,295500,60.50
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8533,3.84
AARTIDRUGS,AARTI DRUGS LTD.,220359,1049.95
AARTIIND,AARTI INDUSTRIES LTD,415461,3005.50
AARTISURF,AARTI SURFACTANTS LIMITED,14864,97.44
AAVAS,AAVAS FINANCIERS LIMITED,51580,1056.22
ABAN,ABAN OFFSHORE LTD.,27543,16.11
ABB,ABB INDIA LIMITED,40452,931.38
ABBOTINDIA,ABBOTT INDIA LIMITED,6143,1080.22
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3214813,3067.89
ABFRL,ADITYA BIRLA FASHION & RT,939313,2272.34
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,54844,198.50
ACC,ACC LIMITED,112113,2329.21
ACCELYA,ACCELYA SOLN INDIA LTD,41783,388.21
ACCURACY,ACCURACY SHIPPING LIMITED,2,0.00
ACE,ACTION CONST EQUIP LTD,316178,509.08
ACRYSIL,ACRYSIL LIMITED,46727,255.81
ADANIENT,ADANI ENTERPRISES LIMITED,160733,3247.09
ADANIGREEN,ADANI GREEN ENERGY LTD,372118,6854.81
ADANIPORTS,ADANI PORT & SEZ LTD,1869865,12817.65
ADANIPOWER,ADANI POWER LTD,2834965,6913.94
ADANITRANS,ADANI TRANSMISSION LTD,11799,232.73
ADFFOODS,ADF FOODS LIMITED,33571,240.02
ADORWELD,ADOR WELDING LTD,15861,74.26
ADSL,ALLIED DIGITAL SERV. LTD,155316,204.33
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,2100,1.92
ADVENZYMES,ADVANCED ENZYME TECH LTD,282262,856.29
AEGISCHEM,AEGIS LOGISTICS LIMITED,436775,956.90
AETHER,AETHER INDUSTRIES LIMITED,11639,82.96
AFFLE,AFFLE (INDIA) LIMITED,133266,1232.28
AGARIND,AGARWAL INDS CORP LTD.,34163,178.41
AGI,AGI GREENPAC LIMITED,157529,368.08
AGSTRA,AGS TRANSACT TECH LTD,136604,105.85
AHLADA,AHLADA ENGINEERS LIMITED,1150,1.42
AHLEAST,ASIAN HOTELS (EAST) LTD,5363,9.39
AHLUCONT,AHLUWALIA CONT IND LTD,12545,42.90
AIAENG,AIA ENGINEERING LIMITED,15314,328.01
AIRAN,AIRAN LIMITED,120515,25.37
AJANTPHARM,AJANTA PHARMA LIMITED,24001,352.50
AJMERA,AJMERA REALTY & INF I LTD,38729,103.21
AJOONI,AJOONI BIOTECH LIMITED,1324,0.78
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2273,9.25
AKZOINDIA,AKZO NOBEL INDIA LIMITED,7158,129.69
ALANKIT,ALANKIT LIMITED,243398,27.80
ALBERTDAVD,ALBERT DAVID LIMITED,57715,336.85
ALEMBICLTD,ALEMBIC LIMITED,429238,270.08
ALICON,ALICON CASTALLOY LIMITED,28748,145.87
ALKALI,ALKALI METALS LTD,300,0.26
ALKEM,ALKEM LABORATORIES LTD.,21267,695.39
ALKYLAMINE,ALKYL AMINES CHEM. LTD,48235,1045.71
ALLCARGO,ALLCARGO LOGISTICS LTD,1732318,3831.45
ALLSEC,ALLSEC TECHNOLOGIES LTD,52767,274.19
ALMONDZ,ALMONDZ GLOBAL SEC LTD,825,0.19
ALOKINDS,ALOK INDUSTRIES LIMITED,4410683,1140.32
ALPA,ALPA LABORATORIES LTD,43280,35.19
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2394,7.33
AMARAJABAT,AMARA RAJA BATTERIES LTD.,747928,3845.10
AMBER,AMBER ENTERPRISES (I) LTD,40570,897.34
AMBIKCO,AMBIKA COTTON MILL LTD.,16475,221.63
AMBUJACEM,AMBUJA CEMENTS LTD,3851126,13775.75
AMDIND,AMD INDUSTRIES LIMITED,3104,1.64
AMIORG,AMI ORGANICS LIMITED,42107,381.38
