SEBI REPORT AS ON Reporting date 15-SEP-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2509167.04,
2,Fresh Exposure taken during the day,247253.16,
3,Exposure liquidated during the day,199369.56,
4,Net scripwise outstanding at the end of the day,2557050.63,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,57461,61.89
3IINFOLTD,3I INFOTECH LIMITED,326118,136.20
3IINFOTECH,3I INFOTECH LTD.,3550,1.77
3MINDIA,3M INDIA LIMITED,1094,223.55
500012,ANDHRA PETROCHEMICALS LTD.,124,0.13
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
506414,FERMENTA BIOTECH LIMITED,3,0.01
532323,SHIVA CEMENT LTD.,1000,0.40
532485,BALMER LAWRIE INVESTMENTS LTD.,548,2.28
541167,YASHO INDUSTRIES LIMITED,73,1.29
5PAISA,5PAISA CAPITAL LIMITED,28489,81.30
63MOONS,63 MOONS TECHNOLOGIES LTD,2765,4.11
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,5000,1.06
AAREYDRUGS,AAREY DRUGS & PHARM LTD,14505,6.19
AARTIDRUGS,AARTI DRUGS LTD.,313209,1480.79
AARTIIND,AARTI INDUSTRIES LTD,418729,3248.31
AARTISURF,AARTI SURFACTANTS LIMITED,23390,168.81
AAVAS,AAVAS FINANCIERS LIMITED,58366,1220.30
ABAN,ABAN OFFSHORE LTD.,32123,19.32
ABB,ABB INDIA LIMITED,64847,1878.66
ABBOTINDIA,ABBOTT INDIA LIMITED,15539,2609.33
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3143804,3282.88
ABFRL,ADITYA BIRLA FASHION & RT,704767,1837.37
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,51840,205.30
ACC,ACC LIMITED,128230,2993.84
ACCELYA,ACCELYA SOLN INDIA LTD,55166,522.76
ACCURACY,ACCURACY SHIPPING LIMITED,521,1.25
ACE,ACTION CONST EQUIP LTD,400786,997.59
ACRYSIL,ACRYSIL LIMITED,108025,558.56
ADANIENT,ADANI ENTERPRISES LIMITED,352366,9912.78
ADANIGREEN,ADANI GREEN ENERGY LTD,426566,8408.92
ADANIPORTS,ADANI PORT & SEZ LTD,1841082,14363.30
ADANIPOWER,ADANI POWER LTD,381994,793.73
ADANITRANS,ADANI TRANSMISSION LTD,22487,591.73
ADFFOODS,ADF FOODS LIMITED,25209,178.15
ADORWELD,ADOR WELDING LTD,16551,119.07
ADSL,ALLIED DIGITAL SERV. LTD,148856,192.76
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,3596,3.27
ADVENZYMES,ADVANCED ENZYME TECH LTD,290459,875.45
AEGISCHEM,AEGIS LOGISTICS LIMITED,543856,1333.87
AETHER,AETHER INDUSTRIES LIMITED,44018,359.17
AFFLE,AFFLE (INDIA) LIMITED,187160,2058.01
AGARIND,AGARWAL INDS CORP LTD.,31767,178.69
AGI,AGI GREENPAC LIMITED,182873,475.37
AGSTRA,AGS TRANSACT TECH LTD,250411,183.17
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,11100,18.55
AHLUCONT,AHLUWALIA CONT IND LTD,9896,34.65
AIAENG,AIA ENGINEERING LIMITED,12605,279.91
AIRAN,AIRAN LIMITED,20904,4.44
AJANTPHARM,AJANTA PHARMA LIMITED,24114,360.72
AJMERA,AJMERA REALTY & INF I LTD,62722,160.28
AJOONI,AJOONI BIOTECH LIMITED,4910,2.40
AKSHAR,AKSHAR SPINTEX LIMITED,2000,2.36
