SEBI REPORT AS ON Reporting date 12-SEP-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2488832.81,
2,Fresh Exposure taken during the day,208580.62,
3,Exposure liquidated during the day,225469.58,
4,Net scripwise outstanding at the end of the day,2471943.85,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,61851,65.96
3IINFOLTD,3I INFOTECH LIMITED,275288,115.49
3IINFOTECH,3I INFOTECH LTD.,1750,0.84
3MINDIA,3M INDIA LIMITED,1089,222.30
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,30299,77.97
63MOONS,63 MOONS TECHNOLOGIES LTD,5282,6.15
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,5000,1.06
AAREYDRUGS,AAREY DRUGS & PHARM LTD,14505,6.19
AARTIDRUGS,AARTI DRUGS LTD.,310615,1450.41
AARTIIND,AARTI INDUSTRIES LTD,442575,3392.32
AARTISURF,AARTI SURFACTANTS LIMITED,18640,135.81
AAVAS,AAVAS FINANCIERS LIMITED,48450,1005.32
ABAN,ABAN OFFSHORE LTD.,36026,21.69
ABB,ABB INDIA LIMITED,40844,1150.91
ABBOTINDIA,ABBOTT INDIA LIMITED,12872,2187.19
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2799713,2905.08
ABFRL,ADITYA BIRLA FASHION & RT,801283,2053.92
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,52828,209.24
ACC,ACC LIMITED,93449,2028.42
ACCELYA,ACCELYA SOLN INDIA LTD,51686,490.91
ACCURACY,ACCURACY SHIPPING LIMITED,521,1.25
ACE,ACTION CONST EQUIP LTD,363626,867.55
ACRYSIL,ACRYSIL LIMITED,98134,492.21
ADANIENT,ADANI ENTERPRISES LIMITED,351372,9439.38
ADANIGREEN,ADANI GREEN ENERGY LTD,420744,8322.27
ADANIPORTS,ADANI PORT & SEZ LTD,1813804,13754.72
ADANIPOWER,ADANI POWER LTD,399430,840.50
