SEBI REPORT AS ON Reporting date 01-SEP-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2370602.97,
2,Fresh Exposure taken during the day,219525.92,
3,Exposure liquidated during the day,162233.56,
4,Net scripwise outstanding at the end of the day,2427895.32,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,52370,56.52
3IINFOLTD,3I INFOTECH LIMITED,77019,28.44
3IINFOTECH,3I INFOTECH LTD.,1600,0.73
3MINDIA,3M INDIA LIMITED,868,175.16
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,23534,55.41
63MOONS,63 MOONS TECHNOLOGIES LTD,4807,6.32
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,5500,1.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,7605,3.39
AARTIDRUGS,AARTI DRUGS LTD.,236150,1123.83
AARTIIND,AARTI INDUSTRIES LTD,491711,3728.16
AARTISURF,AARTI SURFACTANTS LIMITED,14042,92.69
AAVAS,AAVAS FINANCIERS LIMITED,56951,1183.55
ABAN,ABAN OFFSHORE LTD.,54989,32.65
ABB,ABB INDIA LIMITED,29380,740.48
ABBOTINDIA,ABBOTT INDIA LIMITED,11136,1907.11
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2735238,2807.48
ABFRL,ADITYA BIRLA FASHION & RT,972729,2439.36
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,64308,263.73
ACC,ACC LIMITED,71569,1436.98
ACCELYA,ACCELYA SOLN INDIA LTD,52479,497.34
ACCURACY,ACCURACY SHIPPING LIMITED,5,0.01
ACE,ACTION CONST EQUIP LTD,426352,807.02
ACRYSIL,ACRYSIL LIMITED,76043,411.57
ADANIENT,ADANI ENTERPRISES LIMITED,286116,7014.60
ADANIGREEN,ADANI GREEN ENERGY LTD,367644,7213.70
ADANIPORTS,ADANI PORT & SEZ LTD,2183299,15782.40
ADANIPOWER,ADANI POWER LTD,464309,1043.03
ADANITRANS,ADANI TRANSMISSION LTD,22354,580.32
ADFFOODS,ADF FOODS LIMITED,27935,199.22
ADORWELD,ADOR WELDING LTD,8242,48.08
ADSL,ALLIED DIGITAL SERV. LTD,77630,97.11
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,3836,3.41
ADVENZYMES,ADVANCED ENZYME TECH LTD,313372,933.62
AEGISCHEM,AEGIS LOGISTICS LIMITED,397180,913.57
AETHER,AETHER INDUSTRIES LIMITED,31692,252.38
AFFLE,AFFLE (INDIA) LIMITED,165867,1765.04
AGARIND,AGARWAL INDS CORP LTD.,27589,156.18
AGI,AGI GREENPAC LIMITED,168542,400.28
AGSTRA,AGS TRANSACT TECH LTD,256401,201.41
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,11118,17.83
AHLUCONT,AHLUWALIA CONT IND LTD,11375,38.90
AIAENG,AIA ENGINEERING LIMITED,9515,212.46
AIRAN,AIRAN LIMITED,17754,3.83
AJANTPHARM,AJANTA PHARMA LIMITED,25692,389.56
AJMERA,AJMERA REALTY & INF I LTD,42551,107.45
AJOONI,AJOONI BIOTECH LIMITED,4700,2.31
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2501,9.93
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,10135,1.00
AKZOINDIA,AKZO NOBEL INDIA LIMITED,7680,140.15
ALANKIT,ALANKIT LIMITED,200757,33.85
ALBERTDAVD,ALBERT DAVID LIMITED,57572,336.00
ALEMBICLTD,ALEMBIC LIMITED,433028,284.15
ALICON,ALICON CASTALLOY LIMITED,12114,64.88
ALKEM,ALKEM LABORATORIES LTD.,29507,903.69
ALKYLAMINE,ALKYL AMINES CHEM. LTD,57467,1349.93
ALLCARGO,ALLCARGO LOGISTICS LTD,1777870,3979.89
ALLSEC,ALLSEC TECHNOLOGIES LTD,53944,281.50
ALMONDZ,ALMONDZ GLOBAL SEC LTD,825,0.15
ALOKINDS,ALOK INDUSTRIES LIMITED,4514848,1173.13
ALPA,ALPA LABORATORIES LTD,24845,21.88
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2457,7.49
AMARAJABAT,AMARA RAJA BATTERIES LTD.,855081,4420.04
AMBER,AMBER ENTERPRISES (I) LTD,71807,1543.44
AMBIKCO,AMBIKA COTTON MILL LTD.,17457,237.16
AMBUJACEM,AMBUJA CEMENTS LTD,4655111,17545.36
AMIORG,AMI ORGANICS LIMITED,63461,557.21
AMRUTANJAN,AMRUTAJAN HEALTH LTD,37446,252.08
ANANDRATHI,ANAND RATHI WEALTH LTD,9253,47.63
ANANTRAJ,ANANT RAJ LIMITED,769644,520.33
ANDHRAPAP,ANDHRA PAPER LIMITED,48567,157.24
ANDHRSUGAR,ANDHRA SUGARS LTD,404850,515.21
ANDREWYU,ANDREW YULE & CO LTD,372294,82.02
ANGELONE,ANGEL ONE LIMITED,615315,7883.19
ANMOL,ANMOL INDIA LIMITED,5390,6.70
ANUP,THE ANUP ENGINEERING LTD,17225,123.33
ANURAS,ANUPAM RASAYAN INDIA LTD,191700,1246.13
APARINDS,APAR INDUSTRIES LTD.,49452,381.11
APCL,ANJANI PORTLAND CEM LTD,16952,24.95
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,75673,388.24
APEX,APEX FROZEN FOODS LIMITED,157739,398.22
APLAPOLLO,APL APOLLO TUBES LTD,287842,2619.30
APLLTD,ALEMBIC PHARMA LTD,205936,1179.19
APOLLO,APOLLO MICRO SYSTEMS LTD,24680,34.41
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,172611,6291.46
APOLLOPIPE,APOLLO PIPES LIMITED,65693,320.62
APOLLOTYRE,APOLLO TYRES LTD,602583,1183.75
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,11,0.10
APTECHT,APTECH LIMITED,367450,800.67
APTUS,APTUS VALUE HSG FIN I LTD,136240,410.23
ARIES,ARIES AGRO LTD.,6244,9.64
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,500,0.37
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,29567,39.20
ARMANFIN,ARMAN FIN SERV LTD,21740,223.03
AROGRANITE,ARO GRANITE IND. LTD.,3920,2.40
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,102790,59.68
ARVIND,ARVIND LIMITED,1812829,1619.62
ARVINDFASN,ARVIND FASHIONS LIMITED,139914,326.57
ARVSMART,ARVIND SMARTSPACES LTD,38696,66.74
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,184654,1014.75
ASAHISONG,ASAHI SONGWON COLOR LTD,2773,9.06
ASALCBR,ASSO ALCOHOLS & BREW LTD,99514,440.56
ASHAPURMIN,ASHAPURA MINECHEM LTD,112377,105.11
ASHIANA,ASHIANA HOUSING LTD,43425,42.55
ASHOKA,ASHOKA BUILDCON LTD,2094449,1675.70
ASHOKLEY,ASHOK LEYLAND LTD,1664342,2108.93
ASIANENE,ASIAN ENERGY SERVICES LTD,112217,117.21
ASIANPAINT,ASIAN PAINTS LIMITED,195927,5112.00
ASIANTILES,ASIAN GRANITO IND. LTD.,355422,245.76
ASPINWALL,ASPINWALL & CO LTD,1147,2.81
ASTEC,ASTEC LIFESCIENCES LTD,9047,154.34
ASTERDM,ASTER DM HEALTHCARE LTD.,401874,664.00
ASTRAL,ASTRAL LIMITED,91337,1515.30
ASTRAMICRO,ASTRA MICROWAVE LTD,1007025,2804.82
ASTRAZEN,ASTRAZENECA PHARMA IND LT,10794,333.91
ASTRON,ASTRON PAPER BORD MIL LTD,14375,6.63
ATFL,AGRO TECH FOODS LIMITED,8225,58.55
ATGL,ADANI TOTAL GAS LIMITED,27193,628.62
