SEBI REPORT AS ON Reporting date 07-OCT-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2595281.54,
2,Fresh Exposure taken during the day,152923.22,
3,Exposure liquidated during the day,142324.77,
4,Net scripwise outstanding at the end of the day,2605879.99,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,57636,62.62
3IINFOLTD,3I INFOTECH LIMITED,267097,95.09
3IINFOTECH,3I INFOTECH LTD.,12092,5.55
3MINDIA,3M INDIA LIMITED,1092,231.02
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
506414,FERMENTA BIOTECH LIMITED,3,0.01
532323,SHIVA CEMENT LTD.,1000,0.40
532485,BALMER LAWRIE INVESTMENTS LTD.,200,0.85
541167,YASHO INDUSTRIES LIMITED,30,0.51
5PAISA,5PAISA CAPITAL LIMITED,25677,67.28
63MOONS,63 MOONS TECHNOLOGIES LTD,2896,4.66
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,5000,1.06
AAREYDRUGS,AAREY DRUGS & PHARM LTD,15505,6.61
AARTIDRUGS,AARTI DRUGS LTD.,227625,1105.62
AARTIIND,AARTI INDUSTRIES LTD,572422,4334.00
AARTISURF,AARTI SURFACTANTS LIMITED,19947,139.77
AAVAS,AAVAS FINANCIERS LIMITED,74852,1549.15
ABAN,ABAN OFFSHORE LTD.,22564,13.36
ABB,ABB INDIA LIMITED,60352,1705.19
ABBOTINDIA,ABBOTT INDIA LIMITED,10480,1808.60
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2994564,3110.70
ABFRL,ADITYA BIRLA FASHION & RT,700467,1937.20
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,48172,197.44
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,4,0.00
ACC,ACC LIMITED,278207,6443.99
ACCELYA,ACCELYA SOLN INDIA LTD,47936,459.15
ACCURACY,ACCURACY SHIPPING LIMITED,413,1.05
ACE,ACTION CONST EQUIP LTD,398699,952.16
ACRYSIL,ACRYSIL LIMITED,160979,812.29
ADANIENT,ADANI ENTERPRISES LIMITED,717802,21788.43
ADANIGREEN,ADANI GREEN ENERGY LTD,394029,7409.39
ADANIPORTS,ADANI PORT & SEZ LTD,2685198,20713.17
ADANIPOWER,ADANI POWER LTD,278844,555.94
ADANITRANS,ADANI TRANSMISSION LTD,52581,1460.46
ADFFOODS,ADF FOODS LIMITED,34874,234.29
ADORWELD,ADOR WELDING LTD,7098,50.34
ADSL,ALLIED DIGITAL SERV. LTD,169927,214.12
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,7600,6.59
ADVENZYMES,ADVANCED ENZYME TECH LTD,298194,898.67
AEGISCHEM,AEGIS LOGISTICS LIMITED,540824,1301.18
AETHER,AETHER INDUSTRIES LIMITED,29859,232.45
AFFLE,AFFLE (INDIA) LIMITED,192025,2109.76
AGARIND,AGARWAL INDS CORP LTD.,36093,206.01
AGI,AGI GREENPAC LIMITED,178079,510.90
AGSTRA,AGS TRANSACT TECH LTD,277668,198.47
AHLADA,AHLADA ENGINEERS LIMITED,750,1.04
AHLEAST,ASIAN HOTELS (EAST) LTD,8000,12.90
AHLUCONT,AHLUWALIA CONT IND LTD,10518,37.14
AIAENG,AIA ENGINEERING LIMITED,9894,213.29
AIRAN,AIRAN LIMITED,15005,3.15
AJANTPHARM,AJANTA PHARMA LIMITED,23221,300.91
AJMERA,AJMERA REALTY & INF I LTD,71448,180.61
AJOONI,AJOONI BIOTECH LIMITED,3886,1.90
AKSHAR,AKSHAR SPINTEX LIMITED,3500,3.94
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,7393,34.50
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,17613,2.25
AKZOINDIA,AKZO NOBEL INDIA LIMITED,8005,148.35
ALANKIT,ALANKIT LIMITED,243293,33.68
ALBERTDAVD,ALBERT DAVID LIMITED,44703,264.52
ALEMBICLTD,ALEMBIC LIMITED,503828,329.93
ALICON,ALICON CASTALLOY LIMITED,8471,35.21
ALKALI,ALKALI METALS LTD,2500,2.37
ALKEM,ALKEM LABORATORIES LTD.,32033,1027.07
ALKYLAMINE,ALKYL AMINES CHEM. LTD,58711,1419.95
ALLCARGO,ALLCARGO LOGISTICS LTD,1905482,4569.75
ALLSEC,ALLSEC TECHNOLOGIES LTD,54748,283.83
ALMONDZ,ALMONDZ GLOBAL SEC LTD,825,0.23
ALOKINDS,ALOK INDUSTRIES LIMITED,3406188,881.80
ALPA,ALPA LABORATORIES LTD,23714,20.88
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,1552,4.88
AMARAJABAT,AMARA RAJA BATTERIES LTD.,828218,4335.20
AMBER,AMBER ENTERPRISES (I) LTD,54777,1167.95
AMBIKCO,AMBIKA COTTON MILL LTD.,16781,226.63
AMBUJACEM,AMBUJA CEMENTS LTD,5239678,24504.69
AMIORG,AMI ORGANICS LIMITED,167920,1604.80
AMRUTANJAN,AMRUTAJAN HEALTH LTD,36013,242.72
