SEBI REPORT AS ON Reporting date 25-OCT-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2636919.62,
2,Fresh Exposure taken during the day,149064.02,
3,Exposure liquidated during the day,161348.86,
4,Net scripwise outstanding at the end of the day,2624634.78,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,61600,66.13
3IINFOLTD,3I INFOTECH LIMITED,296905,103.83
3IINFOTECH,3I INFOTECH LTD.,14105,6.15
3MINDIA,3M INDIA LIMITED,1094,234.98
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
506414,FERMENTA BIOTECH LIMITED,3,0.01
532323,SHIVA CEMENT LTD.,1000,0.40
532485,BALMER LAWRIE INVESTMENTS LTD.,200,0.85
541167,YASHO INDUSTRIES LIMITED,0,0.00
5PAISA,5PAISA CAPITAL LIMITED,29396,75.99
63MOONS,63 MOONS TECHNOLOGIES LTD,774,1.18
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,5000,1.06
AAREYDRUGS,AAREY DRUGS & PHARM LTD,15405,6.55
AARTIDRUGS,AARTI DRUGS LTD.,221821,1076.46
AARTIIND,AARTI INDUSTRIES LTD,291412,2213.08
AARTISURF,AARTI SURFACTANTS LIMITED,18167,128.56
AAVAS,AAVAS FINANCIERS LIMITED,78660,1560.18
ABAN,ABAN OFFSHORE LTD.,23771,13.76
ABB,ABB INDIA LIMITED,69101,1906.60
ABBOTINDIA,ABBOTT INDIA LIMITED,10837,1844.43
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2972496,3112.24
ABFRL,ADITYA BIRLA FASHION & RT,761456,2161.76
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,49539,199.80
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,228,0.10
ACC,ACC LIMITED,309050,6957.41
ACCELYA,ACCELYA SOLN INDIA LTD,52243,543.51
ACCURACY,ACCURACY SHIPPING LIMITED,1857,4.74
ACE,ACTION CONST EQUIP LTD,415534,1034.20
ACRYSIL,ACRYSIL LIMITED,164890,790.59
ADANIENT,ADANI ENTERPRISES LIMITED,688105,20773.38
ADANIGREEN,ADANI GREEN ENERGY LTD,418017,7791.99
ADANIPORTS,ADANI PORT & SEZ LTD,3087622,23353.98
ADANIPOWER,ADANI POWER LTD,247945,512.14
ADANITRANS,ADANI TRANSMISSION LTD,61531,1677.53
ADFFOODS,ADF FOODS LIMITED,34737,244.66
ADORWELD,ADOR WELDING LTD,10976,83.49
ADSL,ALLIED DIGITAL SERV. LTD,183146,225.51
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,6643,5.71
ADVENZYMES,ADVANCED ENZYME TECH LTD,292496,884.77
AEGISCHEM,AEGIS LOGISTICS LIMITED,522139,1289.96
AETHER,AETHER INDUSTRIES LIMITED,25934,213.23
AFFLE,AFFLE (INDIA) LIMITED,206419,2216.72
AGARIND,AGARWAL INDS CORP LTD.,25773,132.00
AGI,AGI GREENPAC LIMITED,168309,478.06
AGSTRA,AGS TRANSACT TECH LTD,269535,195.61
AHLUCONT,AHLUWALIA CONT IND LTD,11381,41.65
AIAENG,AIA ENGINEERING LIMITED,8098,183.92
AIRAN,AIRAN LIMITED,22531,4.38
AJANTPHARM,AJANTA PHARMA LIMITED,22392,278.46
AJMERA,AJMERA REALTY & INF I LTD,65202,161.03
