SEBI REPORT AS ON Reporting date 02-NOV-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2520393.86,
2,Fresh Exposure taken during the day,175772.65,
3,Exposure liquidated during the day,157180.01,
4,Net scripwise outstanding at the end of the day,2538986.50,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,56936,61.09
3IINFOLTD,3I INFOTECH LIMITED,285760,98.79
3IINFOTECH,3I INFOTECH LTD.,13710,5.95
3MINDIA,3M INDIA LIMITED,1043,225.60
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
506414,FERMENTA BIOTECH LIMITED,3,0.01
532323,SHIVA CEMENT LTD.,1000,0.40
532485,BALMER LAWRIE INVESTMENTS LTD.,152,0.65
5PAISA,5PAISA CAPITAL LIMITED,26830,66.22
63MOONS,63 MOONS TECHNOLOGIES LTD,718,1.09
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,5000,1.06
AAREYDRUGS,AAREY DRUGS & PHARM LTD,15405,6.55
AARTIDRUGS,AARTI DRUGS LTD.,222501,1076.88
AARTIIND,AARTI INDUSTRIES LTD,254906,1950.96
AARTISURF,AARTI SURFACTANTS LIMITED,24435,155.01
AAVAS,AAVAS FINANCIERS LIMITED,77188,1518.46
ABAN,ABAN OFFSHORE LTD.,22148,12.90
ABB,ABB INDIA LIMITED,61346,1676.13
ABBOTINDIA,ABBOTT INDIA LIMITED,6977,1194.84
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3006396,3156.67
ABFRL,ADITYA BIRLA FASHION & RT,664113,1878.85
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,59830,236.37
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,111,0.05
ACC,ACC LIMITED,220548,5095.30
ACCELYA,ACCELYA SOLN INDIA LTD,102810,1235.96
ACCURACY,ACCURACY SHIPPING LIMITED,1854,4.73
ACE,ACTION CONST EQUIP LTD,448972,1108.46
ACRYSIL,ACRYSIL LIMITED,173867,807.13
ADANIENT,ADANI ENTERPRISES LIMITED,623685,18916.16
ADANIGREEN,ADANI GREEN ENERGY LTD,400213,7446.50
ADANIPORTS,ADANI PORT & SEZ LTD,3111742,23833.12
ADANIPOWER,ADANI POWER LTD,234062,471.90
ADANITRANS,ADANI TRANSMISSION LTD,72105,1985.68
ADFFOODS,ADF FOODS LIMITED,31550,221.60
ADORWELD,ADOR WELDING LTD,9889,74.79
ADSL,ALLIED DIGITAL SERV. LTD,171086,207.98
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,6138,5.33
ADVENZYMES,ADVANCED ENZYME TECH LTD,287812,869.55
AEGISCHEM,AEGIS LOGISTICS LIMITED,419204,993.47
AETHER,AETHER INDUSTRIES LIMITED,28700,232.76
