SEBI REPORT AS ON Reporting date 30-DEC-2022,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2790930.51,
2,Fresh Exposure taken during the day,145786.74,
3,Exposure liquidated during the day,139656.34,
4,Net scripwise outstanding at the end of the day,2797060.90,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,50511,53.84
3IINFOLTD,3I INFOTECH LIMITED,445827,155.68
3IINFOTECH,3I INFOTECH LTD.,7610,3.13
3MINDIA,3M INDIA LIMITED,1682,340.26
500012,ANDHRA PETROCHEMICALS LTD.,31,0.02
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
506414,FERMENTA BIOTECH LIMITED,3,0.01
541167,YASHO INDUSTRIES LIMITED,170,2.61
5PAISA,5PAISA CAPITAL LIMITED,21435,49.97
63MOONS,63 MOONS TECHNOLOGIES LTD,8655,14.12
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,3500,0.27
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8405,3.71
AARTIDRUGS,AARTI DRUGS LTD.,199682,964.88
AARTIIND,AARTI INDUSTRIES LTD,553392,3510.97
AARTISURF,AARTI SURFACTANTS LIMITED,27155,151.59
AARVI,AARVI ENCON LIMITED,719,1.22
AAVAS,AAVAS FINANCIERS LIMITED,98845,1900.18
ABAN,ABAN OFFSHORE LTD.,56458,29.96
ABB,ABB INDIA LIMITED,225990,5549.06
ABBOTINDIA,ABBOTT INDIA LIMITED,3869,722.76
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3025981,3952.18
ABFRL,ADITYA BIRLA FASHION & RT,1454650,4009.89
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,55247,215.83
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,70,0.03
ACC,ACC LIMITED,130038,3044.01
ACCELYA,ACCELYA SOLN INDIA LTD,114955,1379.14
ACCURACY,ACCURACY SHIPPING LIMITED,455,0.94
ACE,ACTION CONST EQUIP LTD,433510,1097.54
ACI,ARCHEAN CHEMICAL IND LTD,1000,5.30
ADANIENT,ADANI ENTERPRISES LIMITED,602921,20431.67
ADANIGREEN,ADANI GREEN ENERGY LTD,435588,7154.02
ADANIPORTS,ADANI PORT & SEZ LTD,2964442,23184.81
ADANIPOWER,ADANI POWER LTD,201306,398.76
ADANITRANS,ADANI TRANSMISSION LTD,174853,3906.56
ADFFOODS,ADF FOODS LIMITED,27219,196.84
