SEBI REPORT AS ON Reporting date 07-DEC-2022,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2599804.31,
2,Fresh Exposure taken during the day,168339.21,
3,Exposure liquidated during the day,136208.22,
4,Net scripwise outstanding at the end of the day,2631935.30,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,57950,61.69
3IINFOLTD,3I INFOTECH LIMITED,380047,126.10
3IINFOTECH,3I INFOTECH LTD.,8076,3.44
3MINDIA,3M INDIA LIMITED,1720,367.66
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
532323,SHIVA CEMENT LTD.,1000,0.40
5PAISA,5PAISA CAPITAL LIMITED,28250,69.63
63MOONS,63 MOONS TECHNOLOGIES LTD,1484,2.38
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,4000,0.31
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8405,3.71
AARTIDRUGS,AARTI DRUGS LTD.,207789,1003.61
AARTIIND,AARTI INDUSTRIES LTD,439018,2966.86
AARTISURF,AARTI SURFACTANTS LIMITED,24573,140.64
AARVI,AARVI ENCON LIMITED,1000,1.93
AAVAS,AAVAS FINANCIERS LIMITED,105276,2026.52
ABAN,ABAN OFFSHORE LTD.,41136,22.63
ABB,ABB INDIA LIMITED,281871,7186.96
ABBOTINDIA,ABBOTT INDIA LIMITED,5149,907.58
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3237462,4119.92
ABFRL,ADITYA BIRLA FASHION & RT,1323401,3669.19
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,78244,304.46
ABSLBANETF,BIRLASLAMC - ABSLBANETF,7,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,27,0.01
ACC,ACC LIMITED,175208,4117.22
ACCELYA,ACCELYA SOLN INDIA LTD,61950,678.18
ACCURACY,ACCURACY SHIPPING LIMITED,331,0.72
ACE,ACTION CONST EQUIP LTD,429083,1134.36
ADANIENT,ADANI ENTERPRISES LIMITED,548588,17971.41
ADANIGREEN,ADANI GREEN ENERGY LTD,460154,7705.89
ADANIPORTS,ADANI PORT & SEZ LTD,2853850,22636.06
ADANIPOWER,ADANI POWER LTD,276714,647.23
ADANITRANS,ADANI TRANSMISSION LTD,178298,4372.44
ADFFOODS,ADF FOODS LIMITED,30733,226.14
ADORWELD,ADOR WELDING LTD,7156,46.62
ADSL,ALLIED DIGITAL SERV. LTD,147902,181.22
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1940,1.60
ADVENZYMES,ADVANCED ENZYME TECH LTD,266406,806.31
AEGISCHEM,AEGIS LOGISTICS LIMITED,392047,993.35
AETHER,AETHER INDUSTRIES LIMITED,19821,155.44
AFFLE,AFFLE (INDIA) LIMITED,337966,3644.27
AGARIND,AGARWAL INDS CORP LTD.,35928,172.78
AGI,AGI GREENPAC LIMITED,171000,486.70
AGSTRA,AGS TRANSACT TECH LTD,402906,281.18
AHLUCONT,AHLUWALIA CONT IND LTD,11373,36.82
AIAENG,AIA ENGINEERING LIMITED,9813,219.32
AIRAN,AIRAN LIMITED,20031,4.02
AIROLAM,AIRO LAM LIMITED,3325,3.10
AJANTPHARM,AJANTA PHARMA LIMITED,23032,275.38
AJMERA,AJMERA REALTY & INF I LTD,49792,138.12
AJOONI,AJOONI BIOTECH LIMITED,14853,2.63
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,8188,29.33
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,78022,8.80
