SEBI REPORT AS ON Reporting date 30-JAN-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2838014.43,
2,Fresh Exposure taken during the day,131155.12,
3,Exposure liquidated during the day,160240.96,
4,Net scripwise outstanding at the end of the day,2808928.58,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,23460,23.80
360ONE,360 ONE WAM LIMITED,25126,425.13
3IINFOLTD,3I INFOTECH LIMITED,434167,150.22
3IINFOTECH,3I INFOTECH LTD.,20242,8.25
3MINDIA,3M INDIA LIMITED,1158,245.30
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,25264,62.31
63MOONS,63 MOONS TECHNOLOGIES LTD,8736,14.59
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8407,3.71
AARTIDRUGS,AARTI DRUGS LTD.,193512,895.31
AARTIIND,AARTI INDUSTRIES LTD,629703,3719.03
AARTIPHARM,AARTI PHARMALABS LIMITED,508,1.41
AARTISURF,AARTI SURFACTANTS LIMITED,26359,143.01
AARVI,AARVI ENCON LIMITED,1275,2.16
AAVAS,AAVAS FINANCIERS LIMITED,99693,1870.69
ABAN,ABAN OFFSHORE LTD.,43138,23.36
ABB,ABB INDIA LIMITED,168779,4187.42
ABBOTINDIA,ABBOTT INDIA LIMITED,3539,677.86
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3531941,4648.19
ABFRL,ADITYA BIRLA FASHION & RT,1617094,4124.04
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,50203,207.57
ABSLBANETF,BIRLASLAMC - ABSLBANETF,1000,0.29
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3171,1.37
ACC,ACC LIMITED,280957,5549.21
ACCELYA,ACCELYA SOLN INDIA LTD,143073,1888.46
ACE,ACTION CONST EQUIP LTD,428678,1127.93
ACI,ARCHEAN CHEMICAL IND LTD,24921,134.58
ADANIENT,ADANI ENTERPRISES LIMITED,550695,15666.33
ADANIGREEN,ADANI GREEN ENERGY LTD,524106,7350.34
ADANIPORTS,ADANI PORT & SEZ LTD,3888900,25171.26
ADANIPOWER,ADANI POWER LTD,288214,638.17
ADANITRANS,ADANI TRANSMISSION LTD,128798,2566.94
ADFFOODS,ADF FOODS LIMITED,23551,149.21
ADORWELD,ADOR WELDING LTD,11991,70.99
ADSL,ALLIED DIGITAL SERV. LTD,121743,151.59
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,7926,6.73
ADVENZYMES,ADVANCED ENZYME TECH LTD,232667,675.26
AEGISCHEM,AEGIS LOGISTICS LIMITED,284362,718.23
AETHER,AETHER INDUSTRIES LIMITED,19798,159.81
AFFLE,AFFLE (INDIA) LIMITED,375315,3804.83
AGARIND,AGARWAL INDS CORP LTD.,43638,209.00
AGI,AGI GREENPAC LIMITED,141513,390.15
AGSTRA,AGS TRANSACT TECH LTD,399410,249.62
AHL,ABANS HOLDINGS LIMITED,134,0.36
AHLUCONT,AHLUWALIA CONT IND LTD,39110,177.27
AIAENG,AIA ENGINEERING LIMITED,11714,275.35
AIRAN,AIRAN LIMITED,14976,2.73
AIROLAM,AIRO LAM LIMITED,3375,2.70
AJANTPHARM,AJANTA PHARMA LIMITED,23628,287.38
AJMERA,AJMERA REALTY & INF I LTD,41102,116.15
AJOONI,AJOONI BIOTECH LIMITED,75767,6.34
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2740,9.62
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,99386,11.13
AKZOINDIA,AKZO NOBEL INDIA LIMITED,5781,120.94
ALANKIT,ALANKIT LIMITED,223402,18.13
ALBERTDAVD,ALBERT DAVID LIMITED,45421,268.81
ALEMBICLTD,ALEMBIC LIMITED,507584,348.29
ALICON,ALICON CASTALLOY LIMITED,18190,100.07
ALKALI,ALKALI METALS LTD,4127,5.01
ALKEM,ALKEM LABORATORIES LTD.,23945,745.24
ALKYLAMINE,ALKYL AMINES CHEM. LTD,49822,1207.58
ALLCARGO,ALLCARGO LOGISTICS LTD,1643334,3830.04
ALLSEC,ALLSEC TECHNOLOGIES LTD,49164,250.03
ALOKINDS,ALOK INDUSTRIES LIMITED,140357,33.31
ALPA,ALPA LABORATORIES LTD,24822,21.11
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2768,8.04
AMARAJABAT,AMARA RAJA BATTERIES LTD.,866845,5016.10
AMBER,AMBER ENTERPRISES (I) LTD,95502,1812.98
AMBIKCO,AMBIKA COTTON MILL LTD.,12628,161.44
AMBUJACEM,AMBUJA CEMENTS LTD,6143471,25835.52
AMIORG,AMI ORGANICS LIMITED,82036,723.15
AMRUTANJAN,AMRUTAJAN HEALTH LTD,28536,192.15
ANANDRATHI,ANAND RATHI WEALTH LTD,18778,132.74
ANANTRAJ,ANANT RAJ LIMITED,1404381,1092.22
ANDHRAPAP,ANDHRA PAPER LIMITED,71862,265.02
ANDHRSUGAR,ANDHRA SUGARS LTD,348337,414.13
ANDREWYU,ANDREW YULE & CO LTD,436088,115.80
ANGELONE,ANGEL ONE LIMITED,813916,11105.22
ANIKINDS,ANIK INDUSTRIES LTD,152,0.06
ANUP,THE ANUP ENGINEERING LTD,19545,154.72
ANURAS,ANUPAM RASAYAN INDIA LTD,243077,1555.32
APARINDS,APAR INDUSTRIES LTD.,44001,571.47
APCL,ANJANI PORTLAND CEM LTD,14367,22.68
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,100527,449.48
APEX,APEX FROZEN FOODS LIMITED,167116,391.43
APLAPOLLO,APL APOLLO TUBES LTD,290317,2951.91
APLLTD,ALEMBIC PHARMA LTD,280338,1551.98
APOLLO,APOLLO MICRO SYSTEMS LTD,135029,312.66
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,159189,6413.53
APOLLOPIPE,APOLLO PIPES LIMITED,140493,667.48
APOLLOTYRE,APOLLO TYRES LTD,426969,1124.54
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,126,1.94
APTECHT,APTECH LIMITED,437522,1119.55
APTUS,APTUS VALUE HSG FIN I LTD,144452,416.63
ARCHIDPLY,ARCHIDPLY IND. LTD,4034,2.73
ARIES,ARIES AGRO LTD.,24703,49.37
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,9825,5.82
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,36819,50.22
ARMANFIN,ARMAN FIN SERV LTD,24150,185.38
AROGRANITE,ARO GRANITE IND. LTD.,9721,5.56
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,147585,79.09
ARVIND,ARVIND LIMITED,2098485,1741.55
ARVINDFASN,ARVIND FASHIONS LIMITED,225717,619.64
ARVSMART,ARVIND SMARTSPACES LTD,48032,120.91
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,132580,613.68
ASAHISONG,ASAHI SONGWON COLOR LTD,1677,5.01
ASAL,AUTOMOTIVE STAMPINGS & AS,4244,15.46
ASALCBR,ASSO ALCOHOLS & BREW LTD,48907,183.89
ASHAPURMIN,ASHAPURA MINECHEM LTD,508651,380.71
ASHIANA,ASHIANA HOUSING LTD,66282,87.69
ASHOKA,ASHOKA BUILDCON LTD,1798432,1423.73
ASHOKLEY,ASHOK LEYLAND LTD,5070235,6635.79
ASIANENE,ASIAN ENERGY SERVICES LTD,26631,26.94
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,1050,0.85
ASIANPAINT,ASIAN PAINTS LIMITED,917816,23286.92
ASIANTILES,ASIAN GRANITO IND. LTD.,1169354,672.42
ASTEC,ASTEC LIFESCIENCES LTD,24290,423.35
ASTERDM,ASTER DM HEALTHCARE LTD.,325553,666.75
ASTRAL,ASTRAL LIMITED,226694,4125.23
ASTRAMICRO,ASTRA MICROWAVE LTD,1103459,3031.59
ASTRAZEN,ASTRAZENECA PHARMA IND LT,14159,479.26
ASTRON,ASTRON PAPER BORD MIL LTD,19931,7.19
ATFL,AGRO TECH FOODS LIMITED,845,6.30
ATGL,ADANI TOTAL GAS LIMITED,49725,1284.83
ATUL,ATUL LTD,24983,1828.85
ATULAUTO,ATUL AUTO LIMITED,152537,384.64
AUBANK,AU SMALL FINANCE BANK LTD,1101598,6860.59
AURIONPRO,AURIONPRO SOLN LTD,204895,692.68
AUROPHARMA,AUROBINDO PHARMA LTD,1628080,6888.70
AURUM,AURUM PROPTECH LIMITED,150,0.23
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,18713,378.26
AUTOBEES,NIPPONAMC - NETFAUTO,15278,13.93
AUTOIND,AUTOLINE INDUSTRIES LTD,113920,85.64
AVADHSUGAR,AVADH SUG & ENERGY LTD,127217,547.31
AVANTIFEED,AVANTI FEEDS LIMITED,375841,1440.52
AVTNPL,AVT NATURAL PRODUCTS LTD,190384,128.02
AWHCL,ANTONY WASTE HDG CELL LTD,104754,270.76
AWL,ADANI WILMAR LIMITED,1466034,7712.58
AXISBANK,AXIS BANK LIMITED,1627162,12582.52
AXISBNKETF,AXISAMC - AXISBNKETF,14,0.04
AXISBPSETF,AXISAMC - AXISBPSETF,4327,0.46
AXISCADES,AXISCADES TECH LTD,0,0.00
AXISGOLD,AXIS MF - AXIS GOLD ETF,970,0.43
AXISHCETF,AXISAMC - AXISHCETF,510,0.29
AXISNIFTY,AXISAMC - AXISNIFTY,55,0.10
AXISTECETF,AXISAMC - AXISTECETF,1,0.00
AXITA,AXITA COTTON LIMITED,36815,15.70
AYMSYNTEX,AYM SYNTEX LIMITED,11294,7.77
BAJAJ-AUTO,BAJAJ AUTO LIMITED,77122,2717.96
BAJAJCON,BAJAJ CONSUMER CARE LTD,710046,1199.93
BAJAJELEC,BAJAJ ELECT.LTD,73354,785.00
BAJAJFINSV,BAJAJ FINSERV LTD.,3324883,47559.14
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,34743,91.79
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,4958146,776.54
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,22723,1285.42
BAJFINANCE,BAJAJ FINANCE LIMITED,1433947,80253.36
BALAJITELE,BALAJI TELEFILMS LIMITED.,248723,128.38
BALAMINES,BALAJI AMINES LIMITED,121692,2920.44
BALKRISIND,BALKRISHNA IND. LTD,102431,1665.11
BALMLAWRIE,BALMER LAWRIE & CO LTD,741057,808.75
BALPHARMA,BAL PHARMA LTD.,6207,6.24
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1257665,4337.33
BANARISUG,BANNARI AMMAN SUGARS LTD,385,7.12
BANCOINDIA,BANCO PRODUCTS (I) LTD,230965,421.51
BANDHANBNK,BANDHAN BANK LIMITED,3309707,6952.81
BANKBARODA,BANK OF BARODA,12331426,19615.76
BANKBEES,NIP IND ETF BANK BEES,210416,744.30
BANKINDIA,BANK OF INDIA,10218175,7724.90
BANSWRAS,BANSWARA SYNTEX LIMITED,36,0.04
BARBEQUE,BARBEQUE NATION HOSP. LTD,70310,666.62
BASF,BASF INDIA LTD,33348,833.49
BASML,BANNARI AM SPIN MILL LTD.,44602,23.48
BATAINDIA,BATA INDIA LTD,325096,4842.89
BAYERCROP,BAYER CROPSCIENCE LTD,8602,400.02
BBETF0432,EDELAMC - BBETF0432,855,8.66
BBL,BHARAT BIJLEE LTD,19378,346.73
BBOX,BLACK BOX LIMITED,6702,9.62
BBTC,BOMBAY BURMAH TRADING COR,75452,708.28
BBTCL,B&B TRIPLEWALL CONT LTD,150,0.35
BCG,BRIGHTCOM GROUP LIMITED,5936,1.94
BCLIND,BCL INDUSTRIES LIMITED,93728,310.68
BDL,BHARAT DYNAMICS LIMITED,633830,4654.34
BECTORFOOD,MRS BECTORS FOOD SPE LTD,57915,215.89
BEL,BHARAT ELECTRONICS LTD,17305495,15598.89
BEML,BEML LIMITED,149031,2011.50
BEPL,BHANSALI ENG. POLYMERS LT,572685,632.99
BERGEPAINT,BERGER PAINTS (I) LTD,592669,3242.40
BESTAGRO,BEST AGROLIFE LIMITED,81508,1027.23
BFINVEST,BF INVESTMENT LIMITED,24777,83.05
BFUTILITIE,BF UTILITIES LIMITED,373771,1301.45
BGRENERGY,BGR ENERGY SYSTEMS LTD,110752,72.39
BHAGCHEM,BHAGIRADHA CHEM & INDS L,3211,38.62
BHAGERIA,BHAGERIA INDUSTRIES LTD,31564,42.63
BHANDARI,BHANDARI HOSIERY EXP LTD,12500,0.75
BHARATFORG,BHARAT FORGE LTD,301278,2285.04
BHARATGEAR,BHARAT GEARS LTD.,11769,18.00
BHARATRAS,BHARAT RASAYAN LTD,1355,119.80
BHARATWIRE,BHARAT WIRE ROPES LTD.,139826,161.92
BHARTIARTL,BHARTI AIRTEL LIMITED,1768067,12479.46
BHEL,BHEL,23515001,15930.94
BIKAJI,BIKAJI FOODS INTERN LTD,23977,84.96
BINDALAGRO,OSWAL CHEM. & FERT. LTD.,71182,20.10
BIOCON,BIOCON LIMITED.,2864509,6813.95
BIOFILCHEM,BIOFIL CHEM & PHARMA LTD,84,0.05
BIRLACABLE,BIRLA CABLE LIMITED,32351,50.40
BIRLACORPN,BIRLA CORPORATION LTD,206192,1989.54
BIRLAMONEY,ADITYA BIRLA MONEY LTD,106206,59.53
BIRLATYRE,BIRLA TYRES LIMITED,32000,6.30
BLISSGVS,BLISS GVS PHARMA LTD,174602,143.29
BLKASHYAP,B.L.KASHYAP & SON LTD,38618,12.62
BLS,BLS INTL SERVS LTD,1486743,1328.47
BLUEDART,BLUE DART EXPRESS LTD,14696,938.16
BLUESTARCO,BLUE STAR LIMITED,10283,108.67
BODALCHEM,BODAL CHEMICALS LTD,769105,579.71
BOMDYEING,BOMBAY DYEING & MFG. CO L,2636961,2205.54
BOROLTD,BOROSIL LIMITED,66708,209.24
BORORENEW,BOROSIL RENEWABLES LTD,267233,1169.57
BOSCHLTD,BOSCH LIMITED,9319,1441.40
BPCL,BHARAT PETROLEUM CORP  LT,2280843,7374.02
BPL,BPL LTD,110870,79.42
BRIGADE,BRIGADE ENTER. LTD,240457,965.68
BRITANNIA,BRITANNIA INDUSTRIES LTD,53843,2251.36
BRNL,BHARAT ROAD NETWORK LTD,10793,4.74
