SEBI REPORT AS ON Reporting date 17-FEB-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2630918.12,
2,Fresh Exposure taken during the day,130073.85,
3,Exposure liquidated during the day,114933.43,
4,Net scripwise outstanding at the end of the day,2646058.53,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,21126,21.27
360ONE,360 ONE WAM LIMITED,33623,529.24
3IINFOLTD,3I INFOTECH LIMITED,455066,150.88
3IINFOTECH,3I INFOTECH LTD.,12300,4.99
3MINDIA,3M INDIA LIMITED,1307,263.68
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,17262,39.34
63MOONS,63 MOONS TECHNOLOGIES LTD,18951,36.32
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8507,3.74
AARTIDRUGS,AARTI DRUGS LTD.,204056,916.72
AARTIIND,AARTI INDUSTRIES LTD,658420,3787.22
AARTIPHARM,AARTI PHARMALABS LIMITED,344,0.00
AARTISURF,AARTI SURFACTANTS LIMITED,28968,154.53
AARVI,AARVI ENCON LIMITED,1410,2.25
AAVAS,AAVAS FINANCIERS LIMITED,88233,1624.97
ABAN,ABAN OFFSHORE LTD.,46037,24.58
ABB,ABB INDIA LIMITED,92069,2460.75
ABBOTINDIA,ABBOTT INDIA LIMITED,4239,801.89
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3583611,4735.68
ABFRL,ADITYA BIRLA FASHION & RT,1854069,4673.95
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,62433,250.94
ABSLBANETF,BIRLASLAMC - ABSLBANETF,2443,1.03
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3349,1.44
ACC,ACC LIMITED,337106,6155.81
ACCELYA,ACCELYA SOLN INDIA LTD,136944,1764.91
ACCURACY,ACCURACY SHIPPING LIMITED,6005,1.13
ACE,ACTION CONST EQUIP LTD,291863,833.30
ACI,ARCHEAN CHEMICAL IND LTD,62573,339.23
ADANIENT,ADANI ENTERPRISES LIMITED,745886,11022.08
ADANIGREEN,ADANI GREEN ENERGY LTD,580382,4658.11
ADANIPORTS,ADANI PORT & SEZ LTD,3309910,16713.58
ADANIPOWER,ADANI POWER LTD,360352,748.80
ADANITRANS,ADANI TRANSMISSION LTD,116764,1373.11
ADFFOODS,ADF FOODS LIMITED,18274,109.95
ADORWELD,ADOR WELDING LTD,17355,122.27
ADSL,ALLIED DIGITAL SERV. LTD,140375,170.36
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,2576,2.04
ADVENZYMES,ADVANCED ENZYME TECH LTD,225641,649.54
AEGISCHEM,AEGIS LOGISTICS LIMITED,359693,981.27
AETHER,AETHER INDUSTRIES LIMITED,23487,192.50
AFFLE,AFFLE (INDIA) LIMITED,386727,3905.50
AGARIND,AGARWAL INDS CORP LTD.,39582,209.13
AGI,AGI GREENPAC LIMITED,145347,409.94
AGSTRA,AGS TRANSACT TECH LTD,325967,197.31
AHL,ABANS HOLDINGS LIMITED,1810,4.11
AHLUCONT,AHLUWALIA CONT IND LTD,52307,236.31
AIAENG,AIA ENGINEERING LIMITED,15305,380.61
AIRAN,AIRAN LIMITED,14976,2.73
AIROLAM,AIRO LAM LIMITED,3375,2.70
AJANTPHARM,AJANTA PHARMA LIMITED,24559,279.54
AJMERA,AJMERA REALTY & INF I LTD,39927,106.43
AJOONI,AJOONI BIOTECH LIMITED,75767,6.34
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2775,9.69
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,55871,6.05
AKZOINDIA,AKZO NOBEL INDIA LIMITED,8673,177.62
ALANKIT,ALANKIT LIMITED,264152,19.33
ALBERTDAVD,ALBERT DAVID LIMITED,40738,241.17
ALEMBICLTD,ALEMBIC LIMITED,584768,389.65
ALICON,ALICON CASTALLOY LIMITED,19280,108.35
ALKALI,ALKALI METALS LTD,3977,4.79
ALKEM,ALKEM LABORATORIES LTD.,18354,584.29
ALKYLAMINE,ALKYL AMINES CHEM. LTD,45786,1108.25
ALLCARGO,ALLCARGO LOGISTICS LTD,1842337,4456.16
ALLSEC,ALLSEC TECHNOLOGIES LTD,50072,253.24
ALOKINDS,ALOK INDUSTRIES LIMITED,137651,32.55
ALPA,ALPA LABORATORIES LTD,19982,17.09
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2778,8.07
AMARAJABAT,AMARA RAJA BATTERIES LTD.,797051,4679.45
AMBER,AMBER ENTERPRISES (I) LTD,108850,1968.27
AMBIKCO,AMBIKA COTTON MILL LTD.,12151,152.94
AMBUJACEM,AMBUJA CEMENTS LTD,6093267,21243.92
AMIORG,AMI ORGANICS LIMITED,78974,658.78
AMRUTANJAN,AMRUTAJAN HEALTH LTD,32351,209.27
ANANDRATHI,ANAND RATHI WEALTH LTD,18284,127.33
ANANTRAJ,ANANT RAJ LIMITED,1493722,1222.09
ANDHRAPAP,ANDHRA PAPER LIMITED,80594,311.27
ANDHRSUGAR,ANDHRA SUGARS LTD,343123,397.21
ANDREWYU,ANDREW YULE & CO LTD,413554,108.73
ANGELONE,ANGEL ONE LIMITED,747022,10009.41
ANIKINDS,ANIK INDUSTRIES LTD,10052,3.66
ANMOL,ANMOL INDIA LIMITED,0,0.00
ANUP,THE ANUP ENGINEERING LTD,8451,73.82
ANURAS,ANUPAM RASAYAN INDIA LTD,307089,1943.63
APARINDS,APAR INDUSTRIES LTD.,91164,1710.58
APCL,ANJANI PORTLAND CEM LTD,15024,21.68
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,93636,408.11
APEX,APEX FROZEN FOODS LIMITED,173731,399.43
APLAPOLLO,APL APOLLO TUBES LTD,270088,2864.60
APLLTD,ALEMBIC PHARMA LTD,179613,877.31
APOLLO,APOLLO MICRO SYSTEMS LTD,195046,503.38
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,95606,3871.38
APOLLOPIPE,APOLLO PIPES LIMITED,116226,534.08
APOLLOTYRE,APOLLO TYRES LTD,357604,997.58
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,5,0.07
APTECHT,APTECH LIMITED,446945,1172.52
APTUS,APTUS VALUE HSG FIN I LTD,151856,431.40
ARCHIDPLY,ARCHIDPLY IND. LTD,8774,5.49
ARIES,ARIES AGRO LTD.,25070,47.66
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,19724,8.69
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,35560,47.14
ARMANFIN,ARMAN FIN SERV LTD,30072,275.69
AROGRANITE,ARO GRANITE IND. LTD.,3634,2.21
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,184748,94.04
ARVIND,ARVIND LIMITED,2123324,1740.65
ARVINDFASN,ARVIND FASHIONS LIMITED,250670,665.61
ARVSMART,ARVIND SMARTSPACES LTD,49602,126.93
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,123032,580.03
ASAHISONG,ASAHI SONGWON COLOR LTD,1797,5.29
