SEBI REPORT AS ON Reporting date 22-FEB-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2652734.13,
2,Fresh Exposure taken during the day,113173.05,
3,Exposure liquidated during the day,104338.38,
4,Net scripwise outstanding at the end of the day,2661568.80,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,21263,21.37
360ONE,360 ONE WAM LIMITED,36518,553.03
3IINFOLTD,3I INFOTECH LIMITED,447433,149.33
3IINFOTECH,3I INFOTECH LTD.,12300,4.99
3MINDIA,3M INDIA LIMITED,1327,267.50
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,18545,41.55
63MOONS,63 MOONS TECHNOLOGIES LTD,18631,35.65
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8507,3.74
AARTIDRUGS,AARTI DRUGS LTD.,204044,912.74
AARTIIND,AARTI INDUSTRIES LTD,695194,3943.79
AARTIPHARM,AARTI PHARMALABS LIMITED,344,0.00
AARTISURF,AARTI SURFACTANTS LIMITED,27972,148.58
AARVI,AARVI ENCON LIMITED,1444,2.27
AAVAS,AAVAS FINANCIERS LIMITED,86789,1594.64
ABAN,ABAN OFFSHORE LTD.,46237,24.67
ABB,ABB INDIA LIMITED,92964,2465.69
ABBOTINDIA,ABBOTT INDIA LIMITED,4218,791.15
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3415814,4495.43
ABFRL,ADITYA BIRLA FASHION & RT,2093686,5164.52
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,76439,310.34
ABSLBANETF,BIRLASLAMC - ABSLBANETF,2000,0.84
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3149,1.36
ACC,ACC LIMITED,358209,6438.74
ACCELYA,ACCELYA SOLN INDIA LTD,135880,1754.73
ACCURACY,ACCURACY SHIPPING LIMITED,6000,1.13
ACE,ACTION CONST EQUIP LTD,293080,829.21
ACI,ARCHEAN CHEMICAL IND LTD,60739,325.12
ADANIENT,ADANI ENTERPRISES LIMITED,810172,11434.10
ADANIGREEN,ADANI GREEN ENERGY LTD,551311,4346.18
ADANIPORTS,ADANI PORT & SEZ LTD,3177689,15985.04
ADANIPOWER,ADANI POWER LTD,336232,697.80
ADANITRANS,ADANI TRANSMISSION LTD,107046,1286.54
ADFFOODS,ADF FOODS LIMITED,17994,108.02
ADORWELD,ADOR WELDING LTD,16792,117.92
ADSL,ALLIED DIGITAL SERV. LTD,137887,167.87
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,846,0.69
ADVENZYMES,ADVANCED ENZYME TECH LTD,220393,633.63
AEGISCHEM,AEGIS LOGISTICS LIMITED,366513,1000.86
AETHER,AETHER INDUSTRIES LIMITED,21423,173.09
AFFLE,AFFLE (INDIA) LIMITED,386431,3902.83
AGARIND,AGARWAL INDS CORP LTD.,36873,200.52
AGI,AGI GREENPAC LIMITED,227295,709.91
AGSTRA,AGS TRANSACT TECH LTD,329829,198.41
AHL,ABANS HOLDINGS LIMITED,2224,5.40
AHLUCONT,AHLUWALIA CONT IND LTD,46726,210.19
AIAENG,AIA ENGINEERING LIMITED,16731,412.12
AIRAN,AIRAN LIMITED,14976,2.73
AIROLAM,AIRO LAM LIMITED,3375,2.70
AJANTPHARM,AJANTA PHARMA LIMITED,22449,258.26
AJMERA,AJMERA REALTY & INF I LTD,34938,95.35
AJOONI,AJOONI BIOTECH LIMITED,75767,6.34
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2775,9.69
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,55871,6.05
AKZOINDIA,AKZO NOBEL INDIA LIMITED,8068,165.45
ALANKIT,ALANKIT LIMITED,264152,22.27
ALBERTDAVD,ALBERT DAVID LIMITED,40563,240.11
ALEMBICLTD,ALEMBIC LIMITED,590941,388.57
ALICON,ALICON CASTALLOY LIMITED,18296,101.79
