SEBI REPORT AS ON Reporting date 28-FEB-2023,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2631020.50,
2,Fresh Exposure taken during the day,107154.31,
3,Exposure liquidated during the day,119524.86,
4,Net scripwise outstanding at the end of the day,2618649.95,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,19963,20.01
360ONE,360 ONE WAM LIMITED,19098,327.74
3IINFOLTD,3I INFOTECH LIMITED,445200,147.51
3MINDIA,3M INDIA LIMITED,1118,232.04
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,16600,36.14
63MOONS,63 MOONS TECHNOLOGIES LTD,18880,36.23
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8511,3.74
AARTIDRUGS,AARTI DRUGS LTD.,206182,906.49
AARTIIND,AARTI INDUSTRIES LTD,680117,3801.18
AARTIPHARM,AARTI PHARMALABS LIMITED,319,0.00
AARTISURF,AARTI SURFACTANTS LIMITED,28870,151.90
AARVI,AARVI ENCON LIMITED,994,1.64
AAVAS,AAVAS FINANCIERS LIMITED,84955,1575.67
ABAN,ABAN OFFSHORE LTD.,43559,23.39
ABB,ABB INDIA LIMITED,80041,2116.64
ABBOTINDIA,ABBOTT INDIA LIMITED,4032,744.34
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3301686,4353.77
ABFRL,ADITYA BIRLA FASHION & RT,2061107,5063.10
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,74362,300.77
ABSLBANETF,BIRLASLAMC - ABSLBANETF,2000,0.84
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3196,1.38
ACC,ACC LIMITED,352654,6288.57
ACCELYA,ACCELYA SOLN INDIA LTD,134837,1735.71
ACCURACY,ACCURACY SHIPPING LIMITED,6265,1.17
ACE,ACTION CONST EQUIP LTD,317462,911.54
ACI,ARCHEAN CHEMICAL IND LTD,55787,300.72
ADANIENT,ADANI ENTERPRISES LIMITED,735809,9670.68
ADANIGREEN,ADANI GREEN ENERGY LTD,495230,3543.74
ADANIPORTS,ADANI PORT & SEZ LTD,2864851,14651.48
ADANIPOWER,ADANI POWER LTD,269038,559.50
ADANITRANS,ADANI TRANSMISSION LTD,117515,1184.40
ADFFOODS,ADF FOODS LIMITED,18066,108.03
ADORWELD,ADOR WELDING LTD,13995,95.61
ADSL,ALLIED DIGITAL SERV. LTD,136139,165.79
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,846,0.69
ADVENZYMES,ADVANCED ENZYME TECH LTD,209635,599.41
AEGISCHEM,AEGIS LOGISTICS LIMITED,322564,868.13
AETHER,AETHER INDUSTRIES LIMITED,23122,193.48
AFFLE,AFFLE (INDIA) LIMITED,378563,3781.95
AGARIND,AGARWAL INDS CORP LTD.,34137,187.86
AGI,AGI GREENPAC LIMITED,214509,665.21
AGSTRA,AGS TRANSACT TECH LTD,309205,186.67
AHL,ABANS HOLDINGS LIMITED,1499,3.57
AHLUCONT,AHLUWALIA CONT IND LTD,46986,210.14
AIAENG,AIA ENGINEERING LIMITED,17150,422.84
AIRAN,AIRAN LIMITED,14976,2.73
AIROLAM,AIRO LAM LIMITED,3375,2.70
AJANTPHARM,AJANTA PHARMA LIMITED,22878,253.40
AJMERA,AJMERA REALTY & INF I LTD,23501,62.57
AJOONI,AJOONI BIOTECH LIMITED,75767,6.34
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2775,9.69
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,49871,5.42
AKZOINDIA,AKZO NOBEL INDIA LIMITED,6094,126.89
ALANKIT,ALANKIT LIMITED,264152,22.60
ALBERTDAVD,ALBERT DAVID LIMITED,40563,240.13
ALEMBICLTD,ALEMBIC LIMITED,570767,369.57
ALICON,ALICON CASTALLOY LIMITED,20239,108.22
ALKALI,ALKALI METALS LTD,3977,4.79
ALKEM,ALKEM LABORATORIES LTD.,14680,464.65
ALKYLAMINE,ALKYL AMINES CHEM. LTD,43015,1045.93
ALLCARGO,ALLCARGO LOGISTICS LTD,1731066,4073.43
ALLSEC,ALLSEC TECHNOLOGIES LTD,48757,249.58
ALOKINDS,ALOK INDUSTRIES LIMITED,141913,32.98
ALPA,ALPA LABORATORIES LTD,19812,16.73
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2751,7.99
AMARAJABAT,AMARA RAJA BATTERIES LTD.,813090,4739.64
AMBER,AMBER ENTERPRISES (I) LTD,116410,2049.24
AMBIKCO,AMBIKA COTTON MILL LTD.,12173,152.03
AMBUJACEM,AMBUJA CEMENTS LTD,5799044,20095.51
AMIORG,AMI ORGANICS LIMITED,73848,626.90
AMJLAND,AMJ LAND HOLDINGS LIMITED,500,0.14
AMRUTANJAN,AMRUTAJAN HEALTH LTD,32350,206.41
ANANDRATHI,ANAND RATHI WEALTH LTD,9994,68.52
ANANTRAJ,ANANT RAJ LIMITED,1398232,1143.89
ANDHRAPAP,ANDHRA PAPER LIMITED,81738,311.32
ANDHRSUGAR,ANDHRA SUGARS LTD,330374,404.43
ANDREWYU,ANDREW YULE & CO LTD,397188,105.63
ANGELONE,ANGEL ONE LIMITED,720214,9485.13
ANIKINDS,ANIK INDUSTRIES LTD,10052,3.66
ANMOL,ANMOL INDIA LIMITED,15000,23.53
ANUP,THE ANUP ENGINEERING LTD,9770,91.34
ANURAS,ANUPAM RASAYAN INDIA LTD,544828,3480.70
APARINDS,APAR INDUSTRIES LTD.,82521,1501.14
APCL,ANJANI PORTLAND CEM LTD,13692,18.57
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,88706,387.89
APEX,APEX FROZEN FOODS LIMITED,130809,281.78
APLAPOLLO,APL APOLLO TUBES LTD,310792,3316.70
APLLTD,ALEMBIC PHARMA LTD,178897,850.81
APOLLO,APOLLO MICRO SYSTEMS LTD,204174,541.23
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,99441,3973.22
APOLLOPIPE,APOLLO PIPES LIMITED,117482,544.00
APOLLOTYRE,APOLLO TYRES LTD,390950,1094.47
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,5,0.07
APTECHT,APTECH LIMITED,438293,1142.77
APTUS,APTUS VALUE HSG FIN I LTD,146239,409.14
ARCHIDPLY,ARCHIDPLY IND. LTD,8774,5.49
ARIES,ARIES AGRO LTD.,19900,37.87
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,17853,8.03
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,35840,47.75
ARMANFIN,ARMAN FIN SERV LTD,29039,258.30
AROGRANITE,ARO GRANITE IND. LTD.,3634,2.21
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,189344,95.69
ARVIND,ARVIND LIMITED,2001367,1629.84
ARVINDFASN,ARVIND FASHIONS LIMITED,242269,628.48
