SEBI REPORT AS ON Reporting date 13-MAR-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2636836.28,
2,Fresh Exposure taken during the day,136996.53,
3,Exposure liquidated during the day,124300.59,
4,Net scripwise outstanding at the end of the day,2649532.23,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,20096,19.85
360ONE,360 ONE WAM LIMITED,58821,449.84
3IINFOLTD,3I INFOTECH LIMITED,412923,136.35
3MINDIA,3M INDIA LIMITED,808,168.37
504918,SANDUR MANGANESE & IRON ORES L,2,0.02
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,30201,76.34
63MOONS,63 MOONS TECHNOLOGIES LTD,25799,48.31
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8513,3.74
AARTIDRUGS,AARTI DRUGS LTD.,217164,923.05
AARTIIND,AARTI INDUSTRIES LTD,630099,3533.94
AARTIPHARM,AARTI PHARMALABS LIMITED,220,0.00
AARTISURF,AARTI SURFACTANTS LIMITED,27015,135.31
AARVI,AARVI ENCON LIMITED,999,1.64
AAVAS,AAVAS FINANCIERS LIMITED,87778,1607.46
ABAN,ABAN OFFSHORE LTD.,48907,25.28
ABB,ABB INDIA LIMITED,44951,1223.56
ABBOTINDIA,ABBOTT INDIA LIMITED,3919,734.73
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2833964,3766.65
ABFRL,ADITYA BIRLA FASHION & RT,2126310,5197.56
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,99454,387.05
ABSLBANETF,BIRLASLAMC - ABSLBANETF,2000,0.84
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3355,1.44
ACC,ACC LIMITED,351758,6285.76
ACCELYA,ACCELYA SOLN INDIA LTD,132491,1694.31
ACCURACY,ACCURACY SHIPPING LIMITED,5745,1.06
ACE,ACTION CONST EQUIP LTD,285116,825.14
ACI,ARCHEAN CHEMICAL IND LTD,43958,237.73
ADANIENT,ADANI ENTERPRISES LIMITED,864661,12285.90
ADANIGREEN,ADANI GREEN ENERGY LTD,426316,3208.68
ADANIPORTS,ADANI PORT & SEZ LTD,2573647,13511.16
ADANIPOWER,ADANI POWER LTD,463546,837.14
ADANITRANS,ADANI TRANSMISSION LTD,121349,1160.35
ADFFOODS,ADF FOODS LIMITED,19869,119.46
ADORWELD,ADOR WELDING LTD,6265,33.78
ADSL,ALLIED DIGITAL SERV. LTD,135254,164.57
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,1846,1.44
ADVENZYMES,ADVANCED ENZYME TECH LTD,211330,594.06
AEGISCHEM,AEGIS LOGISTICS LIMITED,318125,906.46
AETHER,AETHER INDUSTRIES LIMITED,28072,235.88
AFFLE,AFFLE (INDIA) LIMITED,379759,3797.84
AGARIND,AGARWAL INDS CORP LTD.,33778,186.35
AGI,AGI GREENPAC LIMITED,195616,623.30
AGSTRA,AGS TRANSACT TECH LTD,290919,177.63
AHL,ABANS HOLDINGS LIMITED,2703,4.64
AHLUCONT,AHLUWALIA CONT IND LTD,45943,207.20
AIAENG,AIA ENGINEERING LIMITED,16234,401.24
AIRAN,AIRAN LIMITED,15076,2.74
AIROLAM,AIRO LAM LIMITED,1375,1.13
AJANTPHARM,AJANTA PHARMA LIMITED,23124,256.32
AJMERA,AJMERA REALTY & INF I LTD,27916,75.22
AJOONI,AJOONI BIOTECH LIMITED,75767,6.34
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2775,9.69
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,44871,4.98
AKZOINDIA,AKZO NOBEL INDIA LIMITED,4630,90.59
ALANKIT,ALANKIT LIMITED,203488,14.99
ALBERTDAVD,ALBERT DAVID LIMITED,39751,235.10
ALEMBICLTD,ALEMBIC LIMITED,560582,357.74
ALICON,ALICON CASTALLOY LIMITED,23473,119.83
ALKALI,ALKALI METALS LTD,4137,4.97
ALKEM,ALKEM LABORATORIES LTD.,13521,425.47
ALKYLAMINE,ALKYL AMINES CHEM. LTD,43586,1063.33
ALLCARGO,ALLCARGO LOGISTICS LTD,1705164,3978.91
ALLSEC,ALLSEC TECHNOLOGIES LTD,48626,249.12
ALOKINDS,ALOK INDUSTRIES LIMITED,201817,40.45
ALPA,ALPA LABORATORIES LTD,15334,13.21
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,3243,9.17
AMARAJABAT,AMARA RAJA BATTERIES LTD.,789673,4627.93
AMBER,AMBER ENTERPRISES (I) LTD,112802,1986.86
AMBIKCO,AMBIKA COTTON MILL LTD.,11313,136.03
AMBUJACEM,AMBUJA CEMENTS LTD,5125342,18124.70
AMIORG,AMI ORGANICS LIMITED,69778,596.75
AMRUTANJAN,AMRUTAJAN HEALTH LTD,30174,193.75
ANANDRATHI,ANAND RATHI WEALTH LTD,7312,48.56
ANANTRAJ,ANANT RAJ LIMITED,1470353,1142.13
ANDHRAPAP,ANDHRA PAPER LIMITED,78528,302.69
ANDHRSUGAR,ANDHRA SUGARS LTD,327800,387.35
ANDREWYU,ANDREW YULE & CO LTD,379648,101.45
ANGELONE,ANGEL ONE LIMITED,687915,9041.39
ANIKINDS,ANIK INDUSTRIES LTD,10602,3.85
ANMOL,ANMOL INDIA LIMITED,15000,23.53
ANUP,THE ANUP ENGINEERING LTD,8363,80.39
ANURAS,ANUPAM RASAYAN INDIA LTD,893681,6199.13
APARINDS,APAR INDUSTRIES LTD.,83171,1633.11
APCL,ANJANI PORTLAND CEM LTD,13737,17.89
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,88275,389.37
APEX,APEX FROZEN FOODS LIMITED,128879,276.08
APLAPOLLO,APL APOLLO TUBES LTD,362733,3955.79
APLLTD,ALEMBIC PHARMA LTD,168466,799.61
APOLLO,APOLLO MICRO SYSTEMS LTD,231313,611.35
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,113351,4558.28
APOLLOPIPE,APOLLO PIPES LIMITED,110210,532.11
APOLLOTYRE,APOLLO TYRES LTD,466824,1302.23
APTECHT,APTECH LIMITED,440605,1147.56
APTUS,APTUS VALUE HSG FIN I LTD,264616,705.29
ARCHIDPLY,ARCHIDPLY IND. LTD,8772,5.48
ARIES,ARIES AGRO LTD.,20421,38.25
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,11164,3.81
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,35694,47.47
ARMANFIN,ARMAN FIN SERV LTD,23114,170.72
AROGRANITE,ARO GRANITE IND. LTD.,3634,2.21
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,167854,86.71
ARVIND,ARVIND LIMITED,2014432,1697.96
ARVINDFASN,ARVIND FASHIONS LIMITED,216178,559.35
ARVSMART,ARVIND SMARTSPACES LTD,49330,124.43
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,112991,512.03
ASAHISONG,ASAHI SONGWON COLOR LTD,2233,5.99
ASAL,AUTOMOTIVE STAMPINGS & AS,6347,17.54
ASALCBR,ASSO ALCOHOLS & BREW LTD,48834,160.00
ASHAPURMIN,ASHAPURA MINECHEM LTD,498186,372.29
ASHIANA,ASHIANA HOUSING LTD,27799,31.22
ASHOKA,ASHOKA BUILDCON LTD,1677280,1297.88
ASHOKLEY,ASHOK LEYLAND LTD,4306900,5528.85
ASIANENE,ASIAN ENERGY SERVICES LTD,24550,25.28
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,750,0.61
ASIANPAINT,ASIAN PAINTS LIMITED,822842,20769.12
ASIANTILES,ASIAN GRANITO IND. LTD.,1167521,649.82
ASPINWALL,ASPINWALL & CO LTD,100,0.22
ASTEC,ASTEC LIFESCIENCES LTD,16719,262.64
ASTERDM,ASTER DM HEALTHCARE LTD.,294014,598.61
ASTRAL,ASTRAL LIMITED,198139,3248.69
ASTRAMICRO,ASTRA MICROWAVE LTD,1057934,2818.52
ASTRAZEN,ASTRAZENECA PHARMA IND LT,13102,444.74
ASTRON,ASTRON PAPER BORD MIL LTD,22466,7.47
ATFL,AGRO TECH FOODS LIMITED,963,7.19
