SEBI REPORT AS ON Reporting date 27-MAR-2023,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2649858.18,
2,Fresh Exposure taken during the day,104871.69,
3,Exposure liquidated during the day,129906.02,
4,Net scripwise outstanding at the end of the day,2624823.85,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,19926,19.73
360ONE,360 ONE WAM LIMITED,35890,258.04
3IINFOLTD,3I INFOTECH LIMITED,451561,135.22
3MINDIA,3M INDIA LIMITED,817,174.71
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,32223,82.65
63MOONS,63 MOONS TECHNOLOGIES LTD,21913,42.61
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,2000,0.14
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8511,3.74
AARTIDRUGS,AARTI DRUGS LTD.,294726,1148.58
AARTIIND,AARTI INDUSTRIES LTD,655157,3581.82
AARTIPHARM,AARTI PHARMALABS LIMITED,210,0.00
AARTISURF,AARTI SURFACTANTS LIMITED,30837,143.85
AARVI,AARVI ENCON LIMITED,999,1.64
AAVAS,AAVAS FINANCIERS LIMITED,95927,1674.27
ABAN,ABAN OFFSHORE LTD.,44527,23.40
ABB,ABB INDIA LIMITED,55598,1616.02
ABBOTINDIA,ABBOTT INDIA LIMITED,3028,566.46
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2995958,4019.85
ABFRL,ADITYA BIRLA FASHION & RT,2138404,5130.39
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,122343,433.80
ABSLBANETF,BIRLASLAMC - ABSLBANETF,0,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3409,1.46
ACC,ACC LIMITED,357628,6201.86
ACCELYA,ACCELYA SOLN INDIA LTD,107049,1402.26
ACCURACY,ACCURACY SHIPPING LIMITED,6245,1.11
ACE,ACTION CONST EQUIP LTD,269113,788.10
ACI,ARCHEAN CHEMICAL IND LTD,38678,208.14
ADANIENT,ADANI ENTERPRISES LIMITED,859700,11913.51
ADANIGREEN,ADANI GREEN ENERGY LTD,473195,3773.64
ADANIPORTS,ADANI PORT & SEZ LTD,2294809,12157.07
ADANIPOWER,ADANI POWER LTD,490186,809.59
ADANITRANS,ADANI TRANSMISSION LTD,106292,1086.04
ADFFOODS,ADF FOODS LIMITED,18548,110.24
ADORWELD,ADOR WELDING LTD,7067,41.31
ADSL,ALLIED DIGITAL SERV. LTD,126307,146.68
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,820,0.65
ADVENZYMES,ADVANCED ENZYME TECH LTD,186781,506.73
AEGISCHEM,AEGIS LOGISTICS LIMITED,287136,820.45
AETHER,AETHER INDUSTRIES LIMITED,22252,182.93
AFFLE,AFFLE (INDIA) LIMITED,355767,3503.30
AGARIND,AGARWAL INDS CORP LTD.,37534,200.71
AGI,AGI GREENPAC LIMITED,327613,1034.73
AGSTRA,AGS TRANSACT TECH LTD,1514958,776.71
AHL,ABANS HOLDINGS LIMITED,1912,3.88
AHLUCONT,AHLUWALIA CONT IND LTD,38115,164.92
AIAENG,AIA ENGINEERING LIMITED,17039,443.10
AIRAN,AIRAN LIMITED,11700,2.13
AIROLAM,AIRO LAM LIMITED,384,0.34
AJANTPHARM,AJANTA PHARMA LIMITED,26844,296.82
AJMERA,AJMERA REALTY & INF I LTD,21700,59.90
AJOONI,AJOONI BIOTECH LIMITED,75767,6.34
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2202,7.51
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,34721,3.79
AKZOINDIA,AKZO NOBEL INDIA LIMITED,4145,79.98
ALANKIT,ALANKIT LIMITED,223738,10.04
