SEBI REPORT AS ON Reporting date 31-MAR-2023,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2550066.64,
2,Fresh Exposure taken during the day,135544.05,
3,Exposure liquidated during the day,193819.31,
4,Net scripwise outstanding at the end of the day,2491791.39,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,18991,18.01
360ONE,360 ONE WAM LIMITED,30503,225.10
3IINFOLTD,3I INFOTECH LIMITED,454146,128.41
3MINDIA,3M INDIA LIMITED,920,189.96
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,32092,81.66
63MOONS,63 MOONS TECHNOLOGIES LTD,25136,47.60
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,2000,0.14
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8513,3.74
AARTIDRUGS,AARTI DRUGS LTD.,256178,970.08
AARTIIND,AARTI INDUSTRIES LTD,581542,3215.35
AARTIPHARM,AARTI PHARMALABS LIMITED,160,0.00
AARTISURF,AARTI SURFACTANTS LIMITED,25727,121.17
AARVI,AARVI ENCON LIMITED,1009,1.65
AAVAS,AAVAS FINANCIERS LIMITED,102890,1758.82
ABAN,ABAN OFFSHORE LTD.,54527,26.73
ABB,ABB INDIA LIMITED,67851,1913.63
ABBOTINDIA,ABBOTT INDIA LIMITED,2865,535.18
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2753370,3676.44
ABFRL,ADITYA BIRLA FASHION & RT,2094143,5013.63
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,112543,397.36
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3301,1.42
ACC,ACC LIMITED,339546,5898.01
ACCELYA,ACCELYA SOLN INDIA LTD,108144,1408.94
ACCURACY,ACCURACY SHIPPING LIMITED,5143,0.91
ACE,ACTION CONST EQUIP LTD,229764,654.18
ACI,ARCHEAN CHEMICAL IND LTD,26337,136.28
ADANIENT,ADANI ENTERPRISES LIMITED,881186,12046.47
ADANIGREEN,ADANI GREEN ENERGY LTD,380117,3210.50
ADANIPORTS,ADANI PORT & SEZ LTD,2147256,11578.46
ADANIPOWER,ADANI POWER LTD,389132,617.55
ADANITRANS,ADANI TRANSMISSION LTD,67308,511.93
ADFFOODS,ADF FOODS LIMITED,14031,77.64
ADORWELD,ADOR WELDING LTD,8951,54.91
ADSL,ALLIED DIGITAL SERV. LTD,121332,142.29
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,820,0.65
ADVENZYMES,ADVANCED ENZYME TECH LTD,186136,495.38
AEGISCHEM,AEGIS LOGISTICS LIMITED,303304,896.50
AETHER,AETHER INDUSTRIES LIMITED,18184,148.63
AFFLE,AFFLE (INDIA) LIMITED,329328,3225.84
AGARIND,AGARWAL INDS CORP LTD.,44072,222.51
AGI,AGI GREENPAC LIMITED,328903,1070.67
AGSTRA,AGS TRANSACT TECH LTD,277027,148.94
AHL,ABANS HOLDINGS LIMITED,1775,3.73
AHLUCONT,AHLUWALIA CONT IND LTD,34658,153.07
AIAENG,AIA ENGINEERING LIMITED,16763,441.19
AIRAN,AIRAN LIMITED,15476,2.80
AIROLAM,AIRO LAM LIMITED,784,0.58
AJANTPHARM,AJANTA PHARMA LIMITED,25104,277.17
AJMERA,AJMERA REALTY & INF I LTD,21006,59.37
AJOONI,AJOONI BIOTECH LIMITED,70767,5.98
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2692,8.48
