SEBI REPORT AS ON Reporting date 10-APR-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2477255.03,
2,Fresh Exposure taken during the day,138907.20,
3,Exposure liquidated during the day,142845.56,
4,Net scripwise outstanding at the end of the day,2473316.68,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,12991,12.52
360ONE,360 ONE WAM LIMITED,41280,265.54
3IINFOLTD,3I INFOTECH LIMITED,463688,130.29
3MINDIA,3M INDIA LIMITED,841,178.97
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,28092,68.74
63MOONS,63 MOONS TECHNOLOGIES LTD,28429,52.04
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAKASH,AAKASH EXPLORATION SER L,2000,0.14
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8411,3.71
AARTIDRUGS,AARTI DRUGS LTD.,235687,941.99
AARTIIND,AARTI INDUSTRIES LTD,542644,3030.33
AARTIPHARM,AARTI PHARMALABS LIMITED,20950,62.48
AARTISURF,AARTI SURFACTANTS LIMITED,24890,116.66
AARVI,AARVI ENCON LIMITED,1316,2.10
AAVAS,AAVAS FINANCIERS LIMITED,109013,1819.26
ABAN,ABAN OFFSHORE LTD.,51707,25.66
ABB,ABB INDIA LIMITED,73242,2181.37
ABBOTINDIA,ABBOTT INDIA LIMITED,3017,571.70
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2464260,3377.58
ABFRL,ADITYA BIRLA FASHION & RT,2150323,5051.59
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,109665,390.96
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3333,1.43
ACC,ACC LIMITED,302254,5275.01
ACCELYA,ACCELYA SOLN INDIA LTD,107086,1366.96
ACCURACY,ACCURACY SHIPPING LIMITED,5945,1.01
ACE,ACTION CONST EQUIP LTD,258137,806.88
ACI,ARCHEAN CHEMICAL IND LTD,37094,196.04
ADANIENT,ADANI ENTERPRISES LIMITED,790495,10849.53
ADANIGREEN,ADANI GREEN ENERGY LTD,406135,3264.87
ADANIPORTS,ADANI PORT & SEZ LTD,2019539,10926.23
ADANIPOWER,ADANI POWER LTD,346226,542.12
ADANITRANS,ADANI TRANSMISSION LTD,59917,465.29
ADFFOODS,ADF FOODS LIMITED,13875,76.49
ADORWELD,ADOR WELDING LTD,10176,72.33
ADSL,ALLIED DIGITAL SERV. LTD,141502,159.14
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,420,0.35
ADVENZYMES,ADVANCED ENZYME TECH LTD,169813,457.13
AEGISCHEM,AEGIS LOGISTICS LIMITED,285574,839.49
AETHER,AETHER INDUSTRIES LIMITED,16773,137.12
AFFLE,AFFLE (INDIA) LIMITED,352676,3417.50
AGARIND,AGARWAL INDS CORP LTD.,44485,222.94
AGI,AGI GREENPAC LIMITED,308111,1003.18
AGSTRA,AGS TRANSACT TECH LTD,256354,137.49
AHL,ABANS HOLDINGS LIMITED,9975,15.71
AHLUCONT,AHLUWALIA CONT IND LTD,38022,161.57
AIAENG,AIA ENGINEERING LIMITED,20706,564.36
AIRAN,AIRAN LIMITED,15476,2.80
AIROLAM,AIRO LAM LIMITED,884,0.65
AJANTPHARM,AJANTA PHARMA LIMITED,16298,183.78
AJMERA,AJMERA REALTY & INF I LTD,24498,69.55
AJOONI,AJOONI BIOTECH LIMITED,70767,5.98
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,957,2.66
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,33583,3.69
AKZOINDIA,AKZO NOBEL INDIA LIMITED,4099,75.81
ALANKIT,ALANKIT LIMITED,233138,11.02
ALBERTDAVD,ALBERT DAVID LIMITED,38543,227.83
ALEMBICLTD,ALEMBIC LIMITED,545910,334.02
ALICON,ALICON CASTALLOY LIMITED,22897,118.00
ALKALI,ALKALI METALS LTD,4582,5.38
ALKEM,ALKEM LABORATORIES LTD.,9498,293.82
ALKYLAMINE,ALKYL AMINES CHEM. LTD,38876,901.74
ALLCARGO,ALLCARGO LOGISTICS LTD,1697127,3938.40
ALLSEC,ALLSEC TECHNOLOGIES LTD,31703,156.35
ALOKINDS,ALOK INDUSTRIES LIMITED,454007,69.72
ALOKTEXT,ALOK INDUSTRIES LTD,40999,5.21
ALPA,ALPA LABORATORIES LTD,16418,13.71
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,3110,8.56
AMARAJABAT,AMARA RAJA BATTERIES LTD.,761900,4424.34
AMBER,AMBER ENTERPRISES (I) LTD,104000,1754.65
AMBIKCO,AMBIKA COTTON MILL LTD.,11231,133.83
AMBUJACEM,AMBUJA CEMENTS LTD,4162436,14719.67
AMIORG,AMI ORGANICS LIMITED,78499,658.23
AMRUTANJAN,AMRUTAJAN HEALTH LTD,29774,183.93
ANANDRATHI,ANAND RATHI WEALTH LTD,13601,104.37
ANANTRAJ,ANANT RAJ LIMITED,1081469,864.59
ANDHRAPAP,ANDHRA PAPER LIMITED,79279,310.45
ANDHRSUGAR,ANDHRA SUGARS LTD,286172,326.23
ANDREWYU,ANDREW YULE & CO LTD,267923,70.87
ANGELONE,ANGEL ONE LIMITED,368298,4247.51
