SEBI REPORT AS ON Reporting date 25-APR-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2558107.63,
2,Fresh Exposure taken during the day,175258.22,
3,Exposure liquidated during the day,165111.27,
4,Net scripwise outstanding at the end of the day,2568254.58,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,9491,9.79
360ONE,360 ONE WAM LIMITED,28669,151.60
3IINFOLTD,3I INFOTECH LIMITED,316739,86.30
3MINDIA,3M INDIA LIMITED,868,185.15
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,22724,55.03
63MOONS,63 MOONS TECHNOLOGIES LTD,20940,37.78
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8407,3.71
AARTIDRUGS,AARTI DRUGS LTD.,266190,1103.18
AARTIIND,AARTI INDUSTRIES LTD,571142,3186.38
AARTIPHARM,AARTI PHARMALABS LIMITED,21563,73.07
AARTISURF,AARTI SURFACTANTS LIMITED,23647,111.60
AARVI,AARVI ENCON LIMITED,1111,1.77
AAVAS,AAVAS FINANCIERS LIMITED,128832,2040.03
ABAN,ABAN OFFSHORE LTD.,33703,17.70
ABB,ABB INDIA LIMITED,105393,3060.46
ABBOTINDIA,ABBOTT INDIA LIMITED,3485,683.19
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3320877,4600.25
ABFRL,ADITYA BIRLA FASHION & RT,2423664,5676.11
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,121860,427.39
ABSLBANETF,BIRLASLAMC - ABSLBANETF,221,0.09
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3334,1.43
ACC,ACC LIMITED,291871,5016.45
ACCELYA,ACCELYA SOLN INDIA LTD,101515,1360.19
ACCURACY,ACCURACY SHIPPING LIMITED,6540,1.11
ACE,ACTION CONST EQUIP LTD,290497,948.70
ACI,ARCHEAN CHEMICAL IND LTD,61593,295.98
ADANIENT,ADANI ENTERPRISES LIMITED,721463,10250.49
ADANIGREEN,ADANI GREEN ENERGY LTD,323921,2800.13
ADANIPORTS,ADANI PORT & SEZ LTD,1927970,10540.01
ADANIPOWER,ADANI POWER LTD,286462,525.24
ADANITRANS,ADANI TRANSMISSION LTD,41798,383.34
ADFFOODS,ADF FOODS LIMITED,16833,98.90
ADORWELD,ADOR WELDING LTD,11377,86.20
ADSL,ALLIED DIGITAL SERV. LTD,147645,160.66
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,2267,1.79
ADVENZYMES,ADVANCED ENZYME TECH LTD,159482,429.93
AEGISCHEM,AEGIS LOGISTICS LIMITED,269403,838.25
AETHER,AETHER INDUSTRIES LIMITED,21399,182.69
AFFLE,AFFLE (INDIA) LIMITED,410916,3816.83
AGARIND,AGARWAL INDS CORP LTD.,45794,228.22
AGI,AGI GREENPAC LIMITED,195630,650.82
AGSTRA,AGS TRANSACT TECH LTD,246894,125.94
AHL,ABANS HOLDINGS LIMITED,1600,3.44
AHLUCONT,AHLUWALIA CONT IND LTD,39650,166.03
AIAENG,AIA ENGINEERING LIMITED,19870,525.98
AIRAN,AIRAN LIMITED,20542,3.57
AIROLAM,AIRO LAM LIMITED,884,0.65
AJANTPHARM,AJANTA PHARMA LIMITED,17690,209.99
AJMERA,AJMERA REALTY & INF I LTD,24651,67.62
AJOONI,AJOONI BIOTECH LIMITED,70767,5.98
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,957,2.66
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,40503,4.33
AKZOINDIA,AKZO NOBEL INDIA LIMITED,3738,73.47
ALANKIT,ALANKIT LIMITED,231547,10.17
ALBERTDAVD,ALBERT DAVID LIMITED,36636,217.20
ALEMBICLTD,ALEMBIC LIMITED,568988,345.07
ALICON,ALICON CASTALLOY LIMITED,18066,95.93
ALKALI,ALKALI METALS LTD,4182,5.01
ALKEM,ALKEM LABORATORIES LTD.,21621,713.15
ALKYLAMINE,ALKYL AMINES CHEM. LTD,37787,876.85
ALLCARGO,ALLCARGO LOGISTICS LTD,1340329,2863.55
ALLSEC,ALLSEC TECHNOLOGIES LTD,32441,159.84
ALOKINDS,ALOK INDUSTRIES LIMITED,506523,75.76
ALOKTEXT,ALOK INDUSTRIES LTD,489403,59.13
ALPA,ALPA LABORATORIES LTD,18448,14.88
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,3077,8.44
AMARAJABAT,AMARA RAJA BATTERIES LTD.,722112,4260.80
AMBER,AMBER ENTERPRISES (I) LTD,106670,1789.21
AMBIKCO,AMBIKA COTTON MILL LTD.,10809,129.48
AMBUJACEM,AMBUJA CEMENTS LTD,3970640,14123.66
AMIORG,AMI ORGANICS LIMITED,76570,648.81
AMRUTANJAN,AMRUTAJAN HEALTH LTD,27883,172.37
ANANDRATHI,ANAND RATHI WEALTH LTD,12570,96.93
ANANTRAJ,ANANT RAJ LIMITED,916381,831.33
