SEBI REPORT AS ON Reporting date 08-MAY-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2583831.98,
2,Fresh Exposure taken during the day,188342.92,
3,Exposure liquidated during the day,230168.90,
4,Net scripwise outstanding at the end of the day,2542006.00,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,9491,9.79
360ONE,360 ONE WAM LIMITED,36113,180.19
3IINFOLTD,3I INFOTECH LIMITED,417373,115.77
3MINDIA,3M INDIA LIMITED,879,193.04
500285,SPICEJET LTD.,2737,1.11
540268,TruCap Finance Limited,1000,0.72
541167,YASHO INDUSTRIES LIMITED,170,2.81
5PAISA,5PAISA CAPITAL LIMITED,21200,51.66
63MOONS,63 MOONS TECHNOLOGIES LTD,16178,27.68
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,7905,3.50
AARTIDRUGS,AARTI DRUGS LTD.,286378,1174.32
AARTIIND,AARTI INDUSTRIES LTD,658655,3637.48
AARTIPHARM,AARTI PHARMALABS LIMITED,16705,64.26
AARTISURF,AARTI SURFACTANTS LIMITED,25714,107.82
AARVI,AARVI ENCON LIMITED,1041,1.63
AAVAS,AAVAS FINANCIERS LIMITED,198945,2836.10
ABAN,ABAN OFFSHORE LTD.,29749,15.65
ABB,ABB INDIA LIMITED,36281,1076.00
ABBOTINDIA,ABBOTT INDIA LIMITED,4155,823.02
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2545809,3586.13
ABFRL,ADITYA BIRLA FASHION & RT,3660206,8005.47
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,111701,397.54
ABSLBANETF,BIRLASLAMC - ABSLBANETF,0,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,1605,0.69
ACC,ACC LIMITED,384296,6564.74
ACCELYA,ACCELYA SOLN INDIA LTD,117023,1489.31
ACCURACY,ACCURACY SHIPPING LIMITED,7540,1.25
ACE,ACTION CONST EQUIP LTD,285722,941.76
ACI,ARCHEAN CHEMICAL IND LTD,61832,288.35
ADANIENT,ADANI ENTERPRISES LIMITED,667671,9833.98
ADANIGREEN,ADANI GREEN ENERGY LTD,189826,1359.94
ADANIPORTS,ADANI PORT & SEZ LTD,1741176,9560.90
ADANIPOWER,ADANI POWER LTD,163749,330.24
ADANITRANS,ADANI TRANSMISSION LTD,22196,362.59
ADFFOODS,ADF FOODS LIMITED,23570,153.26
ADORWELD,ADOR WELDING LTD,11511,85.51
ADSL,ALLIED DIGITAL SERV. LTD,162508,172.89
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,3165,2.55
ADVENZYMES,ADVANCED ENZYME TECH LTD,155219,415.85
