SEBI REPORT AS ON Reporting date 26-MAY-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2702252.04,
2,Fresh Exposure taken during the day,190777.50,
3,Exposure liquidated during the day,237260.25,
4,Net scripwise outstanding at the end of the day,2655769.29,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,21981,21.93
360ONE,360 ONE WAM LIMITED,32041,159.66
3IINFOLTD,3I INFOTECH LIMITED,460657,123.49
3MINDIA,3M INDIA LIMITED,857,187.09
500285,SPICEJET LTD.,2737,1.11
540268,TruCap Finance Limited,0,0.00
541167,YASHO INDUSTRIES LIMITED,70,1.16
5PAISA,5PAISA CAPITAL LIMITED,22564,54.58
63MOONS,63 MOONS TECHNOLOGIES LTD,29715,52.95
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,7905,3.50
AARTIDRUGS,AARTI DRUGS LTD.,213993,870.34
AARTIIND,AARTI INDUSTRIES LTD,1143309,5821.51
AARTIPHARM,AARTI PHARMALABS LIMITED,282,0.49
AARTISURF,AARTI SURFACTANTS LIMITED,23739,96.26
AARVI,AARVI ENCON LIMITED,2361,3.28
AAVAS,AAVAS FINANCIERS LIMITED,273054,3776.89
ABAN,ABAN OFFSHORE LTD.,31461,13.75
ABB,ABB INDIA LIMITED,30188,955.44
ABBOTINDIA,ABBOTT INDIA LIMITED,6650,1248.98
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1701686,2341.59
ABFRL,ADITYA BIRLA FASHION & RT,5019630,10240.00
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,102879,354.12
ABSLBANETF,BIRLASLAMC - ABSLBANETF,0,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,181,0.07
ACC,ACC LIMITED,603820,9777.07
ACCELYA,ACCELYA SOLN INDIA LTD,109970,1396.59
ACCURACY,ACCURACY SHIPPING LIMITED,37877,4.92
ACE,ACTION CONST EQUIP LTD,244684,815.36
ACI,ARCHEAN CHEMICAL IND LTD,71966,329.83
ADANIENT,ADANI ENTERPRISES LIMITED,803875,14433.30
ADANIGREEN,ADANI GREEN ENERGY LTD,96626,1004.82
