SEBI REPORT AS ON Reporting date 14-JUN-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2776878.33,
2,Fresh Exposure taken during the day,224182.05,
3,Exposure liquidated during the day,213851.06,
4,Net scripwise outstanding at the end of the day,2787209.32,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,31358,31.56
360ONE,360 ONE WAM LIMITED,52126,205.21
3IINFOLTD,3I INFOTECH LIMITED,458749,129.18
3MINDIA,3M INDIA LIMITED,1734,430.73
541167,YASHO INDUSTRIES LIMITED,70,1.16
5PAISA,5PAISA CAPITAL LIMITED,19762,53.78
63MOONS,63 MOONS TECHNOLOGIES LTD,22613,40.76
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,10405,4.28
AARTIDRUGS,AARTI DRUGS LTD.,257404,1080.55
AARTIIND,AARTI INDUSTRIES LTD,1255148,6397.71
AARTIPHARM,AARTI PHARMALABS LIMITED,25065,95.55
AARTISURF,AARTI SURFACTANTS LIMITED,23474,94.91
AARVI,AARVI ENCON LIMITED,2500,3.46
AAVAS,AAVAS FINANCIERS LIMITED,316516,4256.28
ABAN,ABAN OFFSHORE LTD.,20624,9.26
ABB,ABB INDIA LIMITED,23703,837.32
ABBOTINDIA,ABBOTT INDIA LIMITED,5518,1026.46
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1847169,2692.30
ABFRL,ADITYA BIRLA FASHION & RT,4613935,9496.67
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,105023,348.00
ABSLBANETF,BIRLASLAMC - ABSLBANETF,91,0.03
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,170,0.07
ACC,ACC LIMITED,517635,8718.62
ACCELYA,ACCELYA SOLN INDIA LTD,118293,1506.95
ACCURACY,ACCURACY SHIPPING LIMITED,163618,21.39
ACE,ACTION CONST EQUIP LTD,349320,1267.06
ACI,ARCHEAN CHEMICAL IND LTD,102824,501.49
ADANIENT,ADANI ENTERPRISES LIMITED,876804,16248.55
ADANIGREEN,ADANI GREEN ENERGY LTD,66058,914.07
ADANIPORTS,ADANI PORT & SEZ LTD,2038765,12352.83
ADANIPOWER,ADANI POWER LTD,374533,791.77
ADANITRANS,ADANI TRANSMISSION LTD,235121,2012.80
ADFFOODS,ADF FOODS LIMITED,27501,204.26
ADORWELD,ADOR WELDING LTD,27285,260.44
ADSL,ALLIED DIGITAL SERV. LTD,175051,187.79
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,9865,8.82
ADVENZYMES,ADVANCED ENZYME TECH LTD,151426,417.38
AEGISCHEM,AEGIS LOGISTICS LIMITED,644688,1998.78
AETHER,AETHER INDUSTRIES LIMITED,65886,605.40
