SEBI REPORT AS ON Reporting date 16-JUN-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2816022.77,
2,Fresh Exposure taken during the day,240939.22,
3,Exposure liquidated during the day,264873.14,
4,Net scripwise outstanding at the end of the day,2792088.85,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,26854,28.15
360ONE,360 ONE WAM LIMITED,42142,188.39
3IINFOLTD,3I INFOTECH LIMITED,434479,123.03
3MINDIA,3M INDIA LIMITED,1616,398.69
541167,YASHO INDUSTRIES LIMITED,70,1.16
5PAISA,5PAISA CAPITAL LIMITED,20059,54.96
63MOONS,63 MOONS TECHNOLOGIES LTD,22505,40.62
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,10405,4.28
AARTIDRUGS,AARTI DRUGS LTD.,311237,1325.88
AARTIIND,AARTI INDUSTRIES LTD,1234430,6300.81
AARTIPHARM,AARTI PHARMALABS LIMITED,29041,110.46
AARTISURF,AARTI SURFACTANTS LIMITED,24102,94.73
AARVI,AARVI ENCON LIMITED,2482,3.43
AAVAS,AAVAS FINANCIERS LIMITED,407304,5467.28
ABAN,ABAN OFFSHORE LTD.,20624,9.26
ABB,ABB INDIA LIMITED,28535,1031.12
ABBOTINDIA,ABBOTT INDIA LIMITED,4134,813.02
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1657769,2401.19
ABFRL,ADITYA BIRLA FASHION & RT,5063589,10458.38
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,106005,348.85
ABSLBANETF,BIRLASLAMC - ABSLBANETF,351,0.15
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,623,0.27
ACC,ACC LIMITED,481086,8089.35
ACCELYA,ACCELYA SOLN INDIA LTD,116312,1482.92
ACCURACY,ACCURACY SHIPPING LIMITED,178618,23.25
ACE,ACTION CONST EQUIP LTD,340099,1220.52
ACI,ARCHEAN CHEMICAL IND LTD,131344,661.22
ADANIENT,ADANI ENTERPRISES LIMITED,823558,15320.18
ADANIGREEN,ADANI GREEN ENERGY LTD,65985,907.18
ADANIPORTS,ADANI PORT & SEZ LTD,1955988,11866.12
ADANIPOWER,ADANI POWER LTD,398048,847.25
ADANITRANS,ADANI TRANSMISSION LTD,228351,1947.29
ADFFOODS,ADF FOODS LIMITED,28107,204.04
ADORWELD,ADOR WELDING LTD,23135,220.68
ADSL,ALLIED DIGITAL SERV. LTD,175995,188.76
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,7552,6.75
ADVENZYMES,ADVANCED ENZYME TECH LTD,154075,420.16
AEGISCHEM,AEGIS LOGISTICS LIMITED,519681,1602.44
AETHER,AETHER INDUSTRIES LIMITED,65105,597.58
AFFLE,AFFLE (INDIA) LIMITED,343910,3202.53
AGARIND,AGARWAL INDS CORP LTD.,48227,230.87
AGI,AGI GREENPAC LIMITED,100411,466.65
AGRITECH,AGRI-TECH (INDIA) LIMITED,0,0.00
AGROPHOS,AGRO PHOS INDIA LIMITED,6650,2.48
AGSTRA,AGS TRANSACT TECH LTD,772035,431.49
AHL,ABANS HOLDINGS LIMITED,43986,101.99
AHLUCONT,AHLUWALIA CONT IND LTD,43540,224.23
AIAENG,AIA ENGINEERING LIMITED,23672,658.15
AIRAN,AIRAN LIMITED,30676,5.27
AIROLAM,AIRO LAM LIMITED,5484,4.49
AJANTPHARM,AJANTA PHARMA LIMITED,16137,201.22
AJMERA,AJMERA REALTY & INF I LTD,71736,249.53
AJOONI,AJOONI BIOTECH LIMITED,5500,1.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,3205,8.38
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,40307,4.12
AKZOINDIA,AKZO NOBEL INDIA LIMITED,6006,114.18
ALANKIT,ALANKIT LIMITED,263829,44.09
ALBERTDAVD,ALBERT DAVID LIMITED,34573,206.90
ALEMBICLTD,ALEMBIC LIMITED,525791,321.17
ALICON,ALICON CASTALLOY LIMITED,18223,92.59
ALKALI,ALKALI METALS LTD,4006,5.88
ALKEM,ALKEM LABORATORIES LTD.,35631,1187.89
ALKYLAMINE,ALKYL AMINES CHEM. LTD,40501,967.83
ALLCARGO,ALLCARGO LOGISTICS LTD,902837,2114.51
ALLSEC,ALLSEC TECHNOLOGIES LTD,32434,152.98
ALOKINDS,ALOK INDUSTRIES LIMITED,1735809,253.33
ALOKTEXT,ALOK INDUSTRIES LTD,426254,51.79
ALPA,ALPA LABORATORIES LTD,18426,14.34
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2438,6.70
AMARAJABAT,AMARA RAJA BATTERIES LTD.,757601,4468.02
AMBER,AMBER ENTERPRISES (I) LTD,145085,2707.93
AMBIKCO,AMBIKA COTTON MILL LTD.,9820,122.15
AMBUJACEM,AMBUJA CEMENTS LTD,2931362,11378.86
AMIORG,AMI ORGANICS LIMITED,119084,1229.51
AMRUTANJAN,AMRUTAJAN HEALTH LTD,41882,252.64
ANANDRATHI,ANAND RATHI WEALTH LTD,7716,60.40
ANANTRAJ,ANANT RAJ LIMITED,838909,1127.70
ANDHRAPAP,ANDHRA PAPER LIMITED,106479,388.84
ANDHRSUGAR,ANDHRA SUGARS LTD,382058,405.19
ANDREWYU,ANDREW YULE & CO LTD,369582,94.45
ANGELONE,ANGEL ONE LIMITED,171315,2055.58
ANMOL,ANMOL INDIA LIMITED,5053,10.35
ANUP,THE ANUP ENGINEERING LTD,9251,93.17
ANURAS,ANUPAM RASAYAN INDIA LTD,604339,6547.46
APARINDS,APAR INDUSTRIES LTD.,31306,465.22
APCL,ANJANI PORTLAND CEM LTD,2843,4.21
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,66244,296.62
APEX,APEX FROZEN FOODS LIMITED,153154,281.99
APLAPOLLO,APL APOLLO TUBES LTD,306658,3437.69
APLLTD,ALEMBIC PHARMA LTD,151481,802.34
APOLLO,APOLLO MICRO SYSTEMS LTD,141209,60.42
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,72113,3124.71
APOLLOPIPE,APOLLO PIPES LIMITED,126211,753.32
APOLLOTYRE,APOLLO TYRES LTD,232669,782.45
APTECHT,APTECH LIMITED,873891,3357.46
APTUS,APTUS VALUE HSG FIN I LTD,155123,395.72
ARCHIDPLY,ARCHIDPLY IND. LTD,5833,3.55
ARIES,ARIES AGRO LTD.,86903,149.17
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,9159,2.32
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,56291,65.43
ARMANFIN,ARMAN FIN SERV LTD,28497,280.71
AROGRANITE,ARO GRANITE IND. LTD.,6087,3.15
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,205833,126.76
ARVIND,ARVIND LIMITED,970185,1032.65
ARVINDFASN,ARVIND FASHIONS LIMITED,313838,885.41
ARVSMART,ARVIND SMARTSPACES LTD,57198,155.71
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,184683,734.81
ASAHISONG,ASAHI SONGWON COLOR LTD,1756,5.03
ASAL,AUTOMOTIVE STAMPINGS & AS,7550,21.31
ASALCBR,ASSO ALCOHOLS & BREW LTD,46606,155.51
ASHAPURMIN,ASHAPURA MINECHEM LTD,1050197,1037.26
ASHIANA,ASHIANA HOUSING LTD,68048,84.93
ASHOKA,ASHOKA BUILDCON LTD,2938669,2138.45
ASHOKLEY,ASHOK LEYLAND LTD,3655827,5043.93
ASIANENE,ASIAN ENERGY SERVICES LTD,655,0.81
ASIANPAINT,ASIAN PAINTS LIMITED,297470,7534.36
ASIANTILES,ASIAN GRANITO IND. LTD.,1028366,556.43
ASTEC,ASTEC LIFESCIENCES LTD,34908,393.61
ASTERDM,ASTER DM HEALTHCARE LTD.,191445,467.35
ASTRAL,ASTRAL LIMITED,116018,1851.12
ASTRAMICRO,ASTRA MICROWAVE LTD,1278920,3883.52
ASTRAZEN,ASTRAZENECA PHARMA IND LT,13206,455.42
ASTRON,ASTRON PAPER BORD MIL LTD,12744,3.73
ATALREAL,ATAL REALTECH LIMITED,30000,33.92
ATFL,AGRO TECH FOODS LIMITED,1376,8.35
ATGL,ADANI TOTAL GAS LIMITED,77987,653.36
ATUL,ATUL LTD,43871,2987.20
ATULAUTO,ATUL AUTO LIMITED,356408,1036.79
AUBANK,AU SMALL FINANCE BANK LTD,159268,1124.71
AURIONPRO,AURIONPRO SOLN LTD,2998,20.22
AUROPHARMA,AUROBINDO PHARMA LTD,316069,1677.68
AURUM,AURUM PROPTECH LIMITED,10144,10.68
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,40992,817.09
AUTOBEES,NIPPONAMC - NETFAUTO,12659,13.18
AUTOIND,AUTOLINE INDUSTRIES LTD,164879,111.68
AVADHSUGAR,AVADH SUG & ENERGY LTD,92167,426.44
AVALON,AVALON TECHNOLOGIES LTD,30745,133.58
AVANTIFEED,AVANTI FEEDS LIMITED,338832,1259.32
