SEBI REPORT AS ON Reporting date 22-JUN-2023,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2457299.64,
2,Fresh Exposure taken during the day,203330.20,
3,Exposure liquidated during the day,154950.01,
4,Net scripwise outstanding at the end of the day,2505679.83,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,25469,27.09
360ONE,360 ONE WAM LIMITED,23520,110.74
3IINFOLTD,3I INFOTECH LIMITED,436727,126.66
3MINDIA,3M INDIA LIMITED,2017,496.76
541167,YASHO INDUSTRIES LIMITED,70,1.16
5PAISA,5PAISA CAPITAL LIMITED,18972,46.43
63MOONS,63 MOONS TECHNOLOGIES LTD,19630,35.54
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,7405,3.29
AARTIDRUGS,AARTI DRUGS LTD.,301411,1297.96
AARTIIND,AARTI INDUSTRIES LTD,1113310,5704.64
AARTIPHARM,AARTI PHARMALABS LIMITED,35193,128.71
AARTISURF,AARTI SURFACTANTS LIMITED,19452,69.04
AARVI,AARVI ENCON LIMITED,2481,3.43
AAVAS,AAVAS FINANCIERS LIMITED,343733,4649.39
ABAN,ABAN OFFSHORE LTD.,15945,7.38
ABB,ABB INDIA LIMITED,29692,1087.24
ABBOTINDIA,ABBOTT INDIA LIMITED,4525,892.23
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1664604,2410.66
ABFRL,ADITYA BIRLA FASHION & RT,3687644,7232.98
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,99824,334.28
ABSLBANETF,BIRLASLAMC - ABSLBANETF,631,0.23
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,90,0.04
ACC,ACC LIMITED,458109,7611.78
ACCELYA,ACCELYA SOLN INDIA LTD,105392,1396.23
ACCURACY,ACCURACY SHIPPING LIMITED,240096,29.13
ACE,ACTION CONST EQUIP LTD,303320,1057.89
ACI,ARCHEAN CHEMICAL IND LTD,156106,739.44
ADANIENT,ADANI ENTERPRISES LIMITED,870854,14953.31
ADANIGREEN,ADANI GREEN ENERGY LTD,62108,862.58
ADANIPORTS,ADANI PORT & SEZ LTD,1585553,9254.36
ADANIPOWER,ADANI POWER LTD,392213,995.08
ADANITRANS,ADANI TRANSMISSION LTD,240420,2024.06
ADFFOODS,ADF FOODS LIMITED,25103,187.06
ADORWELD,ADOR WELDING LTD,20615,181.51
ADSL,ALLIED DIGITAL SERV. LTD,173169,185.37
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,6636,5.93
ADVENZYMES,ADVANCED ENZYME TECH LTD,157432,441.09
AEGISCHEM,AEGIS LOGISTICS LIMITED,503089,1537.73
AETHER,AETHER INDUSTRIES LIMITED,58477,539.15
AFFLE,AFFLE (INDIA) LIMITED,276608,2613.72
AGARIND,AGARWAL INDS CORP LTD.,44119,203.41
AGI,AGI GREENPAC LIMITED,93511,420.95
AGRITECH,AGRI-TECH (INDIA) LIMITED,4735,5.06
AGROPHOS,AGRO PHOS INDIA LIMITED,6650,2.48
AGSTRA,AGS TRANSACT TECH LTD,654717,353.12
AHL,ABANS HOLDINGS LIMITED,30679,78.20
AHLUCONT,AHLUWALIA CONT IND LTD,34216,164.08
AIAENG,AIA ENGINEERING LIMITED,27003,724.45
AIRAN,AIRAN LIMITED,32497,5.62
AIROLAM,AIRO LAM LIMITED,5484,4.49
AJANTPHARM,AJANTA PHARMA LIMITED,12493,153.54
AJMERA,AJMERA REALTY & INF I LTD,89932,316.36
AJOONI,AJOONI BIOTECH LIMITED,5500,1.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,3005,7.51
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,110000,9.97
AKZOINDIA,AKZO NOBEL INDIA LIMITED,5337,98.56
ALANKIT,ALANKIT LIMITED,247829,35.63
ALBERTDAVD,ALBERT DAVID LIMITED,34635,207.27
ALEMBICLTD,ALEMBIC LIMITED,521845,323.56
ALICON,ALICON CASTALLOY LIMITED,18036,90.79
ALKALI,ALKALI METALS LTD,3306,4.91
ALKEM,ALKEM LABORATORIES LTD.,35348,1175.62
ALKYLAMINE,ALKYL AMINES CHEM. LTD,36740,885.95
ALLCARGO,ALLCARGO LOGISTICS LTD,204682,639.80
ALLSEC,ALLSEC TECHNOLOGIES LTD,33474,161.70
ALOKINDS,ALOK INDUSTRIES LIMITED,1944636,325.94
ALPA,ALPA LABORATORIES LTD,23878,18.00
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,3207,8.85
AMARAJABAT,AMARA RAJA BATTERIES LTD.,701082,4163.00
AMBER,AMBER ENTERPRISES (I) LTD,114140,2141.31
AMBIKCO,AMBIKA COTTON MILL LTD.,10677,137.67
AMBUJACEM,AMBUJA CEMENTS LTD,2376092,8979.29
AMIORG,AMI ORGANICS LIMITED,168515,1731.36
AMRUTANJAN,AMRUTAJAN HEALTH LTD,43937,267.03
ANANDRATHI,ANAND RATHI WEALTH LTD,6031,47.81
ANANTRAJ,ANANT RAJ LIMITED,613748,758.62
ANDHRAPAP,ANDHRA PAPER LIMITED,96710,334.79
ANDHRSUGAR,ANDHRA SUGARS LTD,384910,417.44
ANDREWYU,ANDREW YULE & CO LTD,467329,119.02
ANGELONE,ANGEL ONE LIMITED,119157,1372.34
ANMOL,ANMOL INDIA LIMITED,5973,12.49
ANUP,THE ANUP ENGINEERING LTD,9539,97.40
ANURAS,ANUPAM RASAYAN INDIA LTD,599466,6448.51
APARINDS,APAR INDUSTRIES LTD.,22715,304.39
APCL,ANJANI PORTLAND CEM LTD,2843,4.21
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,64029,283.49
APEX,APEX FROZEN FOODS LIMITED,146915,268.38
APLAPOLLO,APL APOLLO TUBES LTD,180921,2084.54
APLLTD,ALEMBIC PHARMA LTD,121166,632.78
APOLLO,APOLLO MICRO SYSTEMS LTD,114095,53.76
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,63482,2750.32
APOLLOPIPE,APOLLO PIPES LIMITED,116430,687.06
APOLLOTYRE,APOLLO TYRES LTD,220836,755.39
APTECHT,APTECH LIMITED,885281,3353.19
APTUS,APTUS VALUE HSG FIN I LTD,805424,1877.67
ARCHIDPLY,ARCHIDPLY IND. LTD,5833,3.55
ARIES,ARIES AGRO LTD.,93863,161.32
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,10551,2.85
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,85674,104.67
ARMANFIN,ARMAN FIN SERV LTD,22491,166.17
AROGRANITE,ARO GRANITE IND. LTD.,3005,1.87
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,203982,125.39
ARVIND,ARVIND LIMITED,758261,794.08
ARVINDFASN,ARVIND FASHIONS LIMITED,274541,760.89
ARVSMART,ARVIND SMARTSPACES LTD,43378,109.99
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,165877,665.47
ASAHISONG,ASAHI SONGWON COLOR LTD,2294,6.00
ASAL,AUTOMOTIVE STAMPINGS & AS,7832,20.11
ASALCBR,ASSO ALCOHOLS & BREW LTD,46630,155.52
ASHAPURMIN,ASHAPURA MINECHEM LTD,1004931,966.88
ASHIANA,ASHIANA HOUSING LTD,31139,39.64
ASHOKA,ASHOKA BUILDCON LTD,2874022,2065.85
ASHOKLEY,ASHOK LEYLAND LTD,3518539,5000.15
ASIANENE,ASIAN ENERGY SERVICES LTD,735,0.92
