SEBI REPORT AS ON Reporting date 06-JUL-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,2902144.51,
2,Fresh Exposure taken during the day,272217.42,
3,Exposure liquidated during the day,276521.54,
4,Net scripwise outstanding at the end of the day,2897840.40,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,3422,3.69
360ONE,360 ONE WAM LIMITED,23211,110.80
3IINFOLTD,3I INFOTECH LIMITED,437122,125.70
3MINDIA,3M INDIA LIMITED,1982,495.03
5PAISA,5PAISA CAPITAL LIMITED,35427,96.99
63MOONS,63 MOONS TECHNOLOGIES LTD,37291,79.80
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,12405,5.03
AARON,AARON INDUSTRIES LIMITED,100,0.25
AARTIDRUGS,AARTI DRUGS LTD.,311764,1338.98
AARTIIND,AARTI INDUSTRIES LTD,2190857,10776.55
AARTIPHARM,AARTI PHARMALABS LIMITED,40191,143.87
AARTISURF,AARTI SURFACTANTS LIMITED,20429,76.71
AARVI,AARVI ENCON LIMITED,2381,3.27
AAVAS,AAVAS FINANCIERS LIMITED,318238,4453.42
ABAN,ABAN OFFSHORE LTD.,23299,10.30
ABB,ABB INDIA LIMITED,29210,1072.07
ABBOTINDIA,ABBOTT INDIA LIMITED,3746,749.78
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1424079,2126.55
ABFRL,ADITYA BIRLA FASHION & RT,4915256,10175.90
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,148177,524.01
ABSLBANETF,BIRLASLAMC - ABSLBANETF,100,0.04
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,427,0.18
ACC,ACC LIMITED,515863,8631.09
ACCELYA,ACCELYA SOLN INDIA LTD,105852,1406.39
ACCURACY,ACCURACY SHIPPING LIMITED,224162,27.14
ACE,ACTION CONST EQUIP LTD,244709,941.43
ACI,ARCHEAN CHEMICAL IND LTD,181880,876.36
ADANIENT,ADANI ENTERPRISES LIMITED,936326,17090.21
ADANIGREEN,ADANI GREEN ENERGY LTD,29497,385.93
ADANIPORTS,ADANI PORT & SEZ LTD,1857309,11440.29
ADANIPOWER,ADANI POWER LTD,398159,993.50
ADANITRANS,ADANI TRANSMISSION LTD,20461,257.40
ADFFOODS,ADF FOODS LIMITED,36898,323.17
ADORWELD,ADOR WELDING LTD,22043,210.95
ADSL,ALLIED DIGITAL SERV. LTD,191385,206.53
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,29644,26.37
ADVENZYMES,ADVANCED ENZYME TECH LTD,182005,505.07
AEGISCHEM,AEGIS LOGISTICS LIMITED,554729,1719.33
AETHER,AETHER INDUSTRIES LIMITED,75202,694.72
AFFLE,AFFLE (INDIA) LIMITED,329861,3205.11
AGARIND,AGARWAL INDS CORP LTD.,37861,177.32
AGI,AGI GREENPAC LIMITED,94228,422.51
AGRITECH,AGRI-TECH (INDIA) LIMITED,400,0.42
AGROPHOS,AGRO PHOS INDIA LIMITED,6650,2.48
AGSTRA,AGS TRANSACT TECH LTD,603997,329.25
AHL,ABANS HOLDINGS LIMITED,48665,110.57
AHLADA,AHLADA ENGINEERS LIMITED,657,0.74
AHLUCONT,AHLUWALIA CONT IND LTD,47533,220.79
AIAENG,AIA ENGINEERING LIMITED,42219,1184.82
AIRAN,AIRAN LIMITED,30676,5.29
AIROLAM,AIRO LAM LIMITED,1584,1.44
AJANTPHARM,AJANTA PHARMA LIMITED,21822,271.21
AJMERA,AJMERA REALTY & INF I LTD,124260,431.78
AJOONI,AJOONI BIOTECH LIMITED,5500,1.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2055,5.19
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,159092,14.19
AKZOINDIA,AKZO NOBEL INDIA LIMITED,6289,122.30
ALANKIT,ALANKIT LIMITED,334788,38.33
ALBERTDAVD,ALBERT DAVID LIMITED,34431,206.04
ALEMBICLTD,ALEMBIC LIMITED,449405,292.31
ALICON,ALICON CASTALLOY LIMITED,14488,75.64
ALKALI,ALKALI METALS LTD,2042,3.05
ALKEM,ALKEM LABORATORIES LTD.,25088,837.55
ALKYLAMINE,ALKYL AMINES CHEM. LTD,39176,997.42
ALLCARGO,ALLCARGO LOGISTICS LTD,810698,1911.50
ALLSEC,ALLSEC TECHNOLOGIES LTD,30126,150.97
ALOKINDS,ALOK INDUSTRIES LIMITED,2105587,352.06
ALOKTEXT,ALOK INDUSTRIES LTD,678028,96.11
ALPA,ALPA LABORATORIES LTD,14795,12.05
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,3536,9.93
AMARAJABAT,AMARA RAJA BATTERIES LTD.,818616,4994.45
AMBER,AMBER ENTERPRISES (I) LTD,145198,2781.38
AMBIKCO,AMBIKA COTTON MILL LTD.,12565,163.86
AMBUJACEM,AMBUJA CEMENTS LTD,2681374,10258.69
AMIORG,AMI ORGANICS LIMITED,147217,1488.94
AMRUTANJAN,AMRUTAJAN HEALTH LTD,80072,534.77
ANANDRATHI,ANAND RATHI WEALTH LTD,7998,63.54
ANANTRAJ,ANANT RAJ LIMITED,1051272,1620.24
ANDHRAPAP,ANDHRA PAPER LIMITED,113860,399.58
ANDHRSUGAR,ANDHRA SUGARS LTD,409343,436.95
ANDREWYU,ANDREW YULE & CO LTD,458601,116.52
ANGELONE,ANGEL ONE LIMITED,135837,1751.51
ANMOL,ANMOL INDIA LIMITED,5065,10.28
ANUP,THE ANUP ENGINEERING LTD,7357,83.50
ANURAS,ANUPAM RASAYAN INDIA LTD,597634,6442.10
APARINDS,APAR INDUSTRIES LTD.,23785,402.54
APCL,ANJANI PORTLAND CEM LTD,2747,4.18
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,68782,302.46
APEX,APEX FROZEN FOODS LIMITED,180214,334.83
APLAPOLLO,APL APOLLO TUBES LTD,381471,4526.83
APLLTD,ALEMBIC PHARMA LTD,223559,1326.45
APOLLO,APOLLO MICRO SYSTEMS LTD,157706,57.96
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,58381,2704.73
APOLLOPIPE,APOLLO PIPES LIMITED,192884,1206.90
APOLLOTYRE,APOLLO TYRES LTD,584519,2125.92
APTECHT,APTECH LIMITED,842510,3249.80
APTUS,APTUS VALUE HSG FIN I LTD,546882,1297.77
ARCHIDPLY,ARCHIDPLY IND. LTD,5833,3.55
ARIES,ARIES AGRO LTD.,103189,176.56
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,9541,2.45
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,93719,117.70
ARMANFIN,ARMAN FIN SERV LTD,45222,662.59
AROGRANITE,ARO GRANITE IND. LTD.,3026,1.88
ARSHIYA,ARSHIYA LIMITED,5000,1.06
ARTEMISMED,ARTEMIS MED SERVICE LTD,144694,138.52
ARVIND,ARVIND LIMITED,888256,971.76
ARVINDFASN,ARVIND FASHIONS LIMITED,268509,826.64
ARVSMART,ARVIND SMARTSPACES LTD,50277,131.31
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,242786,1218.64
ASAHISONG,ASAHI SONGWON COLOR LTD,1455,4.12
ASAL,AUTOMOTIVE STAMPINGS & AS,15303,47.82
ASALCBR,ASSO ALCOHOLS & BREW LTD,41364,136.01
ASHAPURMIN,ASHAPURA MINECHEM LTD,973022,968.11
ASHIANA,ASHIANA HOUSING LTD,24723,33.80
ASHOKA,ASHOKA BUILDCON LTD,3357118,2408.15
ASHOKLEY,ASHOK LEYLAND LTD,5400794,8001.42
ASIANENE,ASIAN ENERGY SERVICES LTD,834,1.09
ASIANPAINT,ASIAN PAINTS LIMITED,243675,6465.66
ASIANTILES,ASIAN GRANITO IND. LTD.,1088757,583.44
ASTEC,ASTEC LIFESCIENCES LTD,35751,397.82
ASTERDM,ASTER DM HEALTHCARE LTD.,339616,960.04
ASTRAL,ASTRAL LIMITED,190156,3178.07
ASTRAMICRO,ASTRA MICROWAVE LTD,1450808,4641.33
ASTRAZEN,ASTRAZENECA PHARMA IND LT,8996,306.33
ASTRON,ASTRON PAPER BORD MIL LTD,13295,3.95
ATALREAL,ATAL REALTECH LIMITED,30055,33.99
ATFL,AGRO TECH FOODS LIMITED,1264,8.22
ATGL,ADANI TOTAL GAS LIMITED,50647,401.45
ATUL,ATUL LTD,47947,3270.28
ATULAUTO,ATUL AUTO LIMITED,339220,1001.08
AUBANK,AU SMALL FINANCE BANK LTD,207309,1486.16
AURIONPRO,AURIONPRO SOLN LTD,10,0.04
AUROPHARMA,AUROBINDO PHARMA LTD,239080,1410.93
AURUM,AURUM PROPTECH LIMITED,10082,10.38
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,33209,651.18
AUTOBEES,NIPPONAMC - NETFAUTO,12439,13.59
AUTOIND,AUTOLINE INDUSTRIES LTD,177908,120.77
AVADHSUGAR,AVADH SUG & ENERGY LTD,110152,493.65
AVALON,AVALON TECHNOLOGIES LTD,62516,284.25
AVANTIFEED,AVANTI FEEDS LIMITED,392922,1491.11
AVTNPL,AVT NATURAL PRODUCTS LTD,132358,85.91
AWHCL,ANTONY WASTE HDG CELL LTD,109328,286.85
AWL,ADANI WILMAR LIMITED,798517,2689.87
AXISBANK,AXIS BANK LIMITED,1432692,12339.64
AXISBNKETF,AXISAMC - AXISBNKETF,3,0.01
AXISBPSETF,AXISAMC - AXISBPSETF,2632,0.27
AXISCADES,AXISCADES TECH LTD,10,0.05
AXISGOLD,AXIS MF - AXIS GOLD ETF,15425,5.63
AXISHCETF,AXISAMC - AXISHCETF,10,0.01
AXISILVER,AXISAMC - AXISILVER,834,0.65
AXISNIFTY,AXISAMC - AXISNIFTY,255,0.51
AXISTECETF,AXISAMC - AXISTECETF,676,1.53
AXITA,AXITA COTTON LIMITED,25981,17.35
AYMSYNTEX,AYM SYNTEX LIMITED,3223,3.57
BAJAJ-AUTO,BAJAJ AUTO LIMITED,42756,1768.71
BAJAJCON,BAJAJ CONSUMER CARE LTD,1054005,1825.87
BAJAJELEC,BAJAJ ELECT.LTD,80484,929.15
BAJAJFINSV,BAJAJ FINSERV LTD.,1852183,27364.96
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,32506,83.59
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,6777991,988.20
BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,15195,982.02
BAJFINANCE,BAJAJ FINANCE LIMITED,326124,19947.12
BALAJITELE,BALAJI TELEFILMS LIMITED.,374930,170.40
BALAMINES,BALAJI AMINES LIMITED,137299,2941.28
BALAXI,BALAXI PHARMA LTD,1138,3.90
BALKRISIND,BALKRISHNA IND. LTD,62487,1285.92
BALMLAWRIE,BALMER LAWRIE & CO LTD,940511,1115.54
BALPHARMA,BAL PHARMA LTD.,3235,3.07
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,1568994,5560.24
BANARBEADS,BANARAS BEADS LTD,1,0.00
BANARISUG,BANNARI AMMAN SUGARS LTD,930,22.75
BANCOINDIA,BANCO PRODUCTS (I) LTD,393600,1083.37
BANDHANBNK,BANDHAN BANK LIMITED,7065453,14640.42
BANKBARODA,BANK OF BARODA,6174647,10233.48
BANKBEES,NIP IND ETF BANK BEES,45861,165.74
BANKINDIA,BANK OF INDIA,15199276,10485.52
BANSWRAS,BANSWARA SYNTEX LIMITED,51676,79.74
BARBEQUE,BARBEQUE NATION HOSP. LTD,175099,1165.91
BASF,BASF INDIA LTD,23000,565.34
BASML,BANNARI AM SPIN MILL LTD.,24215,12.97
BATAINDIA,BATA INDIA LTD,213914,3129.08
BAYERCROP,BAYER CROPSCIENCE LTD,11945,481.10
BBETF0432,EDELAMC - BBETF0432,1114,11.82
BBL,BHARAT BIJLEE LTD,20953,510.38
BBOX,BLACK BOX LIMITED,7789,11.63
BBTC,BOMBAY BURMAH TRADING COR,76755,746.72
BBTCL,B&B TRIPLEWALL CONT LTD,600,1.56
BCG,BRIGHTCOM GROUP LIMITED,76323,17.79
BCLIND,BCL INDUSTRIES LIMITED,234794,892.69
BDL,BHARAT DYNAMICS LIMITED,559788,5549.29
BECTORFOOD,MRS BECTORS FOOD SPE LTD,42505,183.22
BEL,BHARAT ELECTRONICS LTD,9893082,10580.16
BEML,BEML LIMITED,367351,5143.68
BEPL,BHANSALI ENG. POLYMERS LT,864465,1017.04
BERGEPAINT,BERGER PAINTS (I) LTD,153768,934.61
BESTAGRO,BEST AGROLIFE LIMITED,91471,943.97
BFINVEST,BF INVESTMENT LIMITED,35482,105.32
BFUTILITIE,BF UTILITIES LIMITED,413795,1478.75
BGRENERGY,BGR ENERGY SYSTEMS LTD,84370,50.47
BHAGCHEM,BHAGIRADHA CHEM & INDS L,3228,38.40
BHAGERIA,BHAGERIA INDUSTRIES LTD,20065,27.41
BHAGYANGR,BHAGYANAGAR INDIA LIMITED,3950,2.24
BHANDARI,BHANDARI HOSIERY EXP LTD,25701,1.32
BHARATFORG,BHARAT FORGE LTD,640102,4908.50
BHARATGEAR,BHARAT GEARS LTD.,38395,50.26
BHARATRAS,BHARAT RASAYAN LTD,1582,124.86
BHARATWIRE,BHARAT WIRE ROPES LTD.,301552,506.77
BHARTIARTL,BHARTI AIRTEL LIMITED,1019592,7314.83
BHEL,BHEL,13601985,10357.54
BIGBLOC,BIGBLOC CONSTRUCTION LTD,7413,12.29
BIKAJI,BIKAJI FOODS INTERN LTD,111024,310.19
BIOCON,BIOCON LIMITED.,2415170,5443.91
BIOFILCHEM,BIOFIL CHEM & PHARMA LTD,4649,2.14
BIRLACABLE,BIRLA CABLE LIMITED,157338,249.82
BIRLACORPN,BIRLA CORPORATION LTD,89091,871.48
BIRLAMONEY,ADITYA BIRLA MONEY LTD,90002,19.44
BIRLATYRE,BIRLA TYRES LIMITED,20000,4.15
BLAL,BEML LAND ASSETS LIMITED,16527,14.11
BLISSGVS,BLISS GVS PHARMA LTD,154564,127.66
BLKASHYAP,B.L.KASHYAP & SON LTD,951998,359.10
BLS,BLS INTL SERVS LTD,4507093,6794.92
BLUEDART,BLUE DART EXPRESS LTD,12203,721.63
BLUESTARCO,BLUE STAR LIMITED,24480,207.04
BODALCHEM,BODAL CHEMICALS LTD,523468,342.97
BOMDYEING,BOMBAY DYEING & MFG. CO L,3164895,3255.26
BOROLTD,BOROSIL LIMITED,82776,300.00
BORORENEW,BOROSIL RENEWABLES LTD,480173,2214.50
BOSCHLTD,BOSCH LIMITED,5260,898.02
BPCL,BHARAT PETROLEUM CORP  LT,1517677,4999.24
BPL,BPL LTD,153677,101.85
BRIGADE,BRIGADE ENTER. LTD,129725,663.25
BRITANNIA,BRITANNIA INDUSTRIES LTD,26994,1173.92
BRNL,BHARAT ROAD NETWORK LTD,8646,3.26
BSE,BSE LIMITED,1683510,9923.58
BSL,BSL LTD,1000,1.73
BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,89,0.03
BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,1583,0.34
BSOFT,BIRLASOFT LIMITED,1608920,4967.22
BUTTERFLY,BTRFLY GANDHI APPL LTD,5146,55.72
BYKE,THE BYKE HOSPITALITY LTD,9153,4.07
CAMLINFINE,CAMLIN FINE SCIENCES LTD,1457620,2316.46
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,884411,2788.32
CAMS,COMPUTER AGE MNGT SER LTD,162145,3575.14
CANBK,CANARA BANK,5897808,15893.52
CANFINHOME,CAN FIN HOMES LTD,174125,1208.09
CANTABIL,CANTABIL RETAIL LTD,7698,53.22
CAPACITE,CAPACITE INFRAPROJECT LTD,880729,1499.25
CAPLIPOINT,CAPLIN POINT LAB LTD.,130559,854.37
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,31829,291.22
CAREERP,CAREER POINT LIMITED,28344,57.73
CARERATING,CARE RATINGS LIMITED,157796,971.70
CARTRADE,CARTRADE TECH LIMITED,158001,660.39
CARYSIL,CARYSIL LIMITED,87632,498.89
CASTROLIND,CASTROL INDIA LIMITED,921987,1044.72
CCL,CCL PRODUCTS (I) LTD,139107,766.29
CDSL,CENTRAL DEPO SER (I) LTD,631251,6494.05
CEATLTD,CEAT LIMITED,47885,801.04
CENTENKA,CENTURY ENKA LTD,80112,296.66
CENTRALBK,CENTRAL BANK OF INDIA,17724667,4882.37
CENTRUM,CENTRUM CAPITAL LIMITED,264072,47.03
CENTUM,CENTUM ELECTRONICS LTD,21601,168.67
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,98524,578.58
CENTURYTEX,CENTURY TEXTILES LTD,224469,1674.57
CERA,CERA SANITARYWARE LTD,7530,488.46
CEREBRAINT,CEREBRA INT TECH LTD,11591,4.67
CESC,CESC LTD,5590963,3824.62
CGCL,CAPRI GLOBAL CAPITAL LTD,15314,114.59
CGPOWER,CG POWER AND IND SOL LTD,1161680,3870.55
CHALET,CHALET HOTELS LIMITED,68407,243.96
CHAMBLFERT,CHAMBAL FERTILIZERS LTD,2959291,7497.29
CHEMBOND,CHEMBOND CHEMICALS LTD,21292,83.00
CHEMCON,CHEMCON SPECIAL CHEM LTD,144679,378.79
CHEMFAB,CHEMFAB ALKALIS LIMITED,8757,27.31
CHEMPLASTS,CHEMPLAST SANMAR LIMITED,213365,801.45
CHENNPETRO,CHENNAI PETROLEUM CORP LT,1102624,3729.41
CHEVIOT,CHEVIOT COMPANY LIMITED,3483,41.86
