SEBI REPORT AS ON Reporting date 27-JUL-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,3229868.57,
2,Fresh Exposure taken during the day,364195.81,
3,Exposure liquidated during the day,298778.88,
4,Net scripwise outstanding at the end of the day,3295285.50,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,2100,2.35
360ONE,360 ONE WAM LIMITED,44423,200.42
3IINFOLTD,3I INFOTECH LIMITED,492864,139.19
3MINDIA,3M INDIA LIMITED,1775,437.54
500285,SPICEJET LTD.,12804,4.91
5PAISA,5PAISA CAPITAL LIMITED,25091,79.07
63MOONS,63 MOONS TECHNOLOGIES LTD,37413,83.76
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,12405,5.03
AARTIDRUGS,AARTI DRUGS LTD.,472232,2417.15
AARTIIND,AARTI INDUSTRIES LTD,2744036,12805.03
AARTIPHARM,AARTI PHARMALABS LIMITED,122222,404.22
AARTISURF,AARTI SURFACTANTS LIMITED,21147,81.48
AARVI,AARVI ENCON LIMITED,2901,4.05
AAVAS,AAVAS FINANCIERS LIMITED,325508,4731.86
ABAN,ABAN OFFSHORE LTD.,18752,8.37
ABB,ABB INDIA LIMITED,66076,2345.41
ABBOTINDIA,ABBOTT INDIA LIMITED,4614,937.03
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,1773767,2739.38
ABFRL,ADITYA BIRLA FASHION & RT,4646770,9686.03
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,96550,329.91
ABSLBANETF,BIRLASLAMC - ABSLBANETF,593,0.19
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,567,0.24
ACC,ACC LIMITED,396903,6908.63
ACCELYA,ACCELYA SOLN INDIA LTD,113008,1486.44
ACCURACY,ACCURACY SHIPPING LIMITED,60000,7.75
ACE,ACTION CONST EQUIP LTD,256196,1231.35
ACI,ARCHEAN CHEMICAL IND LTD,213483,1006.92
