SEBI REPORT AS ON Reporting date 22-AUG-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,3654930.54,
2,Fresh Exposure taken during the day,246339.35,
3,Exposure liquidated during the day,234209.83,
4,Net scripwise outstanding at the end of the day,3667060.06,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,1600,1.78
360ONE,360 ONE WAM LIMITED,50836,240.79
3IINFOLTD,3I INFOTECH LIMITED,445295,120.01
3MINDIA,3M INDIA LIMITED,1664,431.04
500285,SPICEJET LTD.,7015,2.69
539660,BEST AGROLIFE LIMITED,110,1.03
5PAISA,5PAISA CAPITAL LIMITED,20880,60.36
63MOONS,63 MOONS TECHNOLOGIES LTD,74652,210.18
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,96369,47.26
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,361683,1940.16
AARTIIND,AARTI INDUSTRIES LTD,2693921,12368.34
AARTIPHARM,AARTI PHARMALABS LIMITED,104638,340.54
AARTISURF,AARTI SURFACTANTS LIMITED,24185,99.22
AARVI,AARVI ENCON LIMITED,2931,4.09
AAVAS,AAVAS FINANCIERS LIMITED,272836,4100.73
ABAN,ABAN OFFSHORE LTD.,22416,9.61
ABB,ABB INDIA LIMITED,107786,4152.26
ABBOTINDIA,ABBOTT INDIA LIMITED,7372,1615.59
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2175953,3420.03
ABFRL,ADITYA BIRLA FASHION & RT,3697430,7613.00
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,89587,305.69
ABSLBANETF,BIRLASLAMC - ABSLBANETF,42178,15.17
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,629,0.28
ACC,ACC LIMITED,319861,5578.69
ACCELYA,ACCELYA SOLN INDIA LTD,118341,1569.96
ACCURACY,ACCURACY SHIPPING LIMITED,10000,1.23
ACE,ACTION CONST EQUIP LTD,117276,471.77
ACI,ARCHEAN CHEMICAL IND LTD,273363,1289.78
ADANIENT,ADANI ENTERPRISES LIMITED,577942,10786.15
ADANIGREEN,ADANI GREEN ENERGY LTD,27140,333.39
ADANIPORTS,ADANI PORT & SEZ LTD,1406675,9490.79
ADANIPOWER,ADANI POWER LTD,699001,1946.17
ADANITRANS,ADANI TRANSMISSION LTD,50448,382.84
ADFFOODS,ADF FOODS LIMITED,59596,544.54
ADORWELD,ADOR WELDING LTD,28160,238.82
ADSL,ALLIED DIGITAL SERV. LTD,183054,243.60
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,49096,45.24
ADVENZYMES,ADVANCED ENZYME TECH LTD,214093,637.89
AEGISCHEM,AEGIS LOGISTICS LIMITED,319022,968.62
AETHER,AETHER INDUSTRIES LIMITED,57675,520.06
AFFLE,AFFLE (INDIA) LIMITED,549448,5696.99
AGARIND,AGARWAL INDS CORP LTD.,49462,325.41
AGI,AGI GREENPAC LIMITED,75686,340.53
AGRITECH,AGRI-TECH (INDIA) LIMITED,4743,5.41
AGROPHOS,AGRO PHOS INDIA LIMITED,5500,2.05
AGSTRA,AGS TRANSACT TECH LTD,620067,339.86
AHL,ABANS HOLDINGS LIMITED,40738,96.24
AHLADA,AHLADA ENGINEERS LIMITED,10,0.01
AHLUCONT,AHLUWALIA CONT IND LTD,35217,175.49
AIAENG,AIA ENGINEERING LIMITED,18522,560.28
AIRAN,AIRAN LIMITED,18534,3.99
AJANTPHARM,AJANTA PHARMA LIMITED,36938,520.00
AJMERA,AJMERA REALTY & INF I LTD,141169,500.75
AJOONI,AJOONI BIOTECH LIMITED,5500,1.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,271,0.69
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,70567,8.26
AKZOINDIA,AKZO NOBEL INDIA LIMITED,12041,255.98
ALANKIT,ALANKIT LIMITED,6300,0.94
ALBERTDAVD,ALBERT DAVID LIMITED,24427,147.60
ALEMBICLTD,ALEMBIC LIMITED,564534,396.87
ALICON,ALICON CASTALLOY LIMITED,17079,103.85
ALKALI,ALKALI METALS LTD,2041,3.05
ALKEM,ALKEM LABORATORIES LTD.,40897,1516.81
ALKYLAMINE,ALKYL AMINES CHEM. LTD,55629,1343.97
ALLCARGO,ALLCARGO LOGISTICS LTD,431987,1211.06
ALLSEC,ALLSEC TECHNOLOGIES LTD,30684,160.09
ALMONDZ,ALMONDZ GLOBAL SEC LTD,9750,9.05
ALOKINDS,ALOK INDUSTRIES LIMITED,3229439,530.17
ALOKTEXT,ALOK INDUSTRIES LTD,409350,66.91
ALPA,ALPA LABORATORIES LTD,15335,11.55
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2652,7.50
AMARAJABAT,AMARA RAJA BATTERIES LTD.,1539220,9036.19
AMBER,AMBER ENTERPRISES (I) LTD,93154,1724.19
AMBIKCO,AMBIKA COTTON MILL LTD.,18412,221.89
