SEBI REPORT AS ON Reporting date 12-SEP-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,3917825.28,
2,Fresh Exposure taken during the day,454944.63,
3,Exposure liquidated during the day,393011.95,
4,Net scripwise outstanding at the end of the day,3979757.96,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,1400,1.58
360ONE,360 ONE WAM LIMITED,47764,229.81
3IINFOLTD,3I INFOTECH LIMITED,753403,213.92
3MINDIA,3M INDIA LIMITED,1625,443.16
500285,SPICEJET LTD.,100,0.04
539660,BEST AGROLIFE LIMITED,110,1.03
5PAISA,5PAISA CAPITAL LIMITED,37186,130.48
63MOONS,63 MOONS TECHNOLOGIES LTD,40278,117.66
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,83769,41.61
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,626576,3593.00
AARTIIND,AARTI INDUSTRIES LTD,2438926,11551.54
AARTIPHARM,AARTI PHARMALABS LIMITED,78150,260.57
AARTISURF,AARTI SURFACTANTS LIMITED,21433,89.63
AARVI,AARVI ENCON LIMITED,2431,3.33
AAVAS,AAVAS FINANCIERS LIMITED,244448,3750.41
ABAN,ABAN OFFSHORE LTD.,64460,30.15
ABB,ABB INDIA LIMITED,86030,3229.09
ABBOTINDIA,ABBOTT INDIA LIMITED,9027,1910.64
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4495821,7661.46
ABFRL,ADITYA BIRLA FASHION & RT,4412371,9369.93
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,100179,334.02
ABSLBANETF,BIRLASLAMC - ABSLBANETF,27112,10.06
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,428,0.19
ACC,ACC LIMITED,245859,4388.01
ACCELYA,ACCELYA SOLN INDIA LTD,115021,1594.30
ACCURACY,ACCURACY SHIPPING LIMITED,10000,1.23
ACE,ACTION CONST EQUIP LTD,127566,504.02
ACI,ARCHEAN CHEMICAL IND LTD,268831,1446.14
ADANIENSOL,ADANI ENERGY SOLUTION LTD,20285,240.06
ADANIENT,ADANI ENTERPRISES LIMITED,630707,11920.85
ADANIGREEN,ADANI GREEN ENERGY LTD,31982,380.38
ADANIPORTS,ADANI PORT & SEZ LTD,1426450,10164.70
ADANIPOWER,ADANI POWER LTD,411663,1245.27
ADFFOODS,ADF FOODS LIMITED,57576,133.12
ADORWELD,ADOR WELDING LTD,34078,291.09
ADSL,ALLIED DIGITAL SERV. LTD,167067,223.17
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,46561,43.04
ADVENZYMES,ADVANCED ENZYME TECH LTD,248943,746.91
AEGISCHEM,AEGIS LOGISTICS LIMITED,501933,1597.52
AEROFLEX,AEROFLEX INDUSTRIES LTD,9000,15.28
AETHER,AETHER INDUSTRIES LIMITED,79744,733.56
AFFLE,AFFLE (INDIA) LIMITED,587515,6172.24
AGARIND,AGARWAL INDS CORP LTD.,46520,320.70
AGI,AGI GREENPAC LIMITED,120975,589.38
AGRITECH,AGRI-TECH (INDIA) LIMITED,50,0.06
AGROPHOS,AGRO PHOS INDIA LIMITED,2974,1.27
AGSTRA,AGS TRANSACT TECH LTD,681662,372.13
AHL,ABANS HOLDINGS LIMITED,86846,178.09
AHLUCONT,AHLUWALIA CONT IND LTD,29147,140.35
AIAENG,AIA ENGINEERING LIMITED,14432,451.56
AIRAN,AIRAN LIMITED,69921,16.04
AJANTPHARM,AJANTA PHARMA LIMITED,40260,569.46
AJMERA,AJMERA REALTY & INF I LTD,153186,548.88
AJOONI,AJOONI BIOTECH LIMITED,5500,1.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2046,6.18
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,32711,3.72
AKZOINDIA,AKZO NOBEL INDIA LIMITED,14553,320.40
ALANKIT,ALANKIT LIMITED,8021,1.15
ALBERTDAVD,ALBERT DAVID LIMITED,13520,84.02
ALEMBICLTD,ALEMBIC LIMITED,811032,586.59
