SEBI REPORT AS ON Reporting date 07-NOV-2023,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,4406648.09,
2,Fresh Exposure taken during the day,277480.23,
3,Exposure liquidated during the day,243912.83,
4,Net scripwise outstanding at the end of the day,4440215.49,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,0,0.00
360ONE,360 ONE WAM LIMITED,88271,428.64
3IINFOLTD,3I INFOTECH LIMITED,702516,219.79
3MINDIA,3M INDIA LIMITED,2010,553.30
530131,UDAIPUR CEMENT WORKS LTD.,5000,1.68
5PAISA,5PAISA CAPITAL LIMITED,58850,200.42
63MOONS,63 MOONS TECHNOLOGIES LTD,15999,45.65
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAATECH,AAA TECHNOLOGIES LIMITED,0,0.00
AAREYDRUGS,AAREY DRUGS & PHARM LTD,83825,41.64
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,738338,4021.10
AARTIIND,AARTI INDUSTRIES LTD,2537601,11809.99
AARTIPHARM,AARTI PHARMALABS LIMITED,96160,323.78
AARTISURF,AARTI SURFACTANTS LIMITED,17460,92.87
AARVI,AARVI ENCON LIMITED,25,0.03
AAVAS,AAVAS FINANCIERS LIMITED,201987,2949.03
ABAN,ABAN OFFSHORE LTD.,10270,5.66
ABB,ABB INDIA LIMITED,141697,5257.03
ABBOTINDIA,ABBOTT INDIA LIMITED,6254,1277.24
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3591571,5871.09
ABFRL,ADITYA BIRLA FASHION & RT,4707761,9915.39
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,73634,251.23
ABSLBANETF,BIRLASLAMC - ABSLBANETF,24072,8.26
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,422,0.18
ACC,ACC LIMITED,340157,5988.11
ACCELYA,ACCELYA SOLN INDIA LTD,151702,2156.30
ACCURACY,ACCURACY SHIPPING LIMITED,10000,1.23
ACE,ACTION CONST EQUIP LTD,113504,455.29
ACI,ARCHEAN CHEMICAL IND LTD,380550,2037.17
ADANIENSOL,ADANI ENERGY SOLUTION LTD,294778,2186.65
ADANIENT,ADANI ENTERPRISES LIMITED,670954,11944.98
ADANIGREEN,ADANI GREEN ENERGY LTD,51819,448.76
ADANIPORTS,ADANI PORT & SEZ LTD,1730707,11993.97
ADANIPOWER,ADANI POWER LTD,1215950,3895.07
ADFFOODS,ADF FOODS LIMITED,134573,312.12
ADORWELD,ADOR WELDING LTD,19606,185.20
ADSL,ALLIED DIGITAL SERV. LTD,227147,294.89
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,37586,35.79
ADVENZYMES,ADVANCED ENZYME TECH LTD,228572,698.34
AEGISCHEM,AEGIS LOGISTICS LIMITED,863132,2566.42
AEROFLEX,AEROFLEX INDUSTRIES LTD,287717,401.29
AETHER,AETHER INDUSTRIES LIMITED,63977,569.09
AFFLE,AFFLE (INDIA) LIMITED,526521,5440.69
AGARIND,AGARWAL INDS CORP LTD.,62900,465.36
AGI,AGI GREENPAC LIMITED,242951,1875.31
AGRITECH,AGRI-TECH (INDIA) LIMITED,50,0.06
AGROPHOS,AGRO PHOS INDIA LIMITED,502,0.19
AGSTRA,AGS TRANSACT TECH LTD,667616,364.09
AHL,ABANS HOLDINGS LIMITED,133188,349.68
AHLADA,AHLADA ENGINEERS LIMITED,4037,5.08
AHLEAST,ASIAN HOTELS (EAST) LTD,100,0.13
AHLUCONT,AHLUWALIA CONT IND LTD,105238,674.70
AIAENG,AIA ENGINEERING LIMITED,24722,770.36
AIRAN,AIRAN LIMITED,27960,6.95
AJANTPHARM,AJANTA PHARMA LIMITED,90871,1522.42
AJMERA,AJMERA REALTY & INF I LTD,176854,627.20
AJOONI,AJOONI BIOTECH LIMITED,5500,1.69
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,2096,6.25
AKSHOPTFBR,AKSH OPTIFIBRE  LTD,16748,2.03
AKZOINDIA,AKZO NOBEL INDIA LIMITED,16248,364.06
ALANKIT,ALANKIT LIMITED,8499,1.18
ALBERTDAVD,ALBERT DAVID LIMITED,5430,34.34
ALEMBICLTD,ALEMBIC LIMITED,1904119,1495.82
ALICON,ALICON CASTALLOY LIMITED,24619,143.00
ALKALI,ALKALI METALS LTD,3040,4.09
ALKEM,ALKEM LABORATORIES LTD.,28239,1009.54
