SEBI REPORT AS ON Reporting date 23-FEB-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,5931622.41,
2,Fresh Exposure taken during the day,430129.41,
3,Exposure liquidated during the day,445621.88,
4,Net scripwise outstanding at the end of the day,5916129.94,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
360ONE,360 ONE WAM LIMITED,154893,924.16
3IINFOLTD,3I INFOTECH LIMITED,4108655,1813.51
3MINDIA,3M INDIA LIMITED,2943,765.94
500285,SPICEJET LTD.,840,0.50
539660,BEST AGROLIFE LIMITED,120,1.23
5PAISA,5PAISA CAPITAL LIMITED,148323,804.41
63MOONS,63 MOONS TECHNOLOGIES LTD,2002,8.23
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,1101,0.42
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,615346,3327.02
AARTIIND,AARTI INDUSTRIES LTD,1229725,7115.17
AARTIPHARM,AARTI PHARMALABS LIMITED,137882,561.37
AARTISURF,AARTI SURFACTANTS LIMITED,26089,139.62
AARVEEDEN,AARVEE DEN. & EXP. LTD,250,0.09
AARVI,AARVI ENCON LIMITED,1200,1.72
AAVAS,AAVAS FINANCIERS LIMITED,278819,3806.63
ABAN,ABAN OFFSHORE LTD.,17888,13.93
ABB,ABB INDIA LIMITED,66818,3081.29
ABBOTINDIA,ABBOTT INDIA LIMITED,3996,955.06
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,5485524,9040.42
ABFRL,ADITYA BIRLA FASHION & RT,6089247,13551.79
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,77505,338.09
ABSLBANETF,BIRLASLAMC - ABSLBANETF,59378,16.11
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,3,0.01
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,7042,4.04
ACC,ACC LIMITED,204310,4156.82
ACCELYA,ACCELYA SOLN INDIA LTD,122007,1807.66
ACE,ACTION CONST EQUIP LTD,186557,1552.38
ACI,ARCHEAN CHEMICAL IND LTD,483159,2479.05
ACL,ANDHRA CEMENTS LIMITED,552,0.17
ACLGATI,ALLCARGO GATI LIMITED,1129956,1279.73
ADANIENSOL,ADANI ENERGY SOLUTION LTD,741625,5919.09
ADANIENT,ADANI ENTERPRISES LIMITED,636875,15838.11
ADANIGREEN,ADANI GREEN ENERGY LTD,533442,7362.04
ADANIPORTS,ADANI PORT & SEZ LTD,1492391,14628.48
ADANIPOWER,ADANI POWER LTD,120837,519.68
ADFFOODS,ADF FOODS LIMITED,254830,463.37
ADORWELD,ADOR WELDING LTD,21639,247.56
ADSL,ALLIED DIGITAL SERV. LTD,247106,409.31
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,74662,89.62
ADVENZYMES,ADVANCED ENZYME TECH LTD,292660,996.94
AEGISCHEM,AEGIS LOGISTICS LIMITED,758291,2985.19
AEROFLEX,AEROFLEX INDUSTRIES LTD,1065505,1346.39
AETHER,AETHER INDUSTRIES LIMITED,143131,1063.34
AFFLE,AFFLE (INDIA) LIMITED,532076,4704.35
AGARIND,AGARWAL INDS CORP LTD.,52139,362.39
AGI,AGI GREENPAC LIMITED,379373,2847.03
AGRITECH,AGRI-TECH (INDIA) LIMITED,50,0.06
