SEBI REPORT AS ON Reporting date 01-FEB-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,5543188.88,
2,Fresh Exposure taken during the day,537612.18,
3,Exposure liquidated during the day,512705.22,
4,Net scripwise outstanding at the end of the day,5568095.84,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
360ONE,360 ONE WAM LIMITED,197581,1183.51
3IINFOLTD,3I INFOTECH LIMITED,3089717,1367.03
3IINFOTECH,3I INFOTECH LTD.,1000,0.51
3MINDIA,3M INDIA LIMITED,2218,647.39
500285,SPICEJET LTD.,840,0.50
538598,VISHAL FABRICS LTD,500,0.12
539660,BEST AGROLIFE LIMITED,220,2.21
5PAISA,5PAISA CAPITAL LIMITED,165750,924.34
63MOONS,63 MOONS TECHNOLOGIES LTD,2032,8.42
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,8405,3.68
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,665173,3498.23
AARTIIND,AARTI INDUSTRIES LTD,1444957,8068.19
AARTIPHARM,AARTI PHARMALABS LIMITED,143344,557.01
AARTISURF,AARTI SURFACTANTS LIMITED,24202,136.11
AARVEEDEN,AARVEE DEN. & EXP. LTD,3463,1.12
AARVI,AARVI ENCON LIMITED,700,1.18
AAVAS,AAVAS FINANCIERS LIMITED,250486,3472.30
ABAN,ABAN OFFSHORE LTD.,27733,21.47
ABB,ABB INDIA LIMITED,120030,4703.82
ABBOTINDIA,ABBOTT INDIA LIMITED,3831,850.73
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,9887172,15957.10
ABFRL,ADITYA BIRLA FASHION & RT,5108481,11205.03
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,127634,520.37
ABSLBANETF,BIRLASLAMC - ABSLBANETF,62459,16.60
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,3,0.01
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,1570,0.80
ACC,ACC LIMITED,187638,3339.18
ACCELYA,ACCELYA SOLN INDIA LTD,139918,2112.96
ACCURACY,ACCURACY SHIPPING LIMITED,0,0.00
ACE,ACTION CONST EQUIP LTD,219357,1431.54
ACI,ARCHEAN CHEMICAL IND LTD,680180,3526.68
ACLGATI,ALLCARGO GATI LIMITED,1295237,1535.29
ADANIENSOL,ADANI ENERGY SOLUTION LTD,723722,6066.19
ADANIENT,ADANI ENTERPRISES LIMITED,717289,16171.67
ADANIGREEN,ADANI GREEN ENERGY LTD,494968,5948.76
