SEBI REPORT AS ON Reporting date 12-MAR-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,5905165.21,
2,Fresh Exposure taken during the day,285737.72,
3,Exposure liquidated during the day,322390.61,
4,Net scripwise outstanding at the end of the day,5868512.32,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
360ONE,360 ONE WAM LIMITED,97464,556.25
3IINFOLTD,3I INFOTECH LIMITED,3762174,1685.96
3MINDIA,3M INDIA LIMITED,2898,738.52
5PAISA,5PAISA CAPITAL LIMITED,101685,471.90
63MOONS,63 MOONS TECHNOLOGIES LTD,2002,8.23
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,1101,0.42
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,643703,3419.93
AARTIIND,AARTI INDUSTRIES LTD,1222067,7008.73
AARTIPHARM,AARTI PHARMALABS LIMITED,151853,623.65
AARTISURF,AARTI SURFACTANTS LIMITED,28831,149.81
AARVEEDEN,AARVEE DEN. & EXP. LTD,254,0.09
AARVI,AARVI ENCON LIMITED,1175,1.68
AAVAS,AAVAS FINANCIERS LIMITED,364378,4793.34
ABAN,ABAN OFFSHORE LTD.,15888,13.01
ABB,ABB INDIA LIMITED,40319,1964.65
ABBOTINDIA,ABBOTT INDIA LIMITED,4233,1042.12
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,6174294,10033.36
ABFRL,ADITYA BIRLA FASHION & RT,7252096,15889.89
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,93027,424.90
ABSLBANETF,BIRLASLAMC - ABSLBANETF,53401,14.11
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,503,5.02
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,11250,6.67
ACC,ACC LIMITED,208081,4280.00
ACCELYA,ACCELYA SOLN INDIA LTD,115124,1688.63
ACE,ACTION CONST EQUIP LTD,192457,1778.87
ACI,ARCHEAN CHEMICAL IND LTD,582472,3164.25
ACL,ANDHRA CEMENTS LIMITED,8010,5.78
ACLGATI,ALLCARGO GATI LIMITED,943690,1003.70
ADANIENSOL,ADANI ENERGY SOLUTION LTD,791484,6344.02
ADANIENT,ADANI ENTERPRISES LIMITED,616008,15340.11
ADANIGREEN,ADANI GREEN ENERGY LTD,441569,6006.89
ADANIPORTS,ADANI PORT & SEZ LTD,1440882,14317.66
ADANIPOWER,ADANI POWER LTD,103497,436.47
ADFFOODS,ADF FOODS LIMITED,395832,766.97
ADORWELD,ADOR WELDING LTD,18711,200.91
ADSL,ALLIED DIGITAL SERV. LTD,267176,435.83
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,113218,99.79
ADVENZYMES,ADVANCED ENZYME TECH LTD,292428,1011.57
AEGISCHEM,AEGIS LOGISTICS LIMITED,905382,3661.83
AEROFLEX,AEROFLEX INDUSTRIES LTD,1118482,1281.42
AETHER,AETHER INDUSTRIES LIMITED,142938,1064.55
AFFLE,AFFLE (INDIA) LIMITED,488207,4340.95
AGARIND,AGARWAL INDS CORP LTD.,50967,344.44
AGI,AGI GREENPAC LIMITED,435772,3300.47
AGRITECH,AGRI-TECH (INDIA) LIMITED,50,0.06
AGROPHOS,AGRO PHOS INDIA LIMITED,2227,1.04
AGSTRA,AGS TRANSACT TECH LTD,49241,45.13
AHL,ABANS HOLDINGS LIMITED,129769,242.37
AHLADA,AHLADA ENGINEERS LIMITED,14943,20.09
AHLEAST,ASIAN HOTELS (EAST) LTD,383,0.66
AHLUCONT,AHLUWALIA CONT IND LTD,52728,543.21
AIAENG,AIA ENGINEERING LIMITED,25913,880.76
AIRAN,AIRAN LIMITED,7381,1.96
AJANTPHARM,AJANTA PHARMA LIMITED,42451,771.09
AJMERA,AJMERA REALTY & INF I LTD,184680,888.49
AJOONI,AJOONI BIOTECH LIMITED,3500,1.59
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,1229,3.84
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,33703,4.90
AKZOINDIA,AKZO NOBEL INDIA LIMITED,17870,426.95
ALANKIT,ALANKIT LIMITED,4236,0.83
ALBERTDAVD,ALBERT DAVID LIMITED,4976,34.79
ALEMBICLTD,ALEMBIC LIMITED,1512716,1323.81
ALICON,ALICON CASTALLOY LIMITED,8787,61.57
ALKALI,ALKALI METALS LTD,900,1.15
ALKEM,ALKEM LABORATORIES LTD.,16673,781.68
ALKYLAMINE,ALKYL AMINES CHEM. LTD,137670,3050.95
ALLCARGO,ALLCARGO LOGISTICS LTD,2544454,2079.28
ALLSEC,ALLSEC TECHNOLOGIES LTD,39009,209.34
ALOKINDS,ALOK INDUSTRIES LIMITED,1366172,378.45
ALPA,ALPA LABORATORIES LTD,6103,6.04
ALPHAETF,MIRAEAMC - ALPHAETF,425,0.07
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,2309,8.19
ALPL30IETF,ICICIPRAMC - ICICIALPLV,2729,6.63
AMBER,AMBER ENTERPRISES (I) LTD,88189,2746.65
AMBIKCO,AMBIKA COTTON MILL LTD.,30937,392.45
AMBUJACEM,AMBUJA CEMENTS LTD,1494906,6663.97
AMIORG,AMI ORGANICS LIMITED,378904,4071.94
AMJLAND,AMJ LAND HOLDINGS LIMITED,6300,2.60
AMNPLST,AMINES & PLASTICIZERS LTD,1544,2.88
AMRUTANJAN,AMRUTAJAN HEALTH LTD,42688,241.62
ANANDRATHI,ANAND RATHI WEALTH LTD,17242,138.02
ANANTRAJ,ANANT RAJ LIMITED,2676701,8566.20
ANDHRAPAP,ANDHRA PAPER LIMITED,215907,995.29
ANDHRSUGAR,ANDHRA SUGARS LTD,1076461,1080.69
ANDREWYU,ANDREW YULE & CO LTD,3403,1.27
ANGELONE,ANGEL ONE LIMITED,147668,2879.38
ANMOL,ANMOL INDIA LIMITED,51250,28.34
ANUP,THE ANUP ENGINEERING LTD,11811,178.43
ANURAS,ANUPAM RASAYAN INDIA LTD,1115912,10856.13
APARINDS,APAR INDUSTRIES LTD.,61703,3073.12
APCL,ANJANI PORTLAND CEM LTD,57110,70.21
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,77437,270.83
APEX,APEX FROZEN FOODS LIMITED,306105,664.98
APLAPOLLO,APL APOLLO TUBES LTD,668104,9162.90
APLLTD,ALEMBIC PHARMA LTD,189089,1144.29
APOLLO,APOLLO MICRO SYSTEMS LTD,43756,61.17
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,76823,4156.83
APOLLOPIPE,APOLLO PIPES LIMITED,271654,1814.13
APOLLOTYRE,APOLLO TYRES LTD,745355,3387.39
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,4,0.09
APTECHT,APTECH LIMITED,1409115,3473.74
APTUS,APTUS VALUE HSG FIN I LTD,237326,731.35
ARCHIDPLY,ARCHIDPLY IND. LTD,5319,3.42
ARCHIES,ARCHIES LTD,100,0.03
ARE&M,AMARA RAJA ENERGY MOB LTD,507405,3522.02
ARIES,ARIES AGRO LTD.,12045,34.80
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,969614,596.64
