SEBI REPORT AS ON Reporting date 18-MAY-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,6621394.15,
2,Fresh Exposure taken during the day,201800.19,
3,Exposure liquidated during the day,187070.98,
4,Net scripwise outstanding at the end of the day,6636123.36,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
360ONE,360 ONE WAM LIMITED,227533,1563.55
3IINFOLTD,3I INFOTECH LIMITED,2186238,786.65
3MINDIA,3M INDIA LIMITED,5031,1233.10
5PAISA,5PAISA CAPITAL LIMITED,105962,416.36
63MOONS,63 MOONS TECHNOLOGIES LTD,1527,7.49
A2ZINFRA,A2Z INFRA ENGINEERING LTD,42994,5.13
AAREYDRUGS,AAREY DRUGS & PHARM LTD,1002,0.39
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,514711,2610.68
AARTIIND,AARTI INDUSTRIES LTD,1317900,7676.21
AARTIPHARM,AARTI PHARMALABS LIMITED,174146,880.48
AARTISURF,AARTI SURFACTANTS LIMITED,28488,131.61
AARVI,AARVI ENCON LIMITED,725,1.24
AAVAS,AAVAS FINANCIERS LIMITED,285302,3737.03
ABAN,ABAN OFFSHORE LTD.,10166,7.11
ABB,ABB INDIA LIMITED,47524,3021.74
ABBOTINDIA,ABBOTT INDIA LIMITED,8697,2061.24
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,7563036,14915.31
ABFRL,ADITYA BIRLA FASHION & RT,4519636,10310.33
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,255784,1202.18
ABSLBANETF,BIRLASLAMC - ABSLBANETF,21137,6.89
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,0,0.00
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,79883,54.24
ACC,ACC LIMITED,532419,11420.60
ACCELYA,ACCELYA SOLN INDIA LTD,121652,1724.41
ACE,ACTION CONST EQUIP LTD,360783,4083.85
ACI,ARCHEAN CHEMICAL IND LTD,591971,3584.07
ACL,ANDHRA CEMENTS LIMITED,11969,10.64
ACLGATI,ALLCARGO GATI LIMITED,1147337,1159.96
ADANIENSOL,ADANI ENERGY SOLUTION LTD,773356,6271.67
ADANIENT,ADANI ENTERPRISES LIMITED,607280,14217.75
ADANIGREEN,ADANI GREEN ENERGY LTD,325627,4568.16
ADANIPORTS,ADANI PORT & SEZ LTD,2544591,28370.61
ADANIPOWER,ADANI POWER LTD,689012,3136.43
ADFFOODS,ADF FOODS LIMITED,784969,1635.42
ADORWELD,ADOR WELDING LTD,24141,245.10
ADSL,ALLIED DIGITAL SERV. LTD,315091,479.46
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,62699,36.06
ADVENZYMES,ADVANCED ENZYME TECH LTD,207090,694.99
AEGISCHEM,AEGIS LOGISTICS LIMITED,480263,2371.83
AEROFLEX,AEROFLEX INDUSTRIES LTD,636708,793.31
AETHER,AETHER INDUSTRIES LIMITED,128149,972.98
AFFLE,AFFLE (INDIA) LIMITED,543741,5315.97
AGARIND,AGARWAL INDS CORP LTD.,66419,409.94
AGI,AGI GREENPAC LIMITED,664309,4786.62
AGRITECH,AGRI-TECH (INDIA) LIMITED,50,0.06
AGROPHOS,AGRO PHOS INDIA LIMITED,3761,1.79
AGSTRA,AGS TRANSACT TECH LTD,32824,29.46
AHL,ABANS HOLDINGS LIMITED,48344,131.92
AHLADA,AHLADA ENGINEERS LIMITED,10309,13.34
AHLEAST,ASIAN HOTELS (EAST) LTD,11149,16.22
AHLUCONT,AHLUWALIA CONT IND LTD,146962,1545.75
AIAENG,AIA ENGINEERING LIMITED,45997,1513.25
AIRAN,AIRAN LIMITED,5182,1.26
AJANTPHARM,AJANTA PHARMA LIMITED,77395,1671.89
AJMERA,AJMERA REALTY & INF I LTD,160679,961.04
AJOONI,AJOONI BIOTECH LIMITED,3500,1.59
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,131,0.34
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,28703,4.12
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10424,248.67
ALANKIT,ALANKIT LIMITED,4236,0.83
ALBERTDAVD,ALBERT DAVID LIMITED,10940,43.50
ALEMBICLTD,ALEMBIC LIMITED,1732460,1413.35
ALICON,ALICON CASTALLOY LIMITED,13110,96.18
ALKALI,ALKALI METALS LTD,1300,1.50
