SEBI REPORT AS ON Reporting date 04-JUN-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,6518118.00,
2,Fresh Exposure taken during the day,855354.94,
3,Exposure liquidated during the day,943223.37,
4,Net scripwise outstanding at the end of the day,6430249.57,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,50,0.09
360ONE,360 ONE WAM LIMITED,318137,1794.14
3IINFOLTD,3I INFOTECH LIMITED,1922554,652.88
3MINDIA,3M INDIA LIMITED,6119,1653.74
5PAISA,5PAISA CAPITAL LIMITED,99629,380.93
63MOONS,63 MOONS TECHNOLOGIES LTD,2,0.00
AARON,AARON INDUSTRIES LIMITED,20,0.05
AARTIDRUGS,AARTI DRUGS LTD.,478118,2420.39
AARTIIND,AARTI INDUSTRIES LTD,1454566,8098.56
AARTIPHARM,AARTI PHARMALABS LIMITED,175105,856.95
AARTISURF,AARTI SURFACTANTS LIMITED,27211,120.91
AARVI,AARVI ENCON LIMITED,725,1.24
AAVAS,AAVAS FINANCIERS LIMITED,202823,2715.15
ABAN,ABAN OFFSHORE LTD.,100,0.09
ABB,ABB INDIA LIMITED,60823,4064.74
ABBOTINDIA,ABBOTT INDIA LIMITED,8759,2041.37
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,7913778,14968.94
ABFRL,ADITYA BIRLA FASHION & RT,4145719,10511.79
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,522538,2693.52
ABSLBANETF,BIRLASLAMC - ABSLBANETF,12361,4.54
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,3409,2.19
ACC,ACC LIMITED,313729,6807.89
ACCELYA,ACCELYA SOLN INDIA LTD,122331,1705.76
ACE,ACTION CONST EQUIP LTD,401818,4474.64
ACI,ARCHEAN CHEMICAL IND LTD,759501,4018.10
ACL,ANDHRA CEMENTS LIMITED,6919,5.96
ACLGATI,ALLCARGO GATI LIMITED,1152838,1101.11
ADANIENSOL,ADANI ENERGY SOLUTION LTD,910177,7231.08
ADANIENT,ADANI ENTERPRISES LIMITED,1088282,28115.50
ADANIGREEN,ADANI GREEN ENERGY LTD,533602,7156.73
ADANIPORTS,ADANI PORT & SEZ LTD,3775826,43460.69
ADANIPOWER,ADANI POWER LTD,1343800,7580.12
ADFFOODS,ADF FOODS LIMITED,792898,1640.69
ADORWELD,ADOR WELDING LTD,24930,240.34
ADSL,ALLIED DIGITAL SERV. LTD,308704,468.57
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,45829,22.93
ADVENZYMES,ADVANCED ENZYME TECH LTD,183430,614.66
AEGISCHEM,AEGIS LOGISTICS LIMITED,400896,2198.42
AEROFLEX,AEROFLEX INDUSTRIES LTD,627782,768.61
AETHER,AETHER INDUSTRIES LIMITED,111202,837.25
AFFLE,AFFLE (INDIA) LIMITED,442810,4387.25
AGARIND,AGARWAL INDS CORP LTD.,60493,364.43
AGI,AGI GREENPAC LIMITED,878585,5998.78
AGRITECH,AGRI-TECH (INDIA) LIMITED,50,0.06
AGROPHOS,AGRO PHOS INDIA LIMITED,4261,2.01
AGSTRA,AGS TRANSACT TECH LTD,53979,34.97
AHL,ABANS HOLDINGS LIMITED,62696,214.85
AHLADA,AHLADA ENGINEERS LIMITED,9200,12.27
AHLEAST,ASIAN HOTELS (EAST) LTD,882,1.40
AHLUCONT,AHLUWALIA CONT IND LTD,146243,1500.79
AIAENG,AIA ENGINEERING LIMITED,45161,1483.45
AJANTPHARM,AJANTA PHARMA LIMITED,46826,982.38
AJMERA,AJMERA REALTY & INF I LTD,170264,955.59
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,56,0.13
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,23993,3.41
AKZOINDIA,AKZO NOBEL INDIA LIMITED,7400,178.26
ALBERTDAVD,ALBERT DAVID LIMITED,10968,34.78
ALEMBICLTD,ALEMBIC LIMITED,1655858,1360.63
ALICON,ALICON CASTALLOY LIMITED,11748,88.83
ALKALI,ALKALI METALS LTD,1425,1.62
ALKEM,ALKEM LABORATORIES LTD.,28695,1332.77
ALKYLAMINE,ALKYL AMINES CHEM. LTD,156044,3037.09
ALLCARGO,ALLCARGO LOGISTICS LTD,3894630,2757.36
ALLSEC,ALLSEC TECHNOLOGIES LTD,23992,136.43
ALMONDZ,ALMONDZ GLOBAL SEC LTD,100,0.12
ALOKINDS,ALOK INDUSTRIES LIMITED,2444085,654.66
ALPA,ALPA LABORATORIES LTD,6371,5.74
ALPHA,KOTAKMAMC - KOTAKALPHA,751143,287.02
ALPHAETF,MIRAEAMC - ALPHAETF,99496,18.84
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,5474,20.70
ALPL30IETF,ICICIPRAMC - ICICIALPLV,57781,12.77
AMBER,AMBER ENTERPRISES (I) LTD,159301,5178.65
AMBIKCO,AMBIKA COTTON MILL LTD.,25465,335.97
AMBUJACEM,AMBUJA CEMENTS LTD,1901699,10128.65
AMIORG,AMI ORGANICS LIMITED,307040,3286.93
AMJLAND,AMJ LAND HOLDINGS LIMITED,81334,34.69
AMNPLST,AMINES & PLASTICIZERS LTD,2468,3.67
AMRUTANJAN,AMRUTAJAN HEALTH LTD,85633,479.71
ANANDRATHI,ANAND RATHI WEALTH LTD,30209,700.13
ANANTRAJ,ANANT RAJ LIMITED,2930501,9974.91
ANDHRAPAP,ANDHRA PAPER LIMITED,208127,955.66
ANDHRSUGAR,ANDHRA SUGARS LTD,883412,881.63
ANGELONE,ANGEL ONE LIMITED,254659,5071.89
ANMOL,ANMOL INDIA LIMITED,69306,27.87
