SEBI REPORT AS ON Reporting date 12-JUL-2024,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,7303657.77,
2,Fresh Exposure taken during the day,704773.60,
3,Exposure liquidated during the day,752492.32,
4,Net scripwise outstanding at the end of the day,7255939.05,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,52472,86.17
360ONE,360 ONE WAM LIMITED,383426,2184.16
3IINFOLTD,3I INFOTECH LIMITED,1819739,595.85
3MINDIA,3M INDIA LIMITED,3203,890.13
530525,SHEETAL DIAMONDS LTD.,500,0.39
5PAISA,5PAISA CAPITAL LIMITED,90210,359.58
63MOONS,63 MOONS TECHNOLOGIES LTD,1854,3.74
AADHARHFC,AADHAR HOUSING FINANCE L,117836,470.76
AARON,AARON INDUSTRIES LIMITED,173,0.45
AARTIDRUGS,AARTI DRUGS LTD.,431809,2218.72
AARTIIND,AARTI INDUSTRIES LTD,1095629,6452.21
AARTIPHARM,AARTI PHARMALABS LIMITED,114483,560.25
AARTISURF,AARTI SURFACTANTS LIMITED,30501,135.96
AARVI,AARVI ENCON LIMITED,1725,2.65
AAVAS,AAVAS FINANCIERS LIMITED,207432,3178.80
ABB,ABB INDIA LIMITED,190738,14322.74
ABBOTINDIA,ABBOTT INDIA LIMITED,6735,1575.49
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,6673881,14111.93
ABFRL,ADITYA BIRLA FASHION & RT,6325447,17975.45
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,345821,1894.70
ABSLBANETF,BIRLASLAMC - ABSLBANETF,19407,7.07
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,164292,124.77
ABSLPSE,BIRLASLAMC-ABSLPSE,820,0.09
ACC,ACC LIMITED,267108,6005.48
ACCELYA,ACCELYA SOLN INDIA LTD,113187,1612.06
ACE,ACTION CONST EQUIP LTD,485830,5591.87
ACI,ARCHEAN CHEMICAL IND LTD,929417,5521.12
ACL,ANDHRA CEMENTS LIMITED,26532,9.37
ACLGATI,ALLCARGO GATI LIMITED,2066732,2039.09
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1142167,9411.31
