,,,,,,Data Revised for reporting date 19-DEC-2024 to include late member submissions,,,
SEBI REPORT AS ON 19-DEC-2024,,,,,,,,,
,,As on Reporting Date 19-DEC-2024,,,,,,As on Current Date 24-DEC-2024 for reporting date 19-DEC-2024,
,Sr.No.,Particulars,Rs. In Lakhs ,,,,Sr.No.,Particulars,Rs. In Lakhs
,1,Scripwise Total Outstanding on the beginning of the day,8295450.03,,,,1,Scripwise Total Outstanding on the beginning of the day,8311435.42
,2,Fresh Exposure taken during the day,484905.10,,,,2,Fresh Exposure taken during the day,484905.10
,3,Exposure liquidated during the day,441571.43,,,,3,Exposure liquidated during the day,441571.59
,4,Net scripwise outstanding at the end of the day,8338783.71,,,,4,Net scripwise outstanding at the end of the day,8354768.93
,,,,,,,,,
,,,,,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,500,1.65,,,20MICRONS,20 MICRONS LTD,500,1.65
360ONE,360 ONE WAM LIMITED,356560,3605.05,,,360ONE,360 ONE WAM LIMITED,357106,3611.19
3IINFOLTD,3I INFOTECH LIMITED,1510127,444.74,,,3IINFOLTD,3I INFOTECH LIMITED,1510127,444.74
3MINDIA,3M INDIA LIMITED,6217,1930.07,,,3MINDIA,3M INDIA LIMITED,6218,1930.44
5PAISA,5PAISA CAPITAL LIMITED,74363,335.40,,,5PAISA,5PAISA CAPITAL LIMITED,74363,335.40
63MOONS,63 MOONS TECHNOLOGIES LTD,141407,1287.91,,,63MOONS,63 MOONS TECHNOLOGIES LTD,141407,1287.91
A2ZINFRA,A2Z INFRA ENGINEERING LTD,40314,8.98,,,A2ZINFRA,A2Z INFRA ENGINEERING LTD,40314,8.98
AADHARHFC,AADHAR HOUSING FINANCE L,283293,1135.19,,,AADHARHFC,AADHAR HOUSING FINANCE L,283293,1135.19
AARON,AARON INDUSTRIES LIMITED,25,0.07,,,AARON,AARON INDUSTRIES LIMITED,25,0.07
AARTECH,AARTECH SOLONICS LIMITED,14621,11.45,,,AARTECH,AARTECH SOLONICS LIMITED,14621,11.45
AARTIDRUGS,AARTI DRUGS LTD.,318415,1555.00,,,AARTIDRUGS,AARTI DRUGS LTD.,318451,1555.22
AARTIIND,AARTI INDUSTRIES LTD,3406187,16901.81,,,AARTIIND,AARTI INDUSTRIES LTD,3433362,17028.87
AARTIPHARM,AARTI PHARMALABS LIMITED,389869,2301.60,,,AARTIPHARM,AARTI PHARMALABS LIMITED,392019,2314.58
AARTISURF,AARTI SURFACTANTS LIMITED,2169,14.38,,,AARTISURF,AARTI SURFACTANTS LIMITED,2169,14.38
