SEBI REPORT AS ON Reporting date 06-MAR-2025,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,6844042.11,
2,Fresh Exposure taken during the day,458110.77,
3,Exposure liquidated during the day,436488.38,
4,Net scripwise outstanding at the end of the day,6865664.50,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,7378,12.22
360ONE,360 ONE WAM LIMITED,117609,1109.98
3IINFOLTD,3I INFOTECH LIMITED,1135213,312.19
3MINDIA,3M INDIA LIMITED,5310,1503.84
5PAISA,5PAISA CAPITAL LIMITED,34692,160.08
63MOONS,63 MOONS TECHNOLOGIES LTD,101832,874.66
A2ZINFRA,A2Z INFRA ENGINEERING LTD,10925,2.10
AAATECH,AAA TECHNOLOGIES LIMITED,444,0.43
AADHARHFC,AADHAR HOUSING FINANCE L,237008,955.92
AAKASH,AAKASH EXPLORATION SER L,300,0.03
AARON,AARON INDUSTRIES LIMITED,80,0.28
AARTECH,AARTECH SOLONICS LIMITED,3650,2.42
AARTIDRUGS,AARTI DRUGS LTD.,276475,1194.15
AARTIIND,AARTI INDUSTRIES LTD,2476986,11674.67
AARTIPHARM,AARTI PHARMALABS LIMITED,441470,2990.66
AARTISURF,AARTI SURFACTANTS LIMITED,1986,13.33
AARVI,AARVI ENCON LIMITED,25,0.03
AAVAS,AAVAS FINANCIERS LIMITED,144915,2317.50
ABAN,ABAN OFFSHORE LTD.,1000,0.69
ABB,ABB INDIA LIMITED,229023,13473.06
ABBOTINDIA,ABBOTT INDIA LIMITED,4762,1115.98
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,7426077,13256.47
ABDL,ALLIED BLEND N DISTILS L,905320,2635.66
ABFRL,ADITYA BIRLA FASHION & RT,10694716,30192.38
ABREL,ADITYA BIRLA REAL EST LTD,301960,6579.02
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,347257,2543.00
ABSLBANETF,BIRLASLAMC - ABSLBANETF,12742,5.39
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,31,0.26
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,193772,146.12
ABSLPSE,BIRLASLAMC-ABSLPSE,319820,25.08
ACC,ACC LIMITED,351719,6949.37
ACCELYA,ACCELYA SOLN INDIA LTD,236030,3577.75
ACE,ACTION CONST EQUIP LTD,385675,4435.81
ACI,ARCHEAN CHEMICAL IND LTD,1039052,4965.66
ACL,ANDHRA CEMENTS LIMITED,105059,92.08
ACLGATI,ALLCARGO GATI LIMITED,1115862,1038.10
ACMESOLAR,ACME SOLAR HOLDINGS LTD,461981,920.01
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1770236,12788.43
ADANIENT,ADANI ENTERPRISES LIMITED,1234546,27280.28
ADANIGREEN,ADANI GREEN ENERGY LTD,1644738,16034.71
ADANIPORTS,ADANI PORT & SEZ LTD,1826982,20537.30
ADANIPOWER,ADANI POWER LTD,3868652,18871.86
ADFFOODS,ADF FOODS LIMITED,531647,1430.83
ADORWELD,ADOR WELDING LTD,28733,328.75
ADSL,ALLIED DIGITAL SERV. LTD,180840,381.16
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,46350,27.03
ADVENZYMES,ADVANCED ENZYME TECH LTD,411174,1473.98
AEGISLOG,AEGIS LOGISTICS LIMITED,336918,2512.90
AEROFLEX,AEROFLEX INDUSTRIES LTD,1386723,2401.15
AETHER,AETHER INDUSTRIES LIMITED,104742,893.70
AFCONS,AFCONS INFRASTRUCTURE LTD,555787,2448.38
AFFLE,AFFLE (INDIA) LIMITED,242074,3532.45
AFFORDABLE,AFFORD ROBO & AUTO LTD,600,3.62
AFIL,AKME FINTRADE (INDIA) LTD,70202,54.75
AGARIND,AGARWAL INDS CORP LTD.,43192,444.64
AGARWALEYE,DR AGARWALS HEALTH CARE L,3203,12.70
AGI,AGI GREENPAC LIMITED,900934,6138.00
AGIIL,AGI INFRA LIMITED,44672,364.37
AGRITECH,AGRI-TECH (INDIA) LIMITED,2719,5.49
AGROPHOS,AGRO PHOS INDIA LIMITED,2664,1.22
AGSTRA,AGS TRANSACT TECH LTD,36898,28.85
AHL,ABANS HOLDINGS LIMITED,21968,51.89
AHLADA,AHLADA ENGINEERS LIMITED,5756,5.84
AHLEAST,ASIAN HOTELS (EAST) LTD,525,0.83
AHLUCONT,AHLUWALIA CONT IND LTD,305470,3084.48
AIAENG,AIA ENGINEERING LIMITED,25319,857.36
AIIL,AUTHUM INVEST & INFRA LTD,87340,1422.88
AIRAN,AIRAN LIMITED,11498,3.69
AIROLAM,AIRO LAM LIMITED,1070,1.57
AJANTPHARM,AJANTA PHARMA LIMITED,60648,1601.41
AJMERA,AJMERA REALTY & INF I LTD,78622,759.31
AKG,AKG EXIM LIMITED,5100,1.09
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,350,0.99
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,23890,2.40
AKUMS,AKUMS DRUGS AND PHARMA L,88719,478.85
AKZOINDIA,AKZO NOBEL INDIA LIMITED,10375,375.25
ALANKIT,ALANKIT LIMITED,62774,12.97
ALBERTDAVD,ALBERT DAVID LIMITED,282,4.32
ALEMBICLTD,ALEMBIC LIMITED,2380656,3047.33
ALICON,ALICON CASTALLOY LIMITED,10808,119.34
ALIVUS,ALIVUS LIFE SCIENCES LTD,233932,1994.16
ALKALI,ALKALI METALS LTD,108,0.15
ALKEM,ALKEM LABORATORIES LTD.,43213,2163.41
ALKYLAMINE,ALKYL AMINES CHEM. LTD,120970,2217.14
ALLCARGO,ALLCARGO LOGISTICS LTD,9325741,4464.84
ALLDIGI,ALLDIGI TECH LIMITED,32095,225.19
ALOKINDS,ALOK INDUSTRIES LIMITED,5304996,1058.13
ALPA,ALPA LABORATORIES LTD,3353,3.83
ALPHA,KOTAKMAMC - KOTAKALPHA,3985760,1831.15
ALPHAETF,MIRAEAMC - ALPHAETF,2339089,558.19
ALPL30IETF,ICICIPRAMC - ICICIALPLV,1076309,277.12
AMBER,AMBER ENTERPRISES (I) LTD,157831,9001.15
AMBIKCO,AMBIKA COTTON MILL LTD.,12658,171.68
AMBUJACEM,AMBUJA CEMENTS LTD,1803716,9329.76
AMDIND,AMD INDUSTRIES LIMITED,12925,7.87
AMIORG,AMI ORGANICS LIMITED,146177,2730.76
AMJLAND,AMJ LAND HOLDINGS LIMITED,10083,6.58
AMNPLST,AMINES & PLASTICIZERS LTD,3886,12.10
AMRUTANJAN,AMRUTAJAN HEALTH LTD,41079,301.45
ANANDRATHI,ANAND RATHI WEALTH LTD,44705,931.67
ANANTRAJ,ANANT RAJ LIMITED,2668382,10641.28
ANDHRAPAP,ANDHRA PAPER LIMITED,487270,437.15
ANDHRSUGAR,ANDHRA SUGARS LTD,707971,749.75
ANGELONE,ANGEL ONE LIMITED,877982,21787.64
ANMOL,ANMOL INDIA LIMITED,721,0.23
ANUHPHR,ANUH PHARMA LIMITED,656,1.08
ANUP,THE ANUP ENGINEERING LTD,16132,423.70
ANURAS,ANUPAM RASAYAN INDIA LTD,1600283,12199.63
APARINDS,APAR INDUSTRIES LTD.,63179,4036.62
APCL,ANJANI PORTLAND CEM LTD,79772,122.99
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,41682,171.32
APEX,APEX FROZEN FOODS LIMITED,154794,327.03
APLAPOLLO,APL APOLLO TUBES LTD,342674,5129.93
APLLTD,ALEMBIC PHARMA LTD,143415,1296.57
APOLLO,APOLLO MICRO SYSTEMS LTD,3322193,3479.12
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,96215,5559.08
APOLLOPIPE,APOLLO PIPES LIMITED,231121,1130.91
APOLLOTYRE,APOLLO TYRES LTD,834092,3579.65
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,425,7.44
APTECHT,APTECH LIMITED,793802,1557.94
APTUS,APTUS VALUE HSG FIN I LTD,799883,2451.02
ARE&M,AMARA RAJA ENERGY MOB LTD,1085578,11683.29
ARIES,ARIES AGRO LTD.,3121,9.93
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,301482,247.78
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,172666,759.73
ARKADE,ARKADE DEVELOPERS LIMITED,1889492,2682.83
ARMANFIN,ARMAN FIN SERV LTD,45053,619.13
AROGRANITE,ARO GRANITE IND. LTD.,2095,1.18
ARROWGREEN,ARROW GREENTECH LIMITED,1063,8.28
ARTEMISMED,ARTEMIS MED SERVICE LTD,42697,115.71
ARVIND,ARVIND LIMITED,450708,1468.61
ARVINDFASN,ARVIND FASHIONS LIMITED,544152,2610.49
ARVSMART,ARVIND SMARTSPACES LTD,61847,469.26
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,141444,925.54
ASAHISONG,ASAHI SONGWON COLOR LTD,1,0.00
ASAL,AUTOMOTIVE STAMPINGS & AS,42781,292.89
ASALCBR,ASSO ALCOHOLS & BREW LTD,50776,388.76
