,,,,,,Data Revised for reporting date 16-MAY-2025 to include late member submissions,,,
SEBI REPORT AS ON 16-MAY-2025,,,,,,,,,
,,As on Reporting Date 16-MAY-2025,,,,,,As on Current Date 20-MAY-2025 for reporting date 16-MAY-2025,
,Sr.No.,Particulars,Rs. In Lakhs ,,,,Sr.No.,Particulars,Rs. In Lakhs
,1,Scripwise Total Outstanding on the beginning of the day,6996723.31,,,,1,Scripwise Total Outstanding on the beginning of the day,6996936.54
,2,Fresh Exposure taken during the day,849687.45,,,,2,Fresh Exposure taken during the day,849692.78
,3,Exposure liquidated during the day,766969.53,,,,3,Exposure liquidated during the day,766989.28
,4,Net scripwise outstanding at the end of the day,7079441.23,,,,4,Net scripwise outstanding at the end of the day,7079640.04
,,,,,,,,,
,,,,,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,7787,15.89,,,20MICRONS,20 MICRONS LTD,7787,15.89
360ONE,360 ONE WAM LIMITED,417107,3811.59,,,360ONE,360 ONE WAM LIMITED,417107,3811.59
3IINFOLTD,3I INFOTECH LIMITED,1025528,280.00,,,3IINFOLTD,3I INFOTECH LIMITED,1035528,282.34
3MINDIA,3M INDIA LIMITED,6388,1847.39,,,3MINDIA,3M INDIA LIMITED,6388,1847.39
500245,KIRLOSKAR FERROUS INDUSTRIES L,2,0.01,,,500245,KIRLOSKAR FERROUS INDUSTRIES L,2,0.01
5PAISA,5PAISA CAPITAL LIMITED,25601,116.14,,,5PAISA,5PAISA CAPITAL LIMITED,25601,116.14
63MOONS,63 MOONS TECHNOLOGIES LTD,92882,724.49,,,63MOONS,63 MOONS TECHNOLOGIES LTD,92882,724.49
AAATECH,AAA TECHNOLOGIES LIMITED,50,0.05,,,AAATECH,AAA TECHNOLOGIES LIMITED,50,0.05
AADHARHFC,AADHAR HOUSING FINANCE L,460744,2012.29,,,AADHARHFC,AADHAR HOUSING FINANCE L,460745,2012.30
AAKASH,AAKASH EXPLORATION SER L,13800,1.14,,,AAKASH,AAKASH EXPLORATION SER L,13800,1.14
AARON,AARON INDUSTRIES LIMITED,80,0.28,,,AARON,AARON INDUSTRIES LIMITED,80,0.28
AARTECH,AARTECH SOLONICS LIMITED,1180,0.70,,,AARTECH,AARTECH SOLONICS LIMITED,1180,0.70
AARTIDRUGS,AARTI DRUGS LTD.,224315,1024.60,,,AARTIDRUGS,AARTI DRUGS LTD.,224315,1024.60
AARTIIND,AARTI INDUSTRIES LTD,1943307,8969.79,,,AARTIIND,AARTI INDUSTRIES LTD,1943307,8969.79
AARTIPHARM,AARTI PHARMALABS LIMITED,316669,2136.19,,,AARTIPHARM,AARTI PHARMALABS LIMITED,316669,2136.19
AARTISURF,AARTI SURFACTANTS LIMITED,2769,15.98,,,AARTISURF,AARTI SURFACTANTS LIMITED,2769,15.98
AARVI,AARVI ENCON LIMITED,25,0.03,,,AARVI,AARVI ENCON LIMITED,25,0.03
AAVAS,AAVAS FINANCIERS LIMITED,158717,2779.35,,,AAVAS,AAVAS FINANCIERS LIMITED,158717,2779.35
ABAN,ABAN OFFSHORE LTD.,1000,0.69,,,ABAN,ABAN OFFSHORE LTD.,1000,0.69
ABB,ABB INDIA LIMITED,231148,13086.15,,,ABB,ABB INDIA LIMITED,231148,13086.15
ABBOTINDIA,ABBOTT INDIA LIMITED,8446,2227.21,,,ABBOTINDIA,ABBOTT INDIA LIMITED,8446,2227.21
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4762827,8680.60,,,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4762827,8680.60
ABDL,ALLIED BLEND N DISTILS L,559000,1878.50,,,ABDL,ALLIED BLEND N DISTILS L,559000,1878.50
ABFRL,ADITYA BIRLA FASHION & RT,9699751,27096.79,,,ABFRL,ADITYA BIRLA FASHION & RT,9699751,27096.79
ABREL,ADITYA BIRLA REAL EST LTD,233062,4548.74,,,ABREL,ADITYA BIRLA REAL EST LTD,233062,4548.74
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,261262,1705.60,,,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,261262,1705.60
ABSLBANETF,BIRLASLAMC - ABSLBANETF,22507,10.98,,,ABSLBANETF,BIRLASLAMC - ABSLBANETF,22507,10.98
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,23,0.19,,,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,23,0.19
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,185345,140.34,,,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,185345,140.34
