SEBI REPORT AS ON Reporting date 21-MAY-2025,,,
Please note the figures are provisional as few members have not submitted the data,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,7442661.25,
2,Fresh Exposure taken during the day,582176.10,
3,Exposure liquidated during the day,568682.71,
4,Net scripwise outstanding at the end of the day,7456154.64,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,25730,56.02
360ONE,360 ONE WAM LIMITED,412240,3784.60
3IINFOLTD,3I INFOTECH LIMITED,1031338,280.99
3MINDIA,3M INDIA LIMITED,6544,1903.70
500245,KIRLOSKAR FERROUS INDUSTRIES L,2,0.01
5PAISA,5PAISA CAPITAL LIMITED,25480,115.78
63MOONS,63 MOONS TECHNOLOGIES LTD,137284,1110.49
AAATECH,AAA TECHNOLOGIES LIMITED,100,0.09
AADHARHFC,AADHAR HOUSING FINANCE L,523554,2297.88
AAKASH,AAKASH EXPLORATION SER L,13800,1.14
AARON,AARON INDUSTRIES LIMITED,80,0.28
AARTECH,AARTECH SOLONICS LIMITED,1130,0.66
AARTIDRUGS,AARTI DRUGS LTD.,207176,959.10
AARTIIND,AARTI INDUSTRIES LTD,2101303,9722.31
AARTIPHARM,AARTI PHARMALABS LIMITED,317390,2243.36
AARTISURF,AARTI SURFACTANTS LIMITED,4779,28.58
AARVI,AARVI ENCON LIMITED,25,0.03
AAVAS,AAVAS FINANCIERS LIMITED,189699,3295.49
ABAN,ABAN OFFSHORE LTD.,1000,0.69
ABB,ABB INDIA LIMITED,221727,12665.03
ABBOTINDIA,ABBOTT INDIA LIMITED,5161,1419.11
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,4989171,9109.65
ABDL,ALLIED BLEND N DISTILS L,581963,1941.01
ABFRL,ADITYA BIRLA FASHION & RT,8969391,25237.51
ABREL,ADITYA BIRLA REAL EST LTD,229882,4501.36
